Resource Type,Classification,Should Inventory,Use for Enrichment,Has ARN,Can Get from Root,Requires Dependent,Root Operations,Dependent Operations
"account_attribut_attribute","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAccountAttributes","GetDeclarativePoliciesReportSummary"
"address_association","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAddresses; DescribeIamInstanceProfileAssociations; DescribeTrunkInterfaceAssociations","DescribeClientVpnTargetNetworks"
"address_instance","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAddresses; DescribeBundleTasks; DescribeClassicLinkInstances; DescribeElasticGpus; DescribeIamInstanceProfileAssociations; DescribeInstanceCreditSpecifications; DescribeInstanceImageMetadata; DescribeInstanceSqlHaHistoryStates; DescribeInstanceSqlHaStates; DescribeInstanceStatus; DescribeInstanceTopology; DescribeMacModificationTasks; DescribeReplaceRootVolumeTasks; DescribeSpotInstanceRequests","DescribeFleetInstances; DescribeInstanceAttribute; DescribeSpotFleetInstances; GetConsoleOutput; GetConsoleScreenshot; GetInstanceTpmEkPub; GetInstanceUefiData; GetIpamDiscoveredPublicAddresses; GetPasswordData"
"address_network_interface_owner","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAddresses","None"
"address_transfer_allocation","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAddressTransfers; DescribeAddresses; DescribeAddressesAttribute","GetCoipPoolUsage"
"address_transfer_transfer_account","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAddressTransfers","None"
"allowed_principal_service_permission","CONFIGURATION","No","Yes","No","No","Yes","None","DescribeVpcEndpointServicePermissions"
"analysis_finding_finding","EPHEMERAL","No","No","No","No","Yes","None","GetNetworkInsightsAccessScopeAnalysisFindings"
"associated_rol_associated_role","PRIMARY_RESOURCE","Yes","No","Yes","No","Yes","None","GetAssociatedEnclaveCertificateIamRoles"
"associated_rol_certificate_s3_bucket","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetAssociatedEnclaveCertificateIamRoles"
"associated_rol_encryption_kms_key","SUB_RESOURCE","No","Yes","No","No","Yes","None","GetAssociatedEnclaveCertificateIamRoles"
"availability_zon_group","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAvailabilityZones; DescribeCapacityReservationTopology; DescribeInstanceTopology; DescribePlacementGroups; DescribeSecurityGroups","DescribeInstanceAttribute; DescribeNetworkInterfaceAttribute; DescribeStaleSecurityGroups; GetSecurityGroupsForVpc"
"availability_zon_group_long","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAvailabilityZones","None"
"availability_zon_parent_zone","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAvailabilityZones","None"
"availability_zon_region","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAvailabilityZones; DescribeRegions","None"
"availability_zon_zone","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeAvailabilityZones; DescribeInstanceImageMetadata; DescribeInstanceTopology","None"
"bundle","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeBundleTasks","None"
"bundle_task_bundle","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeBundleTasks","None"
"byoasn_ipam","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeIpamByoasn; DescribeIpamExternalResourceVerificationTokens; DescribeIpamPolicies; DescribeIpamResourceDiscoveryAssociations; DescribeIpams","GetIpamResourceCidrs"
"capacity_block","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCapacityBlockStatus","None"
"capacity_block_extension_availability_zone","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCapacityBlockExtensionHistory; DescribeCapacityBlocks; DescribeCapacityReservationTopology; DescribeCapacityReservations; DescribeFastSnapshotRestores; DescribeHosts; DescribeInstanceConnectEndpoints; DescribeInstanceStatus; DescribeNetworkInterfaces; DescribeReservedInstances; DescribeReservedInstancesOfferings; DescribeSpotPriceHistory; DescribeSubnets; DescribeVolumeStatus; DescribeVolumes; ListVolumesInRecycleBin","DescribeCapacityBlockExtensionOfferings; GetCapacityManagerMetricDimensions; GetIpamDiscoveredResourceCidrs; GetIpamResourceCidrs; GetSpotPlacementScores"
"capacity_block_extension_capacity_block_extension_offering","SUB_RESOURCE","No","Yes","No","Yes","No","DescribeCapacityBlockExtensionHistory","DescribeCapacityBlockExtensionOfferings"
