service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
elasticbeanstalk,AbortableOperationInProgress,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,ActionDescription,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,ActionId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,ActionType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"InstanceRefresh, PlatformUpdate, Unknown",direct_vars,3
elasticbeanstalk,ApplicationArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,ApplicationMetrics,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,ApplicationName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,ApplicationQuota,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
elasticbeanstalk,ApplicationVersionArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,ApplicationVersionQuota,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
elasticbeanstalk,ApplicationVersions,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,Applications,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,AutoScalingGroups,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
elasticbeanstalk,AvailabilityZone,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,BranchName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,BranchOrder,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
elasticbeanstalk,BuildArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,CNAME,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,Causes,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,ChangeSeverity,string,Yes,"contains, equals, exists, in, not_equals",exists,"contains, equals, in, not_equals",,No value or select from list,"DEBUG, ERROR, FATAL, INFO, TRACE, WARN",boto3_deps,6
elasticbeanstalk,Color,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,ConfigurationSettings,string,No,"equals, gt, gte, lt, lte, not_equals",,,"equals, gt, gte, lt, lte, not_equals",Manual input only,,,0
elasticbeanstalk,ConfigurationTemplateQuota,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
elasticbeanstalk,ConfigurationTemplates,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
elasticbeanstalk,CustomAmiList,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
elasticbeanstalk,CustomPlatformQuota,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
elasticbeanstalk,DateCreated,string,No,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
elasticbeanstalk,DateUpdated,string,No,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
elasticbeanstalk,DefaultValue,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,Deployment,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"deployed, failed, pending",boto3_deps,3
elasticbeanstalk,DeploymentStatus,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"deployed, pending, failed",direct_vars,3
elasticbeanstalk,Description,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
elasticbeanstalk,EndpointURL,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,EnvironmentArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,EnvironmentId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,EnvironmentLinks,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,EnvironmentName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,EnvironmentQuota,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
elasticbeanstalk,EnvironmentResources,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,Environments,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,EventDate,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
elasticbeanstalk,Events,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
elasticbeanstalk,ExecutedTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
elasticbeanstalk,FailureDescription,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
elasticbeanstalk,FailureType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"UpdateCancelled, CancellationFailed, RollbackFailed, RollbackSuccessful, InternalFailure, InvalidEnvironmentState, PermissionsError",direct_vars,7
elasticbeanstalk,FinishedTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
elasticbeanstalk,Frameworks,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
