service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
servicecatalog-appregistry,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
servicecatalog-appregistry,Status,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
servicecatalog-appregistry,applicationTagResourceGroup,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
servicecatalog-appregistry,arn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
servicecatalog-appregistry,configuration,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
servicecatalog-appregistry,createdBy,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
servicecatalog-appregistry,creationTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
servicecatalog-appregistry,description,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
servicecatalog-appregistry,id,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
servicecatalog-appregistry,integrations,string,No,"equals, gt, gte, lt, lte, not_equals",,,"equals, gt, gte, lt, lte, not_equals",Manual input only,,,0
servicecatalog-appregistry,lastUpdateTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
servicecatalog-appregistry,name,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
servicecatalog-appregistry,options,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
servicecatalog-appregistry,resource,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"CFN_STACK, RESOURCE_TAG_VALUE",boto3_deps,2
servicecatalog-appregistry,resourceDetails,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
servicecatalog-appregistry,resourceGroup,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
servicecatalog-appregistry,resourceType,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"CFN_STACK, RESOURCE_TAG_VALUE",direct_vars,2
servicecatalog-appregistry,tagQueryConfiguration,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
