service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
frontdoor,DestinationArn,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
frontdoor,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
frontdoor,Format,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
frontdoor,Level,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
frontdoor,Name,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
frontdoor,Statement,array,No,contains,,,contains,Manual input only,,,0
frontdoor,Status,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
frontdoor,Tier,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
frontdoor,Version,string,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
frontdoor,backend,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Disabled, Enabled",azure_deps,2
frontdoor,backend_pools,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
frontdoor,backend_pools_settings,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
frontdoor,cname,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
frontdoor,custom_https_configuration,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
frontdoor,custom_https_provisioning_state,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Deallocated, Deallocating, Running, Starting, Stopped, Stopping",azure_deps,6
frontdoor,custom_https_provisioning_substate,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Deallocated, Deallocating, Running, Starting, Stopped, Stopping",azure_deps,6
frontdoor,custom_rules,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
frontdoor,description,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
frontdoor,enabled_state,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Deallocated, Deallocating, Running, Starting, Stopped, Stopping",azure_deps,6
