service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
resourceconnector,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
resourceconnector,PrincipalId,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
resourceconnector,Status,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
resourceconnector,Type,string,No,"equals, in, not_equals",,,"equals, in, not_equals",Manual input only,,,0
resourceconnector,description,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,distro,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,AKSEdge,azure_deps,1
resourceconnector,id,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"HCI, SCVMM, VMWare",azure_deps,3
resourceconnector,identity,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"None, SystemAssigned",azure_deps,2
resourceconnector,infrastructure_config,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,is_data_action,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,location,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,name,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,operation,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,origin,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,provider,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"HCI, SCVMM, VMWare",azure_deps,3
resourceconnector,provisioning_state,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Deallocated, Deallocating, Running, Starting, Stopped, Stopping",azure_deps,6
resourceconnector,public_key,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,resource,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"None, SystemAssigned",azure_deps,2
resourceconnector,status,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"Connected, Connecting, ETCDSnapshotFailed, ImageDeprovisioning, ImageDownloaded, ImageDownloading, ImagePending, ImageProvisioned, ImageProvisioning, ImageUnknown, None, Offline, PostUpgrade, PreUpgrade, PreparingForUpgrade, Running, UpdatingCAPI, UpdatingCloudOperator, UpdatingCluster, UpgradeClusterExtensionFailedToDelete, UpgradeComplete, UpgradeFailed, UpgradePrerequisitesCompleted, UpgradingKVAIO, Validating, ValidatingETCDHealth, ValidatingImageDownload, ValidatingImageUpload, ValidatingSFSConnectivity, WaitingForCloudOperator, WaitingForHeartbeat, WaitingForKVAIO",azure_deps,32
resourceconnector,system_data,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
resourceconnector,tags,array,No,"contains, exists, not_empty","exists, not_empty",,contains,No value or manual input,,,0
resourceconnector,type,string,Yes,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty","contains, equals, in, not_equals",,No value or select from list,"clusterCustomerUser, clusterUser",azure_deps,2
resourceconnector,version,string,No,"contains, equals, exists, in, not_empty, not_equals","exists, not_empty",,"contains, equals, in, not_equals",No value or manual input,,,0
