csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,accessanalyzer,enabled.id,item.id,string,Yes,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.name,item.name,string,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.resource_type,item.resource_type,string,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.region,item.region,string,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.encrypted,item.encrypted,boolean,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.kms_key_id,item.kms_key_id,string,Yes,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.public_ip_address,item.public_ip_address,string,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.vpc_id,item.vpc_id,string,Yes,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.status,item.status,string,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.tags,item.tags,object,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.internet_facing,item.internet_facing,boolean,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
alicloud,accessanalyzer,enabled.permissions,item.permissions,array,No,alicloud.accessanalyzer.enabled,read_list,Yes,alicloud.accessanalyzer.enabled,alicloud.accessanalyzer.enabled,1,0,alicloud.accessanalyzer.enabled[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.accessanalyzer.Client().DescribeEnableds().data,,enabled
