csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,alb,deletion.id,item.id,string,Yes,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.name,item.name,string,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.resource_type,item.resource_type,string,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.region,item.region,string,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.encrypted,item.encrypted,boolean,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.kms_key_id,item.kms_key_id,string,Yes,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.public_ip_address,item.public_ip_address,string,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.vpc_id,item.vpc_id,string,Yes,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.status,item.status,string,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.tags,item.tags,object,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.internet_facing,item.internet_facing,boolean,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.permissions,item.permissions,array,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.security_group_rules,item.security_group_rules,array,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.backup_enabled,item.backup_enabled,boolean,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.logging_enabled,item.logging_enabled,boolean,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.mfa_enabled,item.mfa_enabled,boolean,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.ssl_enabled,item.ssl_enabled,boolean,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.versioning_enabled,item.versioning_enabled,boolean,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,deletion.min_tls_version,item.min_tls_version,string,No,alicloud.alb.deletion,read_list,Yes,alicloud.alb.deletion,alicloud.alb.deletion,1,0,alicloud.alb.deletion[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, gte",,alibabacloud_python_sdk.alb.Client().DescribeDeletions().data,,deletion
alicloud,alb,hologres_access_control.id,item.id,string,Yes,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.name,item.name,string,No,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.resource_type,item.resource_type,string,No,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.region,item.region,string,No,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.encrypted,item.encrypted,boolean,No,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.kms_key_id,item.kms_key_id,string,Yes,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.public_ip_address,item.public_ip_address,string,No,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.vpc_id,item.vpc_id,string,Yes,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.status,item.status,string,No,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.tags,item.tags,object,No,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
alicloud,alb,hologres_access_control.internet_facing,item.internet_facing,boolean,No,alicloud.alb.hologres_access_control,read_list,Yes,alicloud.alb.hologres_access_control,alicloud.alb.hologres_access_control,1,0,alicloud.alb.hologres_access_control[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.alb.Client().DescribeHologresAccessControls().data,,hologres_access_control
