csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,bastionhost,id,item.id,string,Yes,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,name,item.name,string,No,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,resource_type,item.resource_type,string,No,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,region,item.region,string,No,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,encrypted,item.encrypted,boolean,No,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,kms_key_id,item.kms_key_id,string,Yes,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,public_ip_address,item.public_ip_address,string,No,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,vpc_id,item.vpc_id,string,Yes,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,status,item.status,string,No,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
alicloud,bastionhost,tags,item.tags,object,No,alicloud.bastionhost.DescribeBastionhosts,read_list,Yes,alicloud.bastionhost.DescribeBastionhosts,alicloud.bastionhost.DescribeBastionhosts,1,0,alicloud.bastionhost.DescribeBastionhosts[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.bastionhost.Client().DescribeBastionhosts().data,,
