csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,cbn,network.id,item.id,string,Yes,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.name,item.name,string,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.resource_type,item.resource_type,string,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.region,item.region,string,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.encrypted,item.encrypted,boolean,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.kms_key_id,item.kms_key_id,string,Yes,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.public_ip_address,item.public_ip_address,string,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.vpc_id,item.vpc_id,string,Yes,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.status,item.status,string,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.tags,item.tags,object,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.internet_facing,item.internet_facing,boolean,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
alicloud,cbn,network.permissions,item.permissions,array,No,alicloud.cbn.network,read_list,Yes,alicloud.cbn.network,alicloud.cbn.network,1,0,alicloud.cbn.network[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.cbn.Client().DescribeNetworks().data,,network
