csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,cms,alarm.id,item.id,string,Yes,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.name,item.name,string,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.resource_type,item.resource_type,string,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.region,item.region,string,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.encrypted,item.encrypted,boolean,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.kms_key_id,item.kms_key_id,string,Yes,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.public_ip_address,item.public_ip_address,string,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.vpc_id,item.vpc_id,string,Yes,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.status,item.status,string,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.tags,item.tags,object,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.internet_facing,item.internet_facing,boolean,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.permissions,item.permissions,array,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.security_group_rules,item.security_group_rules,array,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.backup_enabled,item.backup_enabled,boolean,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.logging_enabled,item.logging_enabled,boolean,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
alicloud,cms,alarm.mfa_enabled,item.mfa_enabled,boolean,No,alicloud.cms.alarm,read_list,Yes,alicloud.cms.alarm,alicloud.cms.alarm,1,0,alicloud.cms.alarm[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cms.Client().DescribeAlarms().data,,alarm
