csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,codepipeline,project.id,item.id,string,Yes,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.name,item.name,string,No,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.resource_type,item.resource_type,string,No,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.region,item.region,string,No,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.encrypted,item.encrypted,boolean,No,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.kms_key_id,item.kms_key_id,string,Yes,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.public_ip_address,item.public_ip_address,string,No,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.vpc_id,item.vpc_id,string,Yes,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.status,item.status,string,No,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
alicloud,codepipeline,project.tags,item.tags,object,No,alicloud.codepipeline.project,read_list,Yes,alicloud.codepipeline.project,alicloud.codepipeline.project,1,0,alicloud.codepipeline.project[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.codepipeline.Client().DescribeProjects().data,,project
