csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,cr,container.id,item.id,string,Yes,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.name,item.name,string,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.resource_type,item.resource_type,string,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.region,item.region,string,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.encrypted,item.encrypted,boolean,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.kms_key_id,item.kms_key_id,string,Yes,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.public_ip_address,item.public_ip_address,string,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.vpc_id,item.vpc_id,string,Yes,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.status,item.status,string,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.tags,item.tags,object,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.internet_facing,item.internet_facing,boolean,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.permissions,item.permissions,array,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.security_group_rules,item.security_group_rules,array,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.backup_enabled,item.backup_enabled,boolean,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
alicloud,cr,container.logging_enabled,item.logging_enabled,boolean,No,alicloud.cr.container,read_list,Yes,alicloud.cr.container,alicloud.cr.container,1,0,alicloud.cr.container[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.cr.Client().DescribeContainers().data,,container
