csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,dms,classification.id,item.id,string,Yes,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.name,item.name,string,No,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.resource_type,item.resource_type,string,No,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.region,item.region,string,No,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.encrypted,item.encrypted,boolean,No,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.kms_key_id,item.kms_key_id,string,Yes,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.public_ip_address,item.public_ip_address,string,No,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.vpc_id,item.vpc_id,string,Yes,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.status,item.status,string,No,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
alicloud,dms,classification.tags,item.tags,object,No,alicloud.dms.classification,read_list,Yes,alicloud.dms.classification,alicloud.dms.classification,1,0,alicloud.dms.classification[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.dms.Client().DescribeClassifications().data,,classification
