csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,dmsenterprise,id,item.id,string,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,name,item.name,string,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,resource_type,item.resource_type,string,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,region,item.region,string,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,encrypted,item.encrypted,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,kms_key_id,item.kms_key_id,string,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,public_ip_address,item.public_ip_address,string,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,vpc_id,item.vpc_id,string,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,status,item.status,string,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,tags,item.tags,object,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,internet_facing,item.internet_facing,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,permissions,item.permissions,array,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,security_group_rules,item.security_group_rules,array,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,backup_enabled,item.backup_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,logging_enabled,item.logging_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,mfa_enabled,item.mfa_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,ssl_enabled,item.ssl_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,versioning_enabled,item.versioning_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,min_tls_version,item.min_tls_version,string,No,alicloud.dmsenterprise.DescribeDmsenterprises,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprises,alicloud.dmsenterprise.DescribeDmsenterprises,1,0,alicloud.dmsenterprise.DescribeDmsenterprises[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, gte",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprises().data,,
alicloud,dmsenterprise,id,item.id,string,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,name,item.name,string,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,resource_type,item.resource_type,string,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,region,item.region,string,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,encrypted,item.encrypted,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,kms_key_id,item.kms_key_id,string,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,public_ip_address,item.public_ip_address,string,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,vpc_id,item.vpc_id,string,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,status,item.status,string,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,tags,item.tags,object,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,internet_facing,item.internet_facing,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,permissions,item.permissions,array,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,security_group_rules,item.security_group_rules,array,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,backup_enabled,item.backup_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,logging_enabled,item.logging_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,mfa_enabled,item.mfa_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
alicloud,dmsenterprise,ssl_enabled,item.ssl_enabled,boolean,No,alicloud.dmsenterprise.DescribeDmsenterprise,read_list,Yes,alicloud.dmsenterprise.DescribeDmsenterprise,alicloud.dmsenterprise.DescribeDmsenterprise,1,0,alicloud.dmsenterprise.DescribeDmsenterprise[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.dmsenterprise.Client().DescribeDmsenterprise().data,,
