csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,drdspost,id,item.id,string,Yes,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,name,item.name,string,No,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,resource_type,item.resource_type,string,No,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,region,item.region,string,No,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,encrypted,item.encrypted,boolean,No,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,kms_key_id,item.kms_key_id,string,Yes,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,public_ip_address,item.public_ip_address,string,No,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,vpc_id,item.vpc_id,string,Yes,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,status,item.status,string,No,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
alicloud,drdspost,tags,item.tags,object,No,alicloud.drdspost.DescribeDrdsposts,read_list,Yes,alicloud.drdspost.DescribeDrdsposts,alicloud.drdspost.DescribeDrdsposts,1,0,alicloud.drdspost.DescribeDrdsposts[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.drdspost.Client().DescribeDrdsposts().data,,
