csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,ecs,ami.id,item.id,string,Yes,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.name,item.name,string,No,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.resource_type,item.resource_type,string,No,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.region,item.region,string,No,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.encrypted,item.encrypted,boolean,No,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.kms_key_id,item.kms_key_id,string,Yes,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.public_ip_address,item.public_ip_address,string,No,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.vpc_id,item.vpc_id,string,Yes,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.status,item.status,string,No,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
alicloud,ecs,ami.tags,item.tags,object,No,alicloud.ecs.ami,read_list,Yes,alicloud.ecs.ami,alicloud.ecs.ami,1,0,alicloud.ecs.ami[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.ecs.Client().DescribeAmis().data,,ami
