csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,elasticsearch,backup.id,item.id,string,Yes,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.name,item.name,string,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.resource_type,item.resource_type,string,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.region,item.region,string,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.encrypted,item.encrypted,boolean,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.kms_key_id,item.kms_key_id,string,Yes,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.public_ip_address,item.public_ip_address,string,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.vpc_id,item.vpc_id,string,Yes,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.status,item.status,string,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.tags,item.tags,object,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.internet_facing,item.internet_facing,boolean,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.permissions,item.permissions,array,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.security_group_rules,item.security_group_rules,array,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.backup_enabled,item.backup_enabled,boolean,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.logging_enabled,item.logging_enabled,boolean,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.mfa_enabled,item.mfa_enabled,boolean,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.ssl_enabled,item.ssl_enabled,boolean,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.versioning_enabled,item.versioning_enabled,boolean,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,backup.min_tls_version,item.min_tls_version,string,No,alicloud.elasticsearch.backup,read_list,Yes,alicloud.elasticsearch.backup,alicloud.elasticsearch.backup,1,0,alicloud.elasticsearch.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, gte",,alibabacloud_python_sdk.elasticsearch.Client().DescribeBackups().data,,backup
alicloud,elasticsearch,confluence_n_a_service.id,item.id,string,Yes,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
alicloud,elasticsearch,confluence_n_a_service.name,item.name,string,No,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
alicloud,elasticsearch,confluence_n_a_service.resource_type,item.resource_type,string,No,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
alicloud,elasticsearch,confluence_n_a_service.region,item.region,string,No,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
alicloud,elasticsearch,confluence_n_a_service.encrypted,item.encrypted,boolean,No,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
alicloud,elasticsearch,confluence_n_a_service.kms_key_id,item.kms_key_id,string,Yes,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
alicloud,elasticsearch,confluence_n_a_service.public_ip_address,item.public_ip_address,string,No,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
alicloud,elasticsearch,confluence_n_a_service.vpc_id,item.vpc_id,string,Yes,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
alicloud,elasticsearch,confluence_n_a_service.status,item.status,string,No,alicloud.elasticsearch.confluence_n_a_service,read_list,Yes,alicloud.elasticsearch.confluence_n_a_service,alicloud.elasticsearch.confluence_n_a_service,1,0,alicloud.elasticsearch.confluence_n_a_service[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.elasticsearch.Client().DescribeConfluenceNAServices().data,,confluence_n_a_service
