csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,ens,id,item.id,string,Yes,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,name,item.name,string,No,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,resource_type,item.resource_type,string,No,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,region,item.region,string,No,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,encrypted,item.encrypted,boolean,No,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,kms_key_id,item.kms_key_id,string,Yes,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,public_ip_address,item.public_ip_address,string,No,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,vpc_id,item.vpc_id,string,Yes,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,status,item.status,string,No,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
alicloud,ens,tags,item.tags,object,No,alicloud.ens.DescribeAICImages,read_list,Yes,alicloud.ens.DescribeAICImages,alicloud.ens.DescribeAICImages,1,0,alicloud.ens.DescribeAICImages[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.ens.Client().DescribeAICImages().data,,
