csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,eventbridge,data.id,item.id,string,Yes,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.name,item.name,string,No,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.resource_type,item.resource_type,string,No,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.region,item.region,string,No,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.encrypted,item.encrypted,boolean,No,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.kms_key_id,item.kms_key_id,string,Yes,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.public_ip_address,item.public_ip_address,string,No,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.vpc_id,item.vpc_id,string,Yes,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.status,item.status,string,No,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
alicloud,eventbridge,data.tags,item.tags,object,No,alicloud.eventbridge.data,read_list,Yes,alicloud.eventbridge.data,alicloud.eventbridge.data,1,0,alicloud.eventbridge.data[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.eventbridge.Client().DescribeDatas().data,,data
