csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,hitsdb,database.id,item.id,string,Yes,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.name,item.name,string,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.resource_type,item.resource_type,string,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.region,item.region,string,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.encrypted,item.encrypted,boolean,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.kms_key_id,item.kms_key_id,string,Yes,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.public_ip_address,item.public_ip_address,string,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.vpc_id,item.vpc_id,string,Yes,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.status,item.status,string,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.tags,item.tags,object,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.internet_facing,item.internet_facing,boolean,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.permissions,item.permissions,array,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.security_group_rules,item.security_group_rules,array,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.backup_enabled,item.backup_enabled,boolean,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.logging_enabled,item.logging_enabled,boolean,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.mfa_enabled,item.mfa_enabled,boolean,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.ssl_enabled,item.ssl_enabled,boolean,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.versioning_enabled,item.versioning_enabled,boolean,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,database.min_tls_version,item.min_tls_version,string,No,alicloud.hitsdb.database,read_list,Yes,alicloud.hitsdb.database,alicloud.hitsdb.database,1,0,alicloud.hitsdb.database[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, gte",,alibabacloud_python_sdk.hitsdb.Client().DescribeDatabases().data,,database
alicloud,hitsdb,parameter.id,item.id,string,Yes,alicloud.hitsdb.parameter,read_list,Yes,alicloud.hitsdb.parameter,alicloud.hitsdb.parameter,1,0,alicloud.hitsdb.parameter[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.hitsdb.Client().DescribeParameters().data,,parameter
alicloud,hitsdb,parameter.name,item.name,string,No,alicloud.hitsdb.parameter,read_list,Yes,alicloud.hitsdb.parameter,alicloud.hitsdb.parameter,1,0,alicloud.hitsdb.parameter[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.hitsdb.Client().DescribeParameters().data,,parameter
alicloud,hitsdb,parameter.resource_type,item.resource_type,string,No,alicloud.hitsdb.parameter,read_list,Yes,alicloud.hitsdb.parameter,alicloud.hitsdb.parameter,1,0,alicloud.hitsdb.parameter[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeParameters().data,,parameter
alicloud,hitsdb,parameter.region,item.region,string,No,alicloud.hitsdb.parameter,read_list,Yes,alicloud.hitsdb.parameter,alicloud.hitsdb.parameter,1,0,alicloud.hitsdb.parameter[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.hitsdb.Client().DescribeParameters().data,,parameter
alicloud,hitsdb,parameter.encrypted,item.encrypted,boolean,No,alicloud.hitsdb.parameter,read_list,Yes,alicloud.hitsdb.parameter,alicloud.hitsdb.parameter,1,0,alicloud.hitsdb.parameter[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.hitsdb.Client().DescribeParameters().data,,parameter
