csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,live,id,item.id,string,Yes,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,name,item.name,string,No,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,resource_type,item.resource_type,string,No,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,region,item.region,string,No,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,encrypted,item.encrypted,boolean,No,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,kms_key_id,item.kms_key_id,string,Yes,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,public_ip_address,item.public_ip_address,string,No,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,vpc_id,item.vpc_id,string,Yes,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,status,item.status,string,No,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
alicloud,live,tags,item.tags,object,No,alicloud.live.CheckLiveMessageUsersInGroup,read_list,Yes,alicloud.live.CheckLiveMessageUsersInGroup,alicloud.live.CheckLiveMessageUsersInGroup,1,0,alicloud.live.CheckLiveMessageUsersInGroup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.live.Client().CheckLiveMessageUsersInGroup().data,,
