csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,nas,backup.id,item.id,string,Yes,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.name,item.name,string,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.resource_type,item.resource_type,string,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.region,item.region,string,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.encrypted,item.encrypted,boolean,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.kms_key_id,item.kms_key_id,string,Yes,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.public_ip_address,item.public_ip_address,string,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.vpc_id,item.vpc_id,string,Yes,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.status,item.status,string,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.tags,item.tags,object,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.internet_facing,item.internet_facing,boolean,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.permissions,item.permissions,array,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
alicloud,nas,backup.security_group_rules,item.security_group_rules,array,No,alicloud.nas.backup,read_list,Yes,alicloud.nas.backup,alicloud.nas.backup,1,0,alicloud.nas.backup[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.nas.Client().DescribeBackups().data,,backup
