csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,nlp,id,item.id,string,Yes,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,name,item.name,string,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,resource_type,item.resource_type,string,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,region,item.region,string,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,encrypted,item.encrypted,boolean,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,kms_key_id,item.kms_key_id,string,Yes,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,public_ip_address,item.public_ip_address,string,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,vpc_id,item.vpc_id,string,Yes,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,status,item.status,string,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,tags,item.tags,object,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,internet_facing,item.internet_facing,boolean,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,permissions,item.permissions,array,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
alicloud,nlp,security_group_rules,item.security_group_rules,array,No,alicloud.nlp.DescribeNlps,read_list,Yes,alicloud.nlp.DescribeNlps,alicloud.nlp.DescribeNlps,1,0,alicloud.nlp.DescribeNlps[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.nlp.Client().DescribeNlps().data,,
