csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,ots,id,item.id,string,Yes,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,name,item.name,string,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,resource_type,item.resource_type,string,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,region,item.region,string,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,encrypted,item.encrypted,boolean,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,kms_key_id,item.kms_key_id,string,Yes,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,public_ip_address,item.public_ip_address,string,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,vpc_id,item.vpc_id,string,Yes,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,status,item.status,string,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,tags,item.tags,object,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,internet_facing,item.internet_facing,boolean,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,permissions,item.permissions,array,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,security_group_rules,item.security_group_rules,array,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,backup_enabled,item.backup_enabled,boolean,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,logging_enabled,item.logging_enabled,boolean,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,mfa_enabled,item.mfa_enabled,boolean,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,ssl_enabled,item.ssl_enabled,boolean,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,versioning_enabled,item.versioning_enabled,boolean,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,min_tls_version,item.min_tls_version,string,No,alicloud.ots.GetInstance,read_list,Yes,alicloud.ots.GetInstance,alicloud.ots.GetInstance,1,0,alicloud.ots.GetInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, gte",,alibabacloud_python_sdk.ots.Client().GetInstance().data,,
alicloud,ots,id,item.id,string,Yes,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,name,item.name,string,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,resource_type,item.resource_type,string,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,region,item.region,string,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,encrypted,item.encrypted,boolean,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,kms_key_id,item.kms_key_id,string,Yes,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,public_ip_address,item.public_ip_address,string,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,vpc_id,item.vpc_id,string,Yes,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,status,item.status,string,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,tags,item.tags,object,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,internet_facing,item.internet_facing,boolean,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,permissions,item.permissions,array,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,security_group_rules,item.security_group_rules,array,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,backup_enabled,item.backup_enabled,boolean,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,logging_enabled,item.logging_enabled,boolean,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,mfa_enabled,item.mfa_enabled,boolean,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,ssl_enabled,item.ssl_enabled,boolean,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,versioning_enabled,item.versioning_enabled,boolean,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,min_tls_version,item.min_tls_version,string,No,alicloud.ots.ListClusterType,read_list,Yes,alicloud.ots.ListClusterType,alicloud.ots.ListClusterType,1,0,alicloud.ots.ListClusterType[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, gte",,alibabacloud_python_sdk.ots.Client().ListClusterType().data,,
alicloud,ots,id,item.id,string,Yes,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,name,item.name,string,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,resource_type,item.resource_type,string,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,region,item.region,string,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,encrypted,item.encrypted,boolean,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,kms_key_id,item.kms_key_id,string,Yes,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,public_ip_address,item.public_ip_address,string,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,vpc_id,item.vpc_id,string,Yes,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,status,item.status,string,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,tags,item.tags,object,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,internet_facing,item.internet_facing,boolean,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,permissions,item.permissions,array,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
alicloud,ots,security_group_rules,item.security_group_rules,array,No,alicloud.ots.ListInstance,read_list,Yes,alicloud.ots.ListInstance,alicloud.ots.ListInstance,1,0,alicloud.ots.ListInstance[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.ots.Client().ListInstance().data,,
