csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,sca,id,item.id,string,Yes,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,name,item.name,string,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,resource_type,item.resource_type,string,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,region,item.region,string,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,encrypted,item.encrypted,boolean,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,kms_key_id,item.kms_key_id,string,Yes,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,public_ip_address,item.public_ip_address,string,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,vpc_id,item.vpc_id,string,Yes,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,status,item.status,string,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,tags,item.tags,object,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,internet_facing,item.internet_facing,boolean,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,permissions,item.permissions,array,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,security_group_rules,item.security_group_rules,array,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,backup_enabled,item.backup_enabled,boolean,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,logging_enabled,item.logging_enabled,boolean,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,mfa_enabled,item.mfa_enabled,boolean,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,ssl_enabled,item.ssl_enabled,boolean,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,versioning_enabled,item.versioning_enabled,boolean,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,min_tls_version,item.min_tls_version,string,No,alicloud.sca.DescribeScas,read_list,Yes,alicloud.sca.DescribeScas,alicloud.sca.DescribeScas,1,0,alicloud.sca.DescribeScas[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, gte",,alibabacloud_python_sdk.sca.Client().DescribeScas().data,,
alicloud,sca,id,item.id,string,Yes,alicloud.sca.DescribeSca,read_list,Yes,alicloud.sca.DescribeSca,alicloud.sca.DescribeSca,1,0,alicloud.sca.DescribeSca[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.sca.Client().DescribeSca().data,,
