csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,scdn,id,item.id,string,Yes,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,name,item.name,string,No,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,resource_type,item.resource_type,string,No,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,region,item.region,string,No,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,encrypted,item.encrypted,boolean,No,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,kms_key_id,item.kms_key_id,string,Yes,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,public_ip_address,item.public_ip_address,string,No,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,vpc_id,item.vpc_id,string,Yes,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,status,item.status,string,No,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
alicloud,scdn,tags,item.tags,object,No,alicloud.scdn.CheckScdnService,read_list,Yes,alicloud.scdn.CheckScdnService,alicloud.scdn.CheckScdnService,1,0,alicloud.scdn.CheckScdnService[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.scdn.Client().CheckScdnService().data,,
