csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
alicloud,xianzhi,id,item.id,string,Yes,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,name,item.name,string,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,resource_type,item.resource_type,string,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,region,item.region,string,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,encrypted,item.encrypted,boolean,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,kms_key_id,item.kms_key_id,string,Yes,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,public_ip_address,item.public_ip_address,string,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,vpc_id,item.vpc_id,string,Yes,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,status,item.status,string,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,tags,item.tags,object,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,internet_facing,item.internet_facing,boolean,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,permissions,item.permissions,array,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,security_group_rules,item.security_group_rules,array,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,backup_enabled,item.backup_enabled,boolean,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,logging_enabled,item.logging_enabled,boolean,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,mfa_enabled,item.mfa_enabled,boolean,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,ssl_enabled,item.ssl_enabled,boolean,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,versioning_enabled,item.versioning_enabled,boolean,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,min_tls_version,item.min_tls_version,string,No,alicloud.xianzhi.DescribeXianzhis,read_list,Yes,alicloud.xianzhi.DescribeXianzhis,alicloud.xianzhi.DescribeXianzhis,1,0,alicloud.xianzhi.DescribeXianzhis[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, gte",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhis().data,,
alicloud,xianzhi,id,item.id,string,Yes,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, exists",exists,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,name,item.name,string,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, contains, not_equals, in",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,resource_type,item.resource_type,string,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,region,item.region,string,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,encrypted,item.encrypted,boolean,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,kms_key_id,item.kms_key_id,string,Yes,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,public_ip_address,item.public_ip_address,string,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,vpc_id,item.vpc_id,string,Yes,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_exists, equals","exists, not_exists",alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,status,item.status,string,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals, in",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,tags,item.tags,object,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"exists, not_empty","exists, not_empty",alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,internet_facing,item.internet_facing,boolean,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,permissions,item.permissions,array,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, equals, not_empty",not_empty,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,security_group_rules,item.security_group_rules,array,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"contains, not_contains, not_empty",not_empty,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,backup_enabled,item.backup_enabled,boolean,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,logging_enabled,item.logging_enabled,boolean,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
alicloud,xianzhi,mfa_enabled,item.mfa_enabled,boolean,No,alicloud.xianzhi.DescribeXianzhi,read_list,Yes,alicloud.xianzhi.DescribeXianzhi,alicloud.xianzhi.DescribeXianzhi,1,0,alicloud.xianzhi.DescribeXianzhi[id|name|resource_type|region|encrypted|kms_key_id|...],"equals, not_equals",,alibabacloud_python_sdk.xianzhi.Client().DescribeXianzhi().data,,
