service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
applicationcostprofiler,bucket,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
applicationcostprofiler,createdAt,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
applicationcostprofiler,destinationS3Location,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
applicationcostprofiler,format,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"CSV, PARQUET",direct_vars,2
applicationcostprofiler,lastUpdated,string,No,"equals, greater_than, greater_than_or_equal, gt, gte, less_than, less_than_or_equal, lt, lte, not_equals",,,"equals, greater_than, greater_than_or_equal, gt, gte, less_than, less_than_or_equal, lt, lte, not_equals",Manual input only,,,0
applicationcostprofiler,lastUpdatedAt,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
applicationcostprofiler,prefix,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
applicationcostprofiler,reportDescription,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
applicationcostprofiler,reportFrequency,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"MONTHLY, DAILY, ALL",direct_vars,3
applicationcostprofiler,reportId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
