service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
bedrock-data-automation,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
bedrock-data-automation,Status,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"COMPLETED, FAILED, IN_PROGRESS",boto3_deps,3
bedrock-data-automation,blueprint,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"DEVELOPMENT, LIVE",boto3_deps,2
bedrock-data-automation,blueprintArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,blueprintName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,blueprintStage,array,Yes,"contains, equals, exists, in, not_empty, not_equals, not_in","exists, not_empty","contains, equals, in, not_equals, not_in",,No value or select from list,"DEVELOPMENT, LIVE",direct_vars,2
bedrock-data-automation,blueprintVersion,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,creationTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bedrock-data-automation,customOutputConfiguration,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bedrock-data-automation,key,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,kmsEncryptionContext,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
bedrock-data-automation,kmsKeyId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,lastModifiedTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bedrock-data-automation,overrideConfiguration,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bedrock-data-automation,project,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"ASYNC, DEVELOPMENT, LIVE, SYNC",boto3_deps,4
bedrock-data-automation,projectArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,projectDescription,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,projectName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,projectStage,array,Yes,"contains, equals, exists, in, not_empty, not_equals, not_in","exists, not_empty","contains, equals, in, not_equals, not_in",,No value or select from list,"DEVELOPMENT, LIVE",direct_vars,2
bedrock-data-automation,projectType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"ASYNC, SYNC",direct_vars,2
bedrock-data-automation,schema,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
bedrock-data-automation,standardOutputConfiguration,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
bedrock-data-automation,status,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"COMPLETED, IN_PROGRESS, FAILED",direct_vars,3
bedrock-data-automation,type,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"DOCUMENT, IMAGE, AUDIO, VIDEO",direct_vars,4
bedrock-data-automation,value,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
