service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
chime-sdk-media-pipelines,ChimeSdkMeetingConfiguration,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,CreatedTimestamp,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,Elements,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,Key,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,MediaCapturePipeline,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,MediaConcatenationPipeline,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,MediaInsightsPipeline,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,MediaInsightsPipelineConfigurationArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,MediaInsightsPipelineConfigurationId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,MediaInsightsPipelineConfigurationName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,MediaLiveConnectorPipeline,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,MediaPipelineArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,MediaPipelineId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,MediaStreamPipeline,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,PoolArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,PoolId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,PoolName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,PoolSize,integer,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,PoolStatus,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"CREATING, ACTIVE, UPDATING, DELETING, FAILED",direct_vars,5
chime-sdk-media-pipelines,RealTimeAlertConfiguration,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,ResourceAccessRoleArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,SinkArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,SinkIamRoleArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,SinkType,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,S3Bucket,direct_vars,1
chime-sdk-media-pipelines,SourceArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,SourceType,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,ChimeSdkMeeting,direct_vars,1
chime-sdk-media-pipelines,SpeakerSearchTaskId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,SpeakerSearchTaskStatus,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"NotStarted, Initializing, InProgress, Failed, Stopping, Stopped",direct_vars,6
chime-sdk-media-pipelines,SseAwsKeyManagementParams,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,Status,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"Initializing, InProgress, Failed, Stopping, Stopped, Paused, NotStarted",direct_vars,7
chime-sdk-media-pipelines,StreamConfiguration,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,UpdatedTimestamp,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
chime-sdk-media-pipelines,Value,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,VoiceToneAnalysisTaskId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
chime-sdk-media-pipelines,VoiceToneAnalysisTaskStatus,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"NotStarted, Initializing, InProgress, Failed, Stopping, Stopped",direct_vars,6
