service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
cloud9,Key,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,Value,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,arn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,connectionType,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"CONNECT_SSH, CONNECT_SSM",direct_vars,2
cloud9,description,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,environmentId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,environments,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
cloud9,id,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,lastAccess,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
cloud9,lifecycle,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
cloud9,managedCredentialsStatus,string,Yes,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals, not_in",,Select from list only,"ENABLED_ON_CREATE, ENABLED_BY_OWNER, DISABLED_BY_DEFAULT, DISABLED_BY_OWNER, DISABLED_BY_COLLABORATOR, PENDING_REMOVAL_BY_COLLABORATOR, PENDING_START_REMOVAL_BY_COLLABORATOR, PENDING_REMOVAL_BY_OWNER, PENDING_START_REMOVAL_BY_OWNER, FAILED_REMOVAL_BY_COLLABORATOR, FAILED_REMOVAL_BY_OWNER",direct_vars,11
cloud9,memberships,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
cloud9,message,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,name,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,nextToken,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,ownerArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,permissions,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"owner, read-write, read-only",direct_vars,3
cloud9,status,string,Yes,"equals, gt, gte, in, lt, lte, not_equals, not_in",,"equals, gt, gte, in, lt, lte, not_equals, not_in",,Select from list only,"DISABLED_BY_COLLABORATOR, DISABLED_BY_DEFAULT, DISABLED_BY_OWNER, ENABLED_BY_OWNER, ENABLED_ON_CREATE, FAILED_REMOVAL_BY_COLLABORATOR, FAILED_REMOVAL_BY_OWNER, PENDING_REMOVAL_BY_COLLABORATOR, PENDING_REMOVAL_BY_OWNER, PENDING_START_REMOVAL_BY_COLLABORATOR, PENDING_START_REMOVAL_BY_OWNER, connecting, creating, deleting, error, ready, stopped, stopping",boto3_deps,18
cloud9,type,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ssh, ec2",direct_vars,2
cloud9,userArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
cloud9,userId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
