service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
directconnect,addressFamily,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ipv4, ipv6",direct_vars,2
directconnect,agreementName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,agreements,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
directconnect,allowedPrefixesToDirectConnectGateway,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,allowsHostedConnections,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,amazonAddress,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,amazonSideAsn,string,No,"equals, exists, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",exists,,"equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",No value or manual input,,,0
directconnect,asn,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
directconnect,asnLong,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
directconnect,associatedCoreNetwork,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,associatedGateway,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,associationId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,associationState,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"associating, associated, disassociating, disassociated, updating",direct_vars,5
directconnect,attachmentState,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"attaching, attached, detaching, detached",direct_vars,4
directconnect,attachmentType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"TransitVirtualInterface, PrivateVirtualInterface",direct_vars,2
directconnect,authKey,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,availableMacSecPortSpeeds,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,availablePortSpeeds,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,availableProviders,string,No,"equals, exists, in, not_equals",exists,,"equals, in, not_equals",No value or manual input,,,0
directconnect,awsDevice,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,awsDeviceV2,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,awsLogicalDeviceId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,bandwidth,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,bgpPeers,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,connectionId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,connectionName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,connectionState,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"ordering, requested, pending, available, down, deleting, deleted, rejected, unknown",direct_vars,9
directconnect,connections,string,Yes,"contains, equals, not_equals",,"contains, equals, not_equals",,Select from list only,"available, deleted, deleting, down, ordering, pending, rejected, requested, unknown",boto3_deps,9
directconnect,connectionsBandwidth,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,customerAddress,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,customerRouterConfig,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,directConnectGatewayAssociationProposals,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
directconnect,directConnectGatewayAssociations,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
directconnect,directConnectGatewayAttachments,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
directconnect,directConnectGatewayId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,directConnectGatewayName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,directConnectGatewayOwnerAccount,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,directConnectGatewayState,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"pending, available, deleting, deleted",direct_vars,4
directconnect,directConnectGateways,string,Yes,"contains, equals, not_equals",,"contains, equals, not_equals",,Select from list only,"available, deleted, deleting, pending",boto3_deps,4
directconnect,encryptionMode,string,No,"contains, equals, exists, in, not_equals, not_in",exists,,"contains, equals, in, not_equals, not_in",No value or manual input,,,0
directconnect,endTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
directconnect,existingAllowedPrefixesToDirectConnectGateway,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,hasLogicalRedundancy,boolean,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"unknown, yes, no",direct_vars,3
directconnect,interconnectId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,interconnectName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,interconnectState,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"requested, pending, available, down, deleting, deleted, unknown",direct_vars,7
directconnect,interconnects,string,Yes,"contains, equals, not_equals",,"contains, equals, not_equals",,Select from list only,"available, deleted, deleting, down, pending, requested, unknown",boto3_deps,7
directconnect,jumboFrameCapable,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,lagId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,lagName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,lagState,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"requested, pending, available, down, deleting, deleted, unknown",direct_vars,7
directconnect,lags,string,Yes,"contains, equals, not_equals",,"contains, equals, not_equals",,Select from list only,"available, deleted, deleting, down, pending, requested, unknown",boto3_deps,7
directconnect,loa,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,application/pdf,boto3_deps,1
directconnect,loaContent,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,application/pdf,boto3_deps,1
directconnect,loaContentType,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,application/pdf,direct_vars,1
directconnect,loaIssueTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
directconnect,location,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,locationCode,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,locationName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,locations,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
directconnect,macSecCapable,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,macSecKeys,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,minimumLinks,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
directconnect,mtu,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
directconnect,nextToken,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,nniPartnerType,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"v1, v2, nonPartner",direct_vars,3
directconnect,numberOfConnections,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
directconnect,ownerAccount,integer,No,"contains, equals, exists, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",exists,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",No value or manual input,,,0
directconnect,partnerInterconnectMacSecCapable,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
directconnect,partnerName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,platform,string,No,"contains, equals, exists, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",exists,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",No value or manual input,,,0
directconnect,portEncryptionStatus,string,No,"contains, equals, exists, in, not_equals, not_in",exists,,"contains, equals, in, not_equals, not_in",No value or manual input,,,0
directconnect,proposalId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
directconnect,proposalState,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"requested, accepted, deleted",direct_vars,3
directconnect,providerName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
