service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
fsx,ActiveDirectoryConfiguration,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
fsx,AdministrativeActions,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
fsx,AssociationId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,Associations,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
fsx,BackupId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,Backups,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
fsx,BatchImportMetaDataOnCreate,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
fsx,CapacityToRelease,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
fsx,CreationTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
fsx,DNSName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,DataRepositoryAssociationIds,string,No,"equals, exists, in, not_equals",exists,,"equals, in, not_equals",No value or manual input,,,0
fsx,DataRepositoryPath,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,DataRepositorySubdirectories,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
fsx,DataRepositoryTasks,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
fsx,DirectoryInformation,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
fsx,EnableFsxRouteTableUpdatesFromParticipantAccounts,integer,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
fsx,EndTime,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
fsx,Endpoints,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
fsx,FailureDetails,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
fsx,FileCacheId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,FileCachePath,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,FileCacheType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,LUSTRE,direct_vars,1
fsx,FileCacheTypeVersion,string,Yes,"contains, equals, exists, in, not_equals, not_in",exists,"contains, equals, in, not_equals, not_in",,No value or select from list,"AUTOMATIC, AUTO_RELEASE_DATA, AWS_BACKUP, EXPORT_TO_REPOSITORY, IMPORT_METADATA_FROM_REPOSITORY, LUSTRE, OPENZFS, RELEASE_DATA_FROM_FILESYSTEM, USER_INITIATED",boto3_deps,9
fsx,FileCaches,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
fsx,FileSystem,string,Yes,"contains, equals, in, not_equals",,"contains, equals, in, not_equals",,Select from list only,"LUSTRE, ONTAP, OPENZFS, WINDOWS",boto3_deps,4
fsx,FileSystemId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,FileSystemPath,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
fsx,FileSystemType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"WINDOWS, LUSTRE, ONTAP, OPENZFS",direct_vars,4
