service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
inspector2,DestinationArn,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
inspector2,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
inspector2,Format,string,Yes,"contains, equals, not_equals",,"contains, equals, not_equals",,Select from list only,"CYCLONEDX_1_4, SPDX_2_3",boto3_deps,2
inspector2,Level,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"ERROR, INFO, DEBUG, OFF",direct_vars,4
inspector2,Status,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"ACCOUNT_SUSPENDED, ACTIVATED, ACTIVE, CANCELLED, CANNOT_CREATE_DETECTOR_IN_ORG_MASTER, CLOSED, COMPLETED, CREATED, DEACTIVATED, DELETED, DISABLED, DISABLE_IN_PROGRESS, DISABLING, EMAIL_VERIFICATION_FAILED, EMAIL_VERIFICATION_IN_PROGRESS, ENABLED, FAILED, INACTIVE, INVITED, IN_PROGRESS, PASSED, PENDING, REGION_DISABLED, REMOVED, RESIGNED, SCAN_IN_PROGRESS, SKIPPED, SSM_UNMANAGED, SUCCEEDED, SUCCESSFUL, SUPPRESSED, TIMED_OUT, UNSUPPORTED_OS",boto3_deps,33
inspector2,accountAggregation,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,accountId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
inspector2,action,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"NONE, SUPPRESS",direct_vars,2
inspector2,aggregationType,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"ACCOUNT, AMI, AWS_EC2_INSTANCE, AWS_ECR_CONTAINER, AWS_LAMBDA_FUNCTION, CODE_REPOSITORY, FINDING_TYPE, IMAGE_LAYER, LAMBDA_LAYER, PACKAGE, REPOSITORY, TITLE",boto3_deps,12
inspector2,amiAggregation,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,arn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
inspector2,autoEnable,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
inspector2,awsAccountId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
inspector2,awsEcrContainerAggregation,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,bucketName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
inspector2,checkDescription,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
inspector2,checkId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
inspector2,cluster,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
inspector2,clusterArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
inspector2,clusterDetails,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
inspector2,codeRepository,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
inspector2,codeRepositoryAggregation,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,codeVulnerabilityDetails,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
inspector2,configuration,string,No,"equals, gt, gte, lt, lte, not_equals",,,"equals, gt, gte, lt, lte, not_equals",Manual input only,,,0
inspector2,continuousIntegrationScanConfiguration,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,continuousIntegrationScanSupportedEvents,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
inspector2,count,integer,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,createdAt,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,createdOn,string,No,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, in, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,criteria,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
inspector2,delegatedAdmin,integer,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
inspector2,delegatedAdminAccountId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
inspector2,destination,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
inspector2,ec2,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
inspector2,ec2Configuration,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
inspector2,ec2InstanceAggregation,string,No,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
inspector2,ecr,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
inspector2,ecrConfiguration,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
