service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
macie2,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
macie2,Statement,array,No,contains,,,contains,Manual input only,,,0
macie2,Status,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"AccountSuspended, CANCELLED, COMPLETE, Created, DISABLED, DISABLING_IN_PROGRESS, ENABLED, ERROR, EmailVerificationFailed, EmailVerificationInProgress, Enabled, IDLE, Invited, MONITORED, NOT_MONITORED, PAUSED, PROCESSING, Paused, RUNNING, RegionDisabled, Removed, Resigned, SUCCESS, USER_PAUSED",boto3_deps,24
macie2,Version,string,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
macie2,accountId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
macie2,action,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ARCHIVE, NOOP",direct_vars,2
macie2,administrator,boolean,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
macie2,administratorAccountId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
macie2,allowListIds,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
macie2,allowsUnencryptedObjectUploads,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"TRUE, FALSE, UNKNOWN",direct_vars,3
macie2,archived,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
macie2,arn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
macie2,autoEnable,string,Yes,"contains, equals, not_equals",,"contains, equals, not_equals",,Select from list only,"ALL, NEW, NONE",boto3_deps,3
macie2,autoEnableOrganizationMembers,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"ALL, NEW, NONE",direct_vars,3
