service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
resource-explorer-2,AWSServiceAccessStatus,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"ENABLED, DISABLED",direct_vars,2
resource-explorer-2,AccountId,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,CreatedAt,string,No,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
resource-explorer-2,Enabled,boolean,No,"equals, not_equals",,,"equals, not_equals",Manual input only,,,0
resource-explorer-2,Filters,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource-explorer-2,IncludedProperties,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource-explorer-2,Index,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource-explorer-2,LastUpdatedAt,string,No,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",,,"contains, equals, greater_than, greater_than_or_equal, less_than, less_than_or_equal, not_equals",Manual input only,,,0
resource-explorer-2,ManagedViewArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,ManagedViewName,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,NextToken,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,OrgConfiguration,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
resource-explorer-2,Owner,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,ReplicatingFrom,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
resource-explorer-2,ReplicatingTo,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
resource-explorer-2,ResourcePolicy,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,Scope,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,ScopeType,string,Yes,"contains, equals, exists, in, not_equals",exists,"contains, equals, in, not_equals",,No value or select from list,"AGGREGATOR, LOCAL",boto3_deps,2
resource-explorer-2,ServiceLinkedRole,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,ServicePrincipal,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,ServiceViewArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,State,string,Yes,"equals, in, not_equals, not_in",,"equals, in, not_equals, not_in",,Select from list only,"ACTIVE, CREATING, DELETED, DELETING, UPDATING",boto3_deps,5
resource-explorer-2,Statement,array,Yes,contains,,contains,,Select from list only,"ACTIVE, CREATING, DELETED, DELETING, UPDATING",boto3_deps,5
resource-explorer-2,Status,string,Yes,"equals, in, not_equals",,"equals, in, not_equals",,Select from list only,"DISABLED, ENABLED",boto3_deps,2
resource-explorer-2,StreamingAccessForService,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,Tags,string,No,"contains, equals, not_equals",,,"contains, equals, not_equals",Manual input only,,,0
resource-explorer-2,TrustedService,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,Type,string,Yes,"contains, equals, in, not_equals, not_in",,"contains, equals, in, not_equals, not_in",,Select from list only,"LOCAL, AGGREGATOR",direct_vars,2
resource-explorer-2,Version,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
resource-explorer-2,View,string,No,"contains, equals, in, not_equals",,,"contains, equals, in, not_equals",Manual input only,,,0
resource-explorer-2,ViewArn,string,No,"contains, equals, exists, in, not_equals",exists,,"contains, equals, in, not_equals",No value or manual input,,,0
