Operation,Type,Entities Covered Count,Dependencies,Requires
"ListBuckets","INDEPENDENT","6","None","None"
"ListObjectVersions","DEPENDENT","10","s3.bucket_name","s3.bucket_name"
"GetObject","DEPENDENT","10","s3.bucket_name; s3.tag_set_key","s3.bucket_name; s3.tag_set_key"
"GetBucketLifecycleConfiguration","DEPENDENT","8","s3.bucket_name","s3.bucket_name"
"ListBucketInventoryConfigurations","DEPENDENT","6","s3.bucket_name","s3.bucket_name"
"GetBucketCors","DEPENDENT","5","s3.bucket_name","s3.bucket_name"
"GetPublicAccessBlock","DEPENDENT","4","s3.bucket_name","s3.bucket_name"
"GetBucketLogging","DEPENDENT","4","s3.bucket_name","s3.bucket_name"
"ListMultipartUploads","DEPENDENT","3","s3.bucket_name","s3.bucket_name"
"GetBucketMetadataTableConfiguration","DEPENDENT","3","s3.bucket_name","s3.bucket_name"
"GetObjectAcl","DEPENDENT","3","s3.bucket_name; s3.tag_set_key","s3.bucket_name; s3.tag_set_key"
"GetBucketNotification","DEPENDENT","3","s3.bucket_name","s3.bucket_name"
"GetObjectRetention","DEPENDENT","3","s3.bucket_name; s3.tag_set_key","s3.bucket_name; s3.tag_set_key"
"GetBucketLifecycle","DEPENDENT","2","s3.bucket_name","s3.bucket_name"
"GetBucketWebsite","DEPENDENT","2","s3.bucket_name","s3.bucket_name"
"GetBucketMetadataConfiguration","DEPENDENT","2","s3.bucket_name","s3.bucket_name"
"GetObjectLockConfiguration","DEPENDENT","2","s3.bucket_name","s3.bucket_name"
"ListParts","DEPENDENT","1","s3.bucket_name; s3.tag_set_key; s3.upload_upload_id","s3.bucket_name; s3.tag_set_key; s3.upload_upload_id"
"GetObjectAttributes","DEPENDENT","1","s3.bucket_name; s3.tag_set_key","s3.bucket_name; s3.tag_set_key"
"GetBucketIntelligentTieringConfiguration","DEPENDENT","1","s3.analytics_configuration_id; s3.bucket_name","s3.analytics_configuration_id; s3.bucket_name"
"GetBucketNotificationConfiguration","DEPENDENT","1","s3.bucket_name","s3.bucket_name"
"GetObjectTagging","DEPENDENT","1","s3.bucket_name; s3.tag_set_key","s3.bucket_name; s3.tag_set_key"
"GetBucketAnalyticsConfiguration","DEPENDENT","1","s3.analytics_configuration_id; s3.bucket_name","s3.analytics_configuration_id; s3.bucket_name"
"GetBucketReplication","DEPENDENT","1","s3.bucket_name","s3.bucket_name"
"GetBucketRequestPayment","DEPENDENT","1","s3.bucket_name","s3.bucket_name"
"GetBucketPolicyStatus","DEPENDENT","1","s3.bucket_name","s3.bucket_name"
"GetBucketPolicy","DEPENDENT","1","s3.bucket_name","s3.bucket_name"
