csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,catalog_management,catalog.items,item.items,string,No,ibm.catalog_management.list-catalogs,read_list,Yes,ibm.catalog_management.list-catalogs,ibm.catalog_management.list-catalogs,1,0,ibm.catalog_management.list-catalogs[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().list_catalogs().get_result(),,catalog
ibm,catalog_management,catalog.next_token,item.next_token,string,No,ibm.catalog_management.list-catalogs,read_list,Yes,ibm.catalog_management.list-catalogs,ibm.catalog_management.list-catalogs,1,0,ibm.catalog_management.list-catalogs[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().list_catalogs().get_result(),,catalog
ibm,catalog_management,catalog.catalog_id,item.catalog_id,string,Yes,ibm.catalog_management.get-catalog,read_list,Yes,ibm.catalog_management.get-catalog,ibm.catalog_management.get-catalog,1,0,ibm.catalog_management.get-catalog[catalog_id|catalog_name|catalog_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog().get_result(),,catalog
ibm,catalog_management,catalog.catalog_name,item.catalog_name,string,No,ibm.catalog_management.get-catalog,read_list,Yes,ibm.catalog_management.get-catalog,ibm.catalog_management.get-catalog,1,0,ibm.catalog_management.get-catalog[catalog_id|catalog_name|catalog_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog().get_result(),,catalog
ibm,catalog_management,catalog.catalog_status,item.catalog_status,string,No,ibm.catalog_management.get-catalog,read_list,Yes,ibm.catalog_management.get-catalog,ibm.catalog_management.get-catalog,1,0,ibm.catalog_management.get-catalog[catalog_id|catalog_name|catalog_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog().get_result(),,catalog
ibm,catalog_management,catalog.created_at,item.created_at,string,No,ibm.catalog_management.get-catalog,read_list,Yes,ibm.catalog_management.get-catalog,ibm.catalog_management.get-catalog,1,0,ibm.catalog_management.get-catalog[catalog_id|catalog_name|catalog_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog().get_result(),,catalog
ibm,catalog_management,catalog.tags,item.tags,array,No,ibm.catalog_management.get-catalog,read_list,Yes,ibm.catalog_management.get-catalog,ibm.catalog_management.get-catalog,1,0,ibm.catalog_management.get-catalog[catalog_id|catalog_name|catalog_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog().get_result(),,catalog
ibm,catalog_management,crn,item.crn,string,Yes,ibm.catalog_management.get-authenticator,read_list,Yes,ibm.catalog_management.get-authenticator,ibm.catalog_management.get-authenticator,1,0,ibm.catalog_management.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().get_authenticator().get_result(),,
ibm,catalog_management,authenticator.authenticator_id,item.authenticator_id,string,Yes,ibm.catalog_management.get-authenticator,read_list,Yes,ibm.catalog_management.get-authenticator,ibm.catalog_management.get-authenticator,1,0,ibm.catalog_management.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().get_authenticator().get_result(),,authenticator
ibm,catalog_management,authenticator.authenticator_name,item.authenticator_name,string,No,ibm.catalog_management.get-authenticator,read_list,Yes,ibm.catalog_management.get-authenticator,ibm.catalog_management.get-authenticator,1,0,ibm.catalog_management.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.catalog_management.CatalogManagementV1().get_authenticator().get_result(),,authenticator
