csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,enterprise_management,account_group.items,item.items,string,No,ibm.enterprise_management.list-account-groups,read_list,Yes,ibm.enterprise_management.list-account-groups,ibm.enterprise_management.list-account-groups,1,0,ibm.enterprise_management.list-account-groups[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().list_account_groups().get_result(),,account_group
ibm,enterprise_management,account_group.next_token,item.next_token,string,No,ibm.enterprise_management.list-account-groups,read_list,Yes,ibm.enterprise_management.list-account-groups,ibm.enterprise_management.list-account-groups,1,0,ibm.enterprise_management.list-account-groups[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().list_account_groups().get_result(),,account_group
ibm,enterprise_management,account_group.account_group_id,item.account_group_id,string,Yes,ibm.enterprise_management.get-account-group,read_list,Yes,ibm.enterprise_management.get-account-group,ibm.enterprise_management.get-account-group,1,0,ibm.enterprise_management.get-account-group[account_group_id|account_group_name|account_group_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().get_account_group().get_result(),,account_group
ibm,enterprise_management,account_group.account_group_name,item.account_group_name,string,No,ibm.enterprise_management.get-account-group,read_list,Yes,ibm.enterprise_management.get-account-group,ibm.enterprise_management.get-account-group,1,0,ibm.enterprise_management.get-account-group[account_group_id|account_group_name|account_group_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().get_account_group().get_result(),,account_group
ibm,enterprise_management,account_group.account_group_status,item.account_group_status,string,No,ibm.enterprise_management.get-account-group,read_list,Yes,ibm.enterprise_management.get-account-group,ibm.enterprise_management.get-account-group,1,0,ibm.enterprise_management.get-account-group[account_group_id|account_group_name|account_group_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().get_account_group().get_result(),,account_group
ibm,enterprise_management,account_group.created_at,item.created_at,string,No,ibm.enterprise_management.get-account-group,read_list,Yes,ibm.enterprise_management.get-account-group,ibm.enterprise_management.get-account-group,1,0,ibm.enterprise_management.get-account-group[account_group_id|account_group_name|account_group_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().get_account_group().get_result(),,account_group
ibm,enterprise_management,account_group.tags,item.tags,array,No,ibm.enterprise_management.get-account-group,read_list,Yes,ibm.enterprise_management.get-account-group,ibm.enterprise_management.get-account-group,1,0,ibm.enterprise_management.get-account-group[account_group_id|account_group_name|account_group_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().get_account_group().get_result(),,account_group
ibm,enterprise_management,crn,item.crn,string,Yes,ibm.enterprise_management.get-account,read_list,Yes,ibm.enterprise_management.get-account,ibm.enterprise_management.get-account,1,0,ibm.enterprise_management.get-account[crn|account_id|account_name|account_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().get_account().get_result(),,
ibm,enterprise_management,account.account_id,item.account_id,string,Yes,ibm.enterprise_management.get-account,read_list,Yes,ibm.enterprise_management.get-account,ibm.enterprise_management.get-account,1,0,ibm.enterprise_management.get-account[crn|account_id|account_name|account_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().get_account().get_result(),,account
ibm,enterprise_management,account.account_name,item.account_name,string,No,ibm.enterprise_management.get-account,read_list,Yes,ibm.enterprise_management.get-account,ibm.enterprise_management.get-account,1,0,ibm.enterprise_management.get-account[crn|account_id|account_name|account_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.enterprise_management.EnterpriseManagementV1().get_account().get_result(),,account
