csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,global_catalog,catalog_entry.items,item.items,string,No,ibm.global_catalog.list-catalog-entries,read_list,Yes,ibm.global_catalog.list-catalog-entries,ibm.global_catalog.list-catalog-entries,1,0,ibm.global_catalog.list-catalog-entries[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().list_catalog_entries().get_result(),,catalog_entry
ibm,global_catalog,catalog_entry.next_token,item.next_token,string,No,ibm.global_catalog.list-catalog-entries,read_list,Yes,ibm.global_catalog.list-catalog-entries,ibm.global_catalog.list-catalog-entries,1,0,ibm.global_catalog.list-catalog-entries[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().list_catalog_entries().get_result(),,catalog_entry
ibm,global_catalog,catalog_entry.catalog_entry_id,item.catalog_entry_id,string,Yes,ibm.global_catalog.get-catalog-entry,read_list,Yes,ibm.global_catalog.get-catalog-entry,ibm.global_catalog.get-catalog-entry,1,0,ibm.global_catalog.get-catalog-entry[catalog_entry_id|catalog_entry_name|catalog_entry_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_catalog_entry().get_result(),,catalog_entry
ibm,global_catalog,catalog_entry.catalog_entry_name,item.catalog_entry_name,string,No,ibm.global_catalog.get-catalog-entry,read_list,Yes,ibm.global_catalog.get-catalog-entry,ibm.global_catalog.get-catalog-entry,1,0,ibm.global_catalog.get-catalog-entry[catalog_entry_id|catalog_entry_name|catalog_entry_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_catalog_entry().get_result(),,catalog_entry
ibm,global_catalog,catalog_entry.catalog_entry_status,item.catalog_entry_status,string,No,ibm.global_catalog.get-catalog-entry,read_list,Yes,ibm.global_catalog.get-catalog-entry,ibm.global_catalog.get-catalog-entry,1,0,ibm.global_catalog.get-catalog-entry[catalog_entry_id|catalog_entry_name|catalog_entry_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_catalog_entry().get_result(),,catalog_entry
ibm,global_catalog,catalog_entry.created_at,item.created_at,string,No,ibm.global_catalog.get-catalog-entry,read_list,Yes,ibm.global_catalog.get-catalog-entry,ibm.global_catalog.get-catalog-entry,1,0,ibm.global_catalog.get-catalog-entry[catalog_entry_id|catalog_entry_name|catalog_entry_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_catalog_entry().get_result(),,catalog_entry
ibm,global_catalog,catalog_entry.tags,item.tags,array,No,ibm.global_catalog.get-catalog-entry,read_list,Yes,ibm.global_catalog.get-catalog-entry,ibm.global_catalog.get-catalog-entry,1,0,ibm.global_catalog.get-catalog-entry[catalog_entry_id|catalog_entry_name|catalog_entry_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_catalog_entry().get_result(),,catalog_entry
ibm,global_catalog,crn,item.crn,string,Yes,ibm.global_catalog.get-artifact,read_list,Yes,ibm.global_catalog.get-artifact,ibm.global_catalog.get-artifact,1,0,ibm.global_catalog.get-artifact[crn|artifact_id|artifact_name|artifact_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_artifact().get_result(),,
ibm,global_catalog,artifact.artifact_id,item.artifact_id,string,Yes,ibm.global_catalog.get-artifact,read_list,Yes,ibm.global_catalog.get-artifact,ibm.global_catalog.get-artifact,1,0,ibm.global_catalog.get-artifact[crn|artifact_id|artifact_name|artifact_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_artifact().get_result(),,artifact
ibm,global_catalog,artifact.artifact_name,item.artifact_name,string,No,ibm.global_catalog.get-artifact,read_list,Yes,ibm.global_catalog.get-artifact,ibm.global_catalog.get-artifact,1,0,ibm.global_catalog.get-artifact[crn|artifact_id|artifact_name|artifact_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_artifact().get_result(),,artifact
ibm,global_catalog,artifact.artifact_status,item.artifact_status,string,No,ibm.global_catalog.get-artifact,read_list,Yes,ibm.global_catalog.get-artifact,ibm.global_catalog.get-artifact,1,0,ibm.global_catalog.get-artifact[crn|artifact_id|artifact_name|artifact_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_artifact().get_result(),,artifact
ibm,global_catalog,artifact.created_at,item.created_at,string,No,ibm.global_catalog.get-artifact,read_list,Yes,ibm.global_catalog.get-artifact,ibm.global_catalog.get-artifact,1,0,ibm.global_catalog.get-artifact[crn|artifact_id|artifact_name|artifact_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_artifact().get_result(),,artifact
ibm,global_catalog,artifact.tags,item.tags,array,No,ibm.global_catalog.get-artifact,read_list,Yes,ibm.global_catalog.get-artifact,ibm.global_catalog.get-artifact,1,0,ibm.global_catalog.get-artifact[crn|artifact_id|artifact_name|artifact_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_artifact().get_result(),,artifact
ibm,global_catalog,audit_log.audit_log_id,item.audit_log_id,string,Yes,ibm.global_catalog.get-audit-logs,read_list,Yes,ibm.global_catalog.get-audit-logs,ibm.global_catalog.get-audit-logs,1,0,ibm.global_catalog.get-audit-logs[audit_log_id|audit_log_name|audit_log_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_audit_logs().get_result(),,audit_log
ibm,global_catalog,audit_log.audit_log_name,item.audit_log_name,string,No,ibm.global_catalog.get-audit-logs,read_list,Yes,ibm.global_catalog.get-audit-logs,ibm.global_catalog.get-audit-logs,1,0,ibm.global_catalog.get-audit-logs[audit_log_id|audit_log_name|audit_log_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_audit_logs().get_result(),,audit_log
ibm,global_catalog,audit_log.audit_log_status,item.audit_log_status,string,No,ibm.global_catalog.get-audit-logs,read_list,Yes,ibm.global_catalog.get-audit-logs,ibm.global_catalog.get-audit-logs,1,0,ibm.global_catalog.get-audit-logs[audit_log_id|audit_log_name|audit_log_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_audit_logs().get_result(),,audit_log
ibm,global_catalog,audit_log.created_at,item.created_at,string,No,ibm.global_catalog.get-audit-logs,read_list,Yes,ibm.global_catalog.get-audit-logs,ibm.global_catalog.get-audit-logs,1,0,ibm.global_catalog.get-audit-logs[audit_log_id|audit_log_name|audit_log_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_audit_logs().get_result(),,audit_log
ibm,global_catalog,audit_log.tags,item.tags,array,No,ibm.global_catalog.get-audit-logs,read_list,Yes,ibm.global_catalog.get-audit-logs,ibm.global_catalog.get-audit-logs,1,0,ibm.global_catalog.get-audit-logs[audit_log_id|audit_log_name|audit_log_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_audit_logs().get_result(),,audit_log
ibm,global_catalog,authenticator.authenticator_id,item.authenticator_id,string,Yes,ibm.global_catalog.get-authenticator,read_list,Yes,ibm.global_catalog.get-authenticator,ibm.global_catalog.get-authenticator,1,0,ibm.global_catalog.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_authenticator().get_result(),,authenticator
ibm,global_catalog,authenticator.authenticator_name,item.authenticator_name,string,No,ibm.global_catalog.get-authenticator,read_list,Yes,ibm.global_catalog.get-authenticator,ibm.global_catalog.get-authenticator,1,0,ibm.global_catalog.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_authenticator().get_result(),,authenticator
ibm,global_catalog,authenticator.authenticator_status,item.authenticator_status,string,No,ibm.global_catalog.get-authenticator,read_list,Yes,ibm.global_catalog.get-authenticator,ibm.global_catalog.get-authenticator,1,0,ibm.global_catalog.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_authenticator().get_result(),,authenticator
ibm,global_catalog,authenticator.created_at,item.created_at,string,No,ibm.global_catalog.get-authenticator,read_list,Yes,ibm.global_catalog.get-authenticator,ibm.global_catalog.get-authenticator,1,0,ibm.global_catalog.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_authenticator().get_result(),,authenticator
ibm,global_catalog,authenticator.tags,item.tags,array,No,ibm.global_catalog.get-authenticator,read_list,Yes,ibm.global_catalog.get-authenticator,ibm.global_catalog.get-authenticator,1,0,ibm.global_catalog.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_authenticator().get_result(),,authenticator
ibm,global_catalog,child_object.child_object_id,item.child_object_id,string,Yes,ibm.global_catalog.get-child-objects,read_list,Yes,ibm.global_catalog.get-child-objects,ibm.global_catalog.get-child-objects,1,0,ibm.global_catalog.get-child-objects[child_object_id|child_object_name|child_object_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_child_objects().get_result(),,child_object
ibm,global_catalog,child_object.child_object_name,item.child_object_name,string,No,ibm.global_catalog.get-child-objects,read_list,Yes,ibm.global_catalog.get-child-objects,ibm.global_catalog.get-child-objects,1,0,ibm.global_catalog.get-child-objects[child_object_id|child_object_name|child_object_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_child_objects().get_result(),,child_object
ibm,global_catalog,child_object.child_object_status,item.child_object_status,string,No,ibm.global_catalog.get-child-objects,read_list,Yes,ibm.global_catalog.get-child-objects,ibm.global_catalog.get-child-objects,1,0,ibm.global_catalog.get-child-objects[child_object_id|child_object_name|child_object_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_catalog.GlobalCatalogV1().get_child_objects().get_result(),,child_object
