csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,global_tagging,tag.items,item.items,string,No,ibm.global_tagging.list-tags,read_list,Yes,ibm.global_tagging.list-tags,ibm.global_tagging.list-tags,1,0,ibm.global_tagging.list-tags[items|next_token|tag_id|tag_name|tag_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().list_tags().get_result(),,tag
ibm,global_tagging,tag.next_token,item.next_token,string,No,ibm.global_tagging.list-tags,read_list,Yes,ibm.global_tagging.list-tags,ibm.global_tagging.list-tags,1,0,ibm.global_tagging.list-tags[items|next_token|tag_id|tag_name|tag_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().list_tags().get_result(),,tag
ibm,global_tagging,tag.tag_id,item.tag_id,string,Yes,ibm.global_tagging.list-tags,read_list,Yes,ibm.global_tagging.list-tags,ibm.global_tagging.list-tags,1,0,ibm.global_tagging.list-tags[items|next_token|tag_id|tag_name|tag_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().list_tags().get_result(),,tag
ibm,global_tagging,tag.tag_name,item.tag_name,string,No,ibm.global_tagging.list-tags,read_list,Yes,ibm.global_tagging.list-tags,ibm.global_tagging.list-tags,1,0,ibm.global_tagging.list-tags[items|next_token|tag_id|tag_name|tag_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().list_tags().get_result(),,tag
ibm,global_tagging,tag.tag_status,item.tag_status,string,No,ibm.global_tagging.list-tags,read_list,Yes,ibm.global_tagging.list-tags,ibm.global_tagging.list-tags,1,0,ibm.global_tagging.list-tags[items|next_token|tag_id|tag_name|tag_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().list_tags().get_result(),,tag
ibm,global_tagging,tag.created_at,item.created_at,string,No,ibm.global_tagging.list-tags,read_list,Yes,ibm.global_tagging.list-tags,ibm.global_tagging.list-tags,1,0,ibm.global_tagging.list-tags[items|next_token|tag_id|tag_name|tag_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().list_tags().get_result(),,tag
ibm,global_tagging,tag.tags,item.tags,array,No,ibm.global_tagging.list-tags,read_list,Yes,ibm.global_tagging.list-tags,ibm.global_tagging.list-tags,1,0,ibm.global_tagging.list-tags[items|next_token|tag_id|tag_name|tag_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().list_tags().get_result(),,tag
ibm,global_tagging,crn,item.crn,string,Yes,ibm.global_tagging.get-authenticator,read_list,Yes,ibm.global_tagging.get-authenticator,ibm.global_tagging.get-authenticator,1,0,ibm.global_tagging.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_authenticator().get_result(),,
ibm,global_tagging,authenticator.authenticator_id,item.authenticator_id,string,Yes,ibm.global_tagging.get-authenticator,read_list,Yes,ibm.global_tagging.get-authenticator,ibm.global_tagging.get-authenticator,1,0,ibm.global_tagging.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_authenticator().get_result(),,authenticator
ibm,global_tagging,authenticator.authenticator_name,item.authenticator_name,string,No,ibm.global_tagging.get-authenticator,read_list,Yes,ibm.global_tagging.get-authenticator,ibm.global_tagging.get-authenticator,1,0,ibm.global_tagging.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_authenticator().get_result(),,authenticator
ibm,global_tagging,authenticator.authenticator_status,item.authenticator_status,string,No,ibm.global_tagging.get-authenticator,read_list,Yes,ibm.global_tagging.get-authenticator,ibm.global_tagging.get-authenticator,1,0,ibm.global_tagging.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_authenticator().get_result(),,authenticator
ibm,global_tagging,authenticator.created_at,item.created_at,string,No,ibm.global_tagging.get-authenticator,read_list,Yes,ibm.global_tagging.get-authenticator,ibm.global_tagging.get-authenticator,1,0,ibm.global_tagging.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_authenticator().get_result(),,authenticator
ibm,global_tagging,authenticator.tags,item.tags,array,No,ibm.global_tagging.get-authenticator,read_list,Yes,ibm.global_tagging.get-authenticator,ibm.global_tagging.get-authenticator,1,0,ibm.global_tagging.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_authenticator().get_result(),,authenticator
ibm,global_tagging,enable_gzip_compression.enable_gzip_compression_id,item.enable_gzip_compression_id,string,Yes,ibm.global_tagging.get-enable-gzip-compression,read_list,Yes,ibm.global_tagging.get-enable-gzip-compression,ibm.global_tagging.get-enable-gzip-compression,1,0,ibm.global_tagging.get-enable-gzip-compression[enable_gzip_compression_id|enable_gzip_compression_name|enable_gzip_compression_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_enable_gzip_compression().get_result(),,enable_gzip_compression
ibm,global_tagging,enable_gzip_compression.enable_gzip_compression_name,item.enable_gzip_compression_name,string,No,ibm.global_tagging.get-enable-gzip-compression,read_list,Yes,ibm.global_tagging.get-enable-gzip-compression,ibm.global_tagging.get-enable-gzip-compression,1,0,ibm.global_tagging.get-enable-gzip-compression[enable_gzip_compression_id|enable_gzip_compression_name|enable_gzip_compression_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_enable_gzip_compression().get_result(),,enable_gzip_compression
ibm,global_tagging,enable_gzip_compression.enable_gzip_compression_status,item.enable_gzip_compression_status,string,No,ibm.global_tagging.get-enable-gzip-compression,read_list,Yes,ibm.global_tagging.get-enable-gzip-compression,ibm.global_tagging.get-enable-gzip-compression,1,0,ibm.global_tagging.get-enable-gzip-compression[enable_gzip_compression_id|enable_gzip_compression_name|enable_gzip_compression_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_enable_gzip_compression().get_result(),,enable_gzip_compression
ibm,global_tagging,enable_gzip_compression.created_at,item.created_at,string,No,ibm.global_tagging.get-enable-gzip-compression,read_list,Yes,ibm.global_tagging.get-enable-gzip-compression,ibm.global_tagging.get-enable-gzip-compression,1,0,ibm.global_tagging.get-enable-gzip-compression[enable_gzip_compression_id|enable_gzip_compression_name|enable_gzip_compression_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.global_tagging.GlobalTaggingV1().get_enable_gzip_compression().get_result(),,enable_gzip_compression
