csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,ibm_cloud_shell,account_setting.account_setting_id,item.account_setting_id,string,Yes,ibm.ibm_cloud_shell.get-account-settings,read_list,Yes,ibm.ibm_cloud_shell.get-account-settings,ibm.ibm_cloud_shell.get-account-settings,1,0,ibm.ibm_cloud_shell.get-account-settings[account_setting_id|account_setting_name|crn|account_setting_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_account_settings().get_result(),,account_setting
ibm,ibm_cloud_shell,account_setting.account_setting_name,item.account_setting_name,string,No,ibm.ibm_cloud_shell.get-account-settings,read_list,Yes,ibm.ibm_cloud_shell.get-account-settings,ibm.ibm_cloud_shell.get-account-settings,1,0,ibm.ibm_cloud_shell.get-account-settings[account_setting_id|account_setting_name|crn|account_setting_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_account_settings().get_result(),,account_setting
ibm,ibm_cloud_shell,crn,item.crn,string,Yes,ibm.ibm_cloud_shell.get-account-settings,read_list,Yes,ibm.ibm_cloud_shell.get-account-settings,ibm.ibm_cloud_shell.get-account-settings,1,0,ibm.ibm_cloud_shell.get-account-settings[account_setting_id|account_setting_name|crn|account_setting_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_account_settings().get_result(),,
ibm,ibm_cloud_shell,account_setting.account_setting_status,item.account_setting_status,string,No,ibm.ibm_cloud_shell.get-account-settings,read_list,Yes,ibm.ibm_cloud_shell.get-account-settings,ibm.ibm_cloud_shell.get-account-settings,1,0,ibm.ibm_cloud_shell.get-account-settings[account_setting_id|account_setting_name|crn|account_setting_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_account_settings().get_result(),,account_setting
ibm,ibm_cloud_shell,account_setting.created_at,item.created_at,string,No,ibm.ibm_cloud_shell.get-account-settings,read_list,Yes,ibm.ibm_cloud_shell.get-account-settings,ibm.ibm_cloud_shell.get-account-settings,1,0,ibm.ibm_cloud_shell.get-account-settings[account_setting_id|account_setting_name|crn|account_setting_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_account_settings().get_result(),,account_setting
ibm,ibm_cloud_shell,account_setting.tags,item.tags,array,No,ibm.ibm_cloud_shell.get-account-settings,read_list,Yes,ibm.ibm_cloud_shell.get-account-settings,ibm.ibm_cloud_shell.get-account-settings,1,0,ibm.ibm_cloud_shell.get-account-settings[account_setting_id|account_setting_name|crn|account_setting_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_account_settings().get_result(),,account_setting
ibm,ibm_cloud_shell,authenticator.authenticator_id,item.authenticator_id,string,Yes,ibm.ibm_cloud_shell.get-authenticator,read_list,Yes,ibm.ibm_cloud_shell.get-authenticator,ibm.ibm_cloud_shell.get-authenticator,1,0,ibm.ibm_cloud_shell.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_authenticator().get_result(),,authenticator
ibm,ibm_cloud_shell,authenticator.authenticator_name,item.authenticator_name,string,No,ibm.ibm_cloud_shell.get-authenticator,read_list,Yes,ibm.ibm_cloud_shell.get-authenticator,ibm.ibm_cloud_shell.get-authenticator,1,0,ibm.ibm_cloud_shell.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_authenticator().get_result(),,authenticator
ibm,ibm_cloud_shell,authenticator.authenticator_status,item.authenticator_status,string,No,ibm.ibm_cloud_shell.get-authenticator,read_list,Yes,ibm.ibm_cloud_shell.get-authenticator,ibm.ibm_cloud_shell.get-authenticator,1,0,ibm.ibm_cloud_shell.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_authenticator().get_result(),,authenticator
ibm,ibm_cloud_shell,authenticator.created_at,item.created_at,string,No,ibm.ibm_cloud_shell.get-authenticator,read_list,Yes,ibm.ibm_cloud_shell.get-authenticator,ibm.ibm_cloud_shell.get-authenticator,1,0,ibm.ibm_cloud_shell.get-authenticator[authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.ibm_cloud_shell.IbmCloudShellV1().get_authenticator().get_result(),,authenticator
