csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,open_service_broker,catalog.items,item.items,string,No,ibm.open_service_broker.list-catalog,read_list,Yes,ibm.open_service_broker.list-catalog,ibm.open_service_broker.list-catalog,1,0,ibm.open_service_broker.list-catalog[items|next_token|catalog_id|catalog_name|catalog_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().list_catalog().get_result(),,catalog
ibm,open_service_broker,catalog.next_token,item.next_token,string,No,ibm.open_service_broker.list-catalog,read_list,Yes,ibm.open_service_broker.list-catalog,ibm.open_service_broker.list-catalog,1,0,ibm.open_service_broker.list-catalog[items|next_token|catalog_id|catalog_name|catalog_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().list_catalog().get_result(),,catalog
ibm,open_service_broker,catalog.catalog_id,item.catalog_id,string,Yes,ibm.open_service_broker.list-catalog,read_list,Yes,ibm.open_service_broker.list-catalog,ibm.open_service_broker.list-catalog,1,0,ibm.open_service_broker.list-catalog[items|next_token|catalog_id|catalog_name|catalog_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().list_catalog().get_result(),,catalog
ibm,open_service_broker,catalog.catalog_name,item.catalog_name,string,No,ibm.open_service_broker.list-catalog,read_list,Yes,ibm.open_service_broker.list-catalog,ibm.open_service_broker.list-catalog,1,0,ibm.open_service_broker.list-catalog[items|next_token|catalog_id|catalog_name|catalog_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().list_catalog().get_result(),,catalog
ibm,open_service_broker,catalog.catalog_status,item.catalog_status,string,No,ibm.open_service_broker.list-catalog,read_list,Yes,ibm.open_service_broker.list-catalog,ibm.open_service_broker.list-catalog,1,0,ibm.open_service_broker.list-catalog[items|next_token|catalog_id|catalog_name|catalog_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().list_catalog().get_result(),,catalog
ibm,open_service_broker,catalog.created_at,item.created_at,string,No,ibm.open_service_broker.list-catalog,read_list,Yes,ibm.open_service_broker.list-catalog,ibm.open_service_broker.list-catalog,1,0,ibm.open_service_broker.list-catalog[items|next_token|catalog_id|catalog_name|catalog_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().list_catalog().get_result(),,catalog
ibm,open_service_broker,catalog.tags,item.tags,array,No,ibm.open_service_broker.list-catalog,read_list,Yes,ibm.open_service_broker.list-catalog,ibm.open_service_broker.list-catalog,1,0,ibm.open_service_broker.list-catalog[items|next_token|catalog_id|catalog_name|catalog_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().list_catalog().get_result(),,catalog
ibm,open_service_broker,crn,item.crn,string,Yes,ibm.open_service_broker.get-authenticator,read_list,Yes,ibm.open_service_broker.get-authenticator,ibm.open_service_broker.get-authenticator,1,0,ibm.open_service_broker.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().get_authenticator().get_result(),,
ibm,open_service_broker,authenticator.authenticator_id,item.authenticator_id,string,Yes,ibm.open_service_broker.get-authenticator,read_list,Yes,ibm.open_service_broker.get-authenticator,ibm.open_service_broker.get-authenticator,1,0,ibm.open_service_broker.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().get_authenticator().get_result(),,authenticator
ibm,open_service_broker,authenticator.authenticator_name,item.authenticator_name,string,No,ibm.open_service_broker.get-authenticator,read_list,Yes,ibm.open_service_broker.get-authenticator,ibm.open_service_broker.get-authenticator,1,0,ibm.open_service_broker.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.open_service_broker.OpenServiceBrokerV1().get_authenticator().get_result(),,authenticator
