csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,platform_services,authenticator.authenticator_id,item.authenticator_id,string,Yes,ibm.platform_services.get-authenticator,read_list,Yes,ibm.platform_services.get-authenticator,ibm.platform_services.get-authenticator,1,0,ibm.platform_services.get-authenticator[authenticator_id|authenticator_name|crn|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_authenticator().get_result(),,authenticator
ibm,platform_services,authenticator.authenticator_name,item.authenticator_name,string,No,ibm.platform_services.get-authenticator,read_list,Yes,ibm.platform_services.get-authenticator,ibm.platform_services.get-authenticator,1,0,ibm.platform_services.get-authenticator[authenticator_id|authenticator_name|crn|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_authenticator().get_result(),,authenticator
ibm,platform_services,crn,item.crn,string,Yes,ibm.platform_services.get-authenticator,read_list,Yes,ibm.platform_services.get-authenticator,ibm.platform_services.get-authenticator,1,0,ibm.platform_services.get-authenticator[authenticator_id|authenticator_name|crn|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_authenticator().get_result(),,
ibm,platform_services,authenticator.authenticator_status,item.authenticator_status,string,No,ibm.platform_services.get-authenticator,read_list,Yes,ibm.platform_services.get-authenticator,ibm.platform_services.get-authenticator,1,0,ibm.platform_services.get-authenticator[authenticator_id|authenticator_name|crn|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_authenticator().get_result(),,authenticator
ibm,platform_services,authenticator.created_at,item.created_at,string,No,ibm.platform_services.get-authenticator,read_list,Yes,ibm.platform_services.get-authenticator,ibm.platform_services.get-authenticator,1,0,ibm.platform_services.get-authenticator[authenticator_id|authenticator_name|crn|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_authenticator().get_result(),,authenticator
ibm,platform_services,authenticator.tags,item.tags,array,No,ibm.platform_services.get-authenticator,read_list,Yes,ibm.platform_services.get-authenticator,ibm.platform_services.get-authenticator,1,0,ibm.platform_services.get-authenticator[authenticator_id|authenticator_name|crn|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_authenticator().get_result(),,authenticator
ibm,platform_services,case.case_id,item.case_id,string,Yes,ibm.platform_services.get-case,read_list,Yes,ibm.platform_services.get-case,ibm.platform_services.get-case,1,0,ibm.platform_services.get-case[case_id|case_name|case_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_case().get_result(),,case
ibm,platform_services,case.case_name,item.case_name,string,No,ibm.platform_services.get-case,read_list,Yes,ibm.platform_services.get-case,ibm.platform_services.get-case,1,0,ibm.platform_services.get-case[case_id|case_name|case_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_case().get_result(),,case
ibm,platform_services,case.case_status,item.case_status,string,No,ibm.platform_services.get-case,read_list,Yes,ibm.platform_services.get-case,ibm.platform_services.get-case,1,0,ibm.platform_services.get-case[case_id|case_name|case_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_case().get_result(),,case
ibm,platform_services,case.created_at,item.created_at,string,No,ibm.platform_services.get-case,read_list,Yes,ibm.platform_services.get-case,ibm.platform_services.get-case,1,0,ibm.platform_services.get-case[case_id|case_name|case_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.platform_services.PlatformServicesV1().get_case().get_result(),,case
