csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path,resource_type
ibm,vpc,backup_policy.items,item.items,string,No,ibm.vpc.list-backup-policies,read_list,Yes,ibm.vpc.list-backup-policies,ibm.vpc.list-backup-policies,1,0,ibm.vpc.list-backup-policies[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_backup_policies().get_result(),,backup_policy
ibm,vpc,backup_policy.next_token,item.next_token,string,No,ibm.vpc.list-backup-policies,read_list,Yes,ibm.vpc.list-backup-policies,ibm.vpc.list-backup-policies,1,0,ibm.vpc.list-backup-policies[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_backup_policies().get_result(),,backup_policy
ibm,vpc,backup_policy.backup_policy_id,item.backup_policy_id,string,Yes,ibm.vpc.get-backup-policy,read_list,Yes,ibm.vpc.get-backup-policy,ibm.vpc.get-backup-policy,1,0,ibm.vpc.get-backup-policy[backup_policy_id|backup_policy_name|backup_policy_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_backup_policy().get_result(),,backup_policy
ibm,vpc,backup_policy.backup_policy_name,item.backup_policy_name,string,No,ibm.vpc.get-backup-policy,read_list,Yes,ibm.vpc.get-backup-policy,ibm.vpc.get-backup-policy,1,0,ibm.vpc.get-backup-policy[backup_policy_id|backup_policy_name|backup_policy_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_backup_policy().get_result(),,backup_policy
ibm,vpc,backup_policy.backup_policy_status,item.backup_policy_status,string,No,ibm.vpc.get-backup-policy,read_list,Yes,ibm.vpc.get-backup-policy,ibm.vpc.get-backup-policy,1,0,ibm.vpc.get-backup-policy[backup_policy_id|backup_policy_name|backup_policy_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_backup_policy().get_result(),,backup_policy
ibm,vpc,backup_policy.created_at,item.created_at,string,No,ibm.vpc.get-backup-policy,read_list,Yes,ibm.vpc.get-backup-policy,ibm.vpc.get-backup-policy,1,0,ibm.vpc.get-backup-policy[backup_policy_id|backup_policy_name|backup_policy_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_backup_policy().get_result(),,backup_policy
ibm,vpc,backup_policy.tags,item.tags,array,No,ibm.vpc.get-backup-policy,read_list,Yes,ibm.vpc.get-backup-policy,ibm.vpc.get-backup-policy,1,0,ibm.vpc.get-backup-policy[backup_policy_id|backup_policy_name|backup_policy_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_backup_policy().get_result(),,backup_policy
ibm,vpc,crn,item.crn,string,Yes,ibm.vpc.get-authenticator,read_list,Yes,ibm.vpc.get-authenticator,ibm.vpc.get-authenticator,1,0,ibm.vpc.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_authenticator().get_result(),,
ibm,vpc,authenticator.authenticator_id,item.authenticator_id,string,Yes,ibm.vpc.get-authenticator,read_list,Yes,ibm.vpc.get-authenticator,ibm.vpc.get-authenticator,1,0,ibm.vpc.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_authenticator().get_result(),,authenticator
ibm,vpc,authenticator.authenticator_name,item.authenticator_name,string,No,ibm.vpc.get-authenticator,read_list,Yes,ibm.vpc.get-authenticator,ibm.vpc.get-authenticator,1,0,ibm.vpc.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_authenticator().get_result(),,authenticator
ibm,vpc,authenticator.authenticator_status,item.authenticator_status,string,No,ibm.vpc.get-authenticator,read_list,Yes,ibm.vpc.get-authenticator,ibm.vpc.get-authenticator,1,0,ibm.vpc.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_authenticator().get_result(),,authenticator
ibm,vpc,authenticator.created_at,item.created_at,string,No,ibm.vpc.get-authenticator,read_list,Yes,ibm.vpc.get-authenticator,ibm.vpc.get-authenticator,1,0,ibm.vpc.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_authenticator().get_result(),,authenticator
ibm,vpc,authenticator.tags,item.tags,array,No,ibm.vpc.get-authenticator,read_list,Yes,ibm.vpc.get-authenticator,ibm.vpc.get-authenticator,1,0,ibm.vpc.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_authenticator().get_result(),,authenticator
ibm,vpc,bare_metal_server_profil.items,item.items,string,No,ibm.vpc.list-bare-metal-server-profiles,read_list,Yes,ibm.vpc.list-bare-metal-server-profiles,ibm.vpc.list-bare-metal-server-profiles,1,0,ibm.vpc.list-bare-metal-server-profiles[items|next_token|bare_metal_server_profil_id|bare_metal_server_profil_name|bare_metal_server_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_server_profiles().get_result(),,bare_metal_server_profil
ibm,vpc,bare_metal_server_profil.next_token,item.next_token,string,No,ibm.vpc.list-bare-metal-server-profiles,read_list,Yes,ibm.vpc.list-bare-metal-server-profiles,ibm.vpc.list-bare-metal-server-profiles,1,0,ibm.vpc.list-bare-metal-server-profiles[items|next_token|bare_metal_server_profil_id|bare_metal_server_profil_name|bare_metal_server_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_server_profiles().get_result(),,bare_metal_server_profil
ibm,vpc,bare_metal_server_profil.bare_metal_server_profil_id,item.bare_metal_server_profil_id,string,Yes,ibm.vpc.list-bare-metal-server-profiles,read_list,Yes,ibm.vpc.list-bare-metal-server-profiles,ibm.vpc.list-bare-metal-server-profiles,1,0,ibm.vpc.list-bare-metal-server-profiles[items|next_token|bare_metal_server_profil_id|bare_metal_server_profil_name|bare_metal_server_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_server_profiles().get_result(),,bare_metal_server_profil
ibm,vpc,bare_metal_server_profil.bare_metal_server_profil_name,item.bare_metal_server_profil_name,string,No,ibm.vpc.list-bare-metal-server-profiles,read_list,Yes,ibm.vpc.list-bare-metal-server-profiles,ibm.vpc.list-bare-metal-server-profiles,1,0,ibm.vpc.list-bare-metal-server-profiles[items|next_token|bare_metal_server_profil_id|bare_metal_server_profil_name|bare_metal_server_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_server_profiles().get_result(),,bare_metal_server_profil
ibm,vpc,bare_metal_server_profil.bare_metal_server_profil_status,item.bare_metal_server_profil_status,string,No,ibm.vpc.list-bare-metal-server-profiles,read_list,Yes,ibm.vpc.list-bare-metal-server-profiles,ibm.vpc.list-bare-metal-server-profiles,1,0,ibm.vpc.list-bare-metal-server-profiles[items|next_token|bare_metal_server_profil_id|bare_metal_server_profil_name|bare_metal_server_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_server_profiles().get_result(),,bare_metal_server_profil
ibm,vpc,bare_metal_server_profil.created_at,item.created_at,string,No,ibm.vpc.list-bare-metal-server-profiles,read_list,Yes,ibm.vpc.list-bare-metal-server-profiles,ibm.vpc.list-bare-metal-server-profiles,1,0,ibm.vpc.list-bare-metal-server-profiles[items|next_token|bare_metal_server_profil_id|bare_metal_server_profil_name|bare_metal_server_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_server_profiles().get_result(),,bare_metal_server_profil
ibm,vpc,bare_metal_server_profil.tags,item.tags,array,No,ibm.vpc.list-bare-metal-server-profiles,read_list,Yes,ibm.vpc.list-bare-metal-server-profiles,ibm.vpc.list-bare-metal-server-profiles,1,0,ibm.vpc.list-bare-metal-server-profiles[items|next_token|bare_metal_server_profil_id|bare_metal_server_profil_name|bare_metal_server_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_server_profiles().get_result(),,bare_metal_server_profil
ibm,vpc,bare_metal_server.items,item.items,string,No,ibm.vpc.list-bare-metal-servers,read_list,Yes,ibm.vpc.list-bare-metal-servers,ibm.vpc.list-bare-metal-servers,1,0,ibm.vpc.list-bare-metal-servers[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_servers().get_result(),,bare_metal_server
ibm,vpc,bare_metal_server.next_token,item.next_token,string,No,ibm.vpc.list-bare-metal-servers,read_list,Yes,ibm.vpc.list-bare-metal-servers,ibm.vpc.list-bare-metal-servers,1,0,ibm.vpc.list-bare-metal-servers[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_bare_metal_servers().get_result(),,bare_metal_server
ibm,vpc,bare_metal_server.bare_metal_server_id,item.bare_metal_server_id,string,Yes,ibm.vpc.get-bare-metal-server,read_list,Yes,ibm.vpc.get-bare-metal-server,ibm.vpc.get-bare-metal-server,1,0,ibm.vpc.get-bare-metal-server[bare_metal_server_id|bare_metal_server_name|bare_metal_server_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_bare_metal_server().get_result(),,bare_metal_server
ibm,vpc,bare_metal_server.bare_metal_server_name,item.bare_metal_server_name,string,No,ibm.vpc.get-bare-metal-server,read_list,Yes,ibm.vpc.get-bare-metal-server,ibm.vpc.get-bare-metal-server,1,0,ibm.vpc.get-bare-metal-server[bare_metal_server_id|bare_metal_server_name|bare_metal_server_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_bare_metal_server().get_result(),,bare_metal_server
ibm,vpc,bare_metal_server.bare_metal_server_status,item.bare_metal_server_status,string,No,ibm.vpc.get-bare-metal-server,read_list,Yes,ibm.vpc.get-bare-metal-server,ibm.vpc.get-bare-metal-server,1,0,ibm.vpc.get-bare-metal-server[bare_metal_server_id|bare_metal_server_name|bare_metal_server_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_bare_metal_server().get_result(),,bare_metal_server
ibm,vpc,bare_metal_server.created_at,item.created_at,string,No,ibm.vpc.get-bare-metal-server,read_list,Yes,ibm.vpc.get-bare-metal-server,ibm.vpc.get-bare-metal-server,1,0,ibm.vpc.get-bare-metal-server[bare_metal_server_id|bare_metal_server_name|bare_metal_server_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_bare_metal_server().get_result(),,bare_metal_server
ibm,vpc,bare_metal_server.tags,item.tags,array,No,ibm.vpc.get-bare-metal-server,read_list,Yes,ibm.vpc.get-bare-metal-server,ibm.vpc.get-bare-metal-server,1,0,ibm.vpc.get-bare-metal-server[bare_metal_server_id|bare_metal_server_name|bare_metal_server_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_bare_metal_server().get_result(),,bare_metal_server
ibm,vpc,cluster_network_profil.items,item.items,string,No,ibm.vpc.list-cluster-network-profiles,read_list,Yes,ibm.vpc.list-cluster-network-profiles,ibm.vpc.list-cluster-network-profiles,1,0,ibm.vpc.list-cluster-network-profiles[items|next_token|cluster_network_profil_id|cluster_network_profil_name|cluster_network_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_network_profiles().get_result(),,cluster_network_profil
ibm,vpc,cluster_network_profil.next_token,item.next_token,string,No,ibm.vpc.list-cluster-network-profiles,read_list,Yes,ibm.vpc.list-cluster-network-profiles,ibm.vpc.list-cluster-network-profiles,1,0,ibm.vpc.list-cluster-network-profiles[items|next_token|cluster_network_profil_id|cluster_network_profil_name|cluster_network_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_network_profiles().get_result(),,cluster_network_profil
ibm,vpc,cluster_network_profil.cluster_network_profil_id,item.cluster_network_profil_id,string,Yes,ibm.vpc.list-cluster-network-profiles,read_list,Yes,ibm.vpc.list-cluster-network-profiles,ibm.vpc.list-cluster-network-profiles,1,0,ibm.vpc.list-cluster-network-profiles[items|next_token|cluster_network_profil_id|cluster_network_profil_name|cluster_network_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_network_profiles().get_result(),,cluster_network_profil
ibm,vpc,cluster_network_profil.cluster_network_profil_name,item.cluster_network_profil_name,string,No,ibm.vpc.list-cluster-network-profiles,read_list,Yes,ibm.vpc.list-cluster-network-profiles,ibm.vpc.list-cluster-network-profiles,1,0,ibm.vpc.list-cluster-network-profiles[items|next_token|cluster_network_profil_id|cluster_network_profil_name|cluster_network_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_network_profiles().get_result(),,cluster_network_profil
ibm,vpc,cluster_network_profil.cluster_network_profil_status,item.cluster_network_profil_status,string,No,ibm.vpc.list-cluster-network-profiles,read_list,Yes,ibm.vpc.list-cluster-network-profiles,ibm.vpc.list-cluster-network-profiles,1,0,ibm.vpc.list-cluster-network-profiles[items|next_token|cluster_network_profil_id|cluster_network_profil_name|cluster_network_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_network_profiles().get_result(),,cluster_network_profil
ibm,vpc,cluster_network_profil.created_at,item.created_at,string,No,ibm.vpc.list-cluster-network-profiles,read_list,Yes,ibm.vpc.list-cluster-network-profiles,ibm.vpc.list-cluster-network-profiles,1,0,ibm.vpc.list-cluster-network-profiles[items|next_token|cluster_network_profil_id|cluster_network_profil_name|cluster_network_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_network_profiles().get_result(),,cluster_network_profil
ibm,vpc,cluster_network_profil.tags,item.tags,array,No,ibm.vpc.list-cluster-network-profiles,read_list,Yes,ibm.vpc.list-cluster-network-profiles,ibm.vpc.list-cluster-network-profiles,1,0,ibm.vpc.list-cluster-network-profiles[items|next_token|cluster_network_profil_id|cluster_network_profil_name|cluster_network_profil_status|created_at|...],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_network_profiles().get_result(),,cluster_network_profil
ibm,vpc,cluster_network.items,item.items,string,No,ibm.vpc.list-cluster-networks,read_list,Yes,ibm.vpc.list-cluster-networks,ibm.vpc.list-cluster-networks,1,0,ibm.vpc.list-cluster-networks[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_networks().get_result(),,cluster_network
ibm,vpc,cluster_network.next_token,item.next_token,string,No,ibm.vpc.list-cluster-networks,read_list,Yes,ibm.vpc.list-cluster-networks,ibm.vpc.list-cluster-networks,1,0,ibm.vpc.list-cluster-networks[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_cluster_networks().get_result(),,cluster_network
ibm,vpc,cluster_network.cluster_network_id,item.cluster_network_id,string,Yes,ibm.vpc.get-cluster-network,read_list,Yes,ibm.vpc.get-cluster-network,ibm.vpc.get-cluster-network,1,0,ibm.vpc.get-cluster-network[cluster_network_id|cluster_network_name|cluster_network_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_cluster_network().get_result(),,cluster_network
ibm,vpc,cluster_network.cluster_network_name,item.cluster_network_name,string,No,ibm.vpc.get-cluster-network,read_list,Yes,ibm.vpc.get-cluster-network,ibm.vpc.get-cluster-network,1,0,ibm.vpc.get-cluster-network[cluster_network_id|cluster_network_name|cluster_network_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_cluster_network().get_result(),,cluster_network
ibm,vpc,cluster_network.cluster_network_status,item.cluster_network_status,string,No,ibm.vpc.get-cluster-network,read_list,Yes,ibm.vpc.get-cluster-network,ibm.vpc.get-cluster-network,1,0,ibm.vpc.get-cluster-network[cluster_network_id|cluster_network_name|cluster_network_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_cluster_network().get_result(),,cluster_network
ibm,vpc,cluster_network.created_at,item.created_at,string,No,ibm.vpc.get-cluster-network,read_list,Yes,ibm.vpc.get-cluster-network,ibm.vpc.get-cluster-network,1,0,ibm.vpc.get-cluster-network[cluster_network_id|cluster_network_name|cluster_network_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_cluster_network().get_result(),,cluster_network
ibm,vpc,cluster_network.tags,item.tags,array,No,ibm.vpc.get-cluster-network,read_list,Yes,ibm.vpc.get-cluster-network,ibm.vpc.get-cluster-network,1,0,ibm.vpc.get-cluster-network[cluster_network_id|cluster_network_name|cluster_network_status|created_at|tags],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().get_cluster_network().get_result(),,cluster_network
ibm,vpc,dedicated_host_group.items,item.items,string,No,ibm.vpc.list-dedicated-host-groups,read_list,Yes,ibm.vpc.list-dedicated-host-groups,ibm.vpc.list-dedicated-host-groups,1,0,ibm.vpc.list-dedicated-host-groups[items|next_token],"equals, not_equals, contains, in",,ibm_platform_services.vpc.VpcV1().list_dedicated_host_groups().get_result(),,dedicated_host_group
