service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
audit,metadata.name,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
audit,spec.policy.level,string,Yes,"equals, exists, in, not_equals, not_in",exists,"in, not_in","equals, in, not_equals, not_in",Select from list,"None, Metadata, Request, RequestResponse",enum,4
audit,spec.policy.stages,array,No,"contains, equals, exists, not_equals",exists,,"contains, equals, not_equals",No value or manual input,,,0
audit,spec.webhook.clientConfig,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
audit,spec.webhook.throttle,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
audit,metadata.namespace,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
audit,reason,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
audit,message,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
audit,type,string,Yes,"equals, exists, in, not_equals, not_in",exists,"in, not_in","equals, in, not_equals, not_in",Select from list,"Normal, Warning",enum,2
audit,involvedObject.kind,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
audit,involvedObject.name,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
audit,count,integer,No,"equals, exists, greater_than, less_than, not_equals",exists,,"equals, greater_than, less_than, not_equals",No value or manual input,,,0
