service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
inventory,apiVersion,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,kind,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,metadata,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,metadata.name,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,metadata.namespace,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,metadata.labels,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,metadata.annotations,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,metadata.creationTimestamp,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,metadata.uid,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,spec,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers,array,No,"contains, equals, exists, not_equals",exists,,"contains, equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].name,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,spec.containers[].image,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,spec.containers[].imagePullPolicy,string,Yes,"equals, exists, in, not_equals, not_in",exists,"in, not_in","equals, in, not_equals, not_in",Select from list,"Always, Never, IfNotPresent",enum,3
inventory,spec.containers[].securityContext,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].securityContext.runAsUser,integer,No,"equals, exists, greater_than, less_than, not_equals",exists,,"equals, greater_than, less_than, not_equals",No value or manual input,,,0
inventory,spec.containers[].securityContext.runAsNonRoot,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].securityContext.readOnlyRootFilesystem,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].securityContext.allowPrivilegeEscalation,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].securityContext.privileged,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].securityContext.capabilities,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].securityContext.capabilities.add,array,No,"contains, equals, exists, not_equals",exists,,"contains, equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].securityContext.capabilities.drop,array,No,"contains, equals, exists, not_equals",exists,,"contains, equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].resources,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].resources.limits,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.containers[].resources.requests,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.hostNetwork,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.hostPID,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.hostIPC,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.serviceAccountName,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
inventory,spec.automountServiceAccountToken,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.securityContext,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
inventory,spec.securityContext.runAsUser,integer,No,"equals, exists, greater_than, less_than, not_equals",exists,,"equals, greater_than, less_than, not_equals",No value or manual input,,,0
