csp,service,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,python_call,http_path,produced_fields,fields_types,fields_operators,resource_type,resource_id_field,resource_id_param,rule_count,check_rule_yaml,is_active,updated_at
k8s,admission,k8s.admission.list_mutating_webhook_configuration,read_list,Yes,k8s.admission.list_mutating_webhook_configuration,k8s.admission.list_mutating_webhook_configuration,1,0,k8s.admission.list_mutating_webhook_configuration[metadata.name|webhooks|webhooks[].failurePolicy|webhooks[].name|webhooks[].reinvocationPolicy|webhooks[].rules|webhooks[].sideEffects],core_v1_api.list_mutating_webhook_configuration_admission(**params),/api/v1/validatingwebhookconfigurations,metadata.name|webhooks|webhooks[].failurePolicy|webhooks[].name|webhooks[].reinvocationPolicy|webhooks[].rules|webhooks[].sideEffects,metadata.name:string|webhooks:array|webhooks[].failurePolicy:string|webhooks[].name:string|webhooks[].reinvocationPolicy:string|webhooks[].rules:array|webhooks[].sideEffects:string,"metadata.name:contains, equals, exists, in, not_equals, not_in|webhooks:contains, equals, exists, not_equals|webhooks[].failurePolicy:equals, exists, in, not_equals, not_in|webhooks[].name:contains, equals, exists, in, not_equals, not_in|webhooks[].reinvocationPolicy:equals, exists, in, not_equals, not_in|webhooks[].rules:contains, equals, exists, not_equals|webhooks[].sideEffects:equals, exists, in, not_equals, not_in",,metadata.name,,0,,true,2026-04-17T12:08:17Z
k8s,admission,k8s.admission.list_validating_webhook_configuration,read_list,Yes,k8s.admission.list_validating_webhook_configuration,k8s.admission.list_validating_webhook_configuration,1,0,k8s.admission.list_validating_webhook_configuration[metadata.name|webhooks|webhooks[].failurePolicy|webhooks[].name|webhooks[].namespaceSelector|webhooks[].rules|webhooks[].sideEffects|webhooks[].timeoutSeconds],core_v1_api.list_validating_webhook_configuration_admission(**params),/api/v1/validatingwebhookconfigurations,metadata.name|webhooks|webhooks[].failurePolicy|webhooks[].name|webhooks[].namespaceSelector|webhooks[].rules|webhooks[].sideEffects|webhooks[].timeoutSeconds,metadata.name:string|webhooks:array|webhooks[].failurePolicy:string|webhooks[].name:string|webhooks[].namespaceSelector:object|webhooks[].rules:array|webhooks[].sideEffects:string|webhooks[].timeoutSeconds:integer,"metadata.name:contains, equals, exists, in, not_equals, not_in|webhooks:contains, equals, exists, not_equals|webhooks[].failurePolicy:equals, exists, in, not_equals, not_in|webhooks[].name:contains, equals, exists, in, not_equals, not_in|webhooks[].namespaceSelector:equals, exists, not_equals|webhooks[].rules:contains, equals, exists, not_equals|webhooks[].sideEffects:equals, exists, in, not_equals, not_in|webhooks[].timeoutSeconds:equals, exists, greater_than, less_than, not_equals",,metadata.name,metadata.name,0,,true,2026-04-17T12:08:17Z
k8s,apiserver,k8s.apiserver.list_api_service,read_list,Yes,k8s.apiserver.list_api_service,k8s.apiserver.list_api_service,1,0,k8s.apiserver.list_api_service[metadata.name|spec.groupPriorityMinimum|spec.insecureSkipTLSVerify|spec.service|spec.versionPriority|status.conditions],core_v1_api.list_api_service_apiserver(**params),/api/v1/apiservices,metadata.name|spec.groupPriorityMinimum|spec.insecureSkipTLSVerify|spec.service|spec.versionPriority|status.conditions,metadata.name:string|spec.groupPriorityMinimum:integer|spec.insecureSkipTLSVerify:boolean|spec.service:object|spec.versionPriority:integer|status.conditions:array,"metadata.name:contains, equals, exists, in, not_equals, not_in|spec.groupPriorityMinimum:equals, exists, greater_than, less_than, not_equals|spec.insecureSkipTLSVerify:equals, exists, not_equals|spec.service:equals, exists, not_equals|spec.versionPriority:equals, exists, greater_than, less_than, not_equals|status.conditions:contains, equals, exists, not_equals",,metadata.name,,0,,true,2026-04-17T12:08:17Z
k8s,apiserver,k8s.apiserver.list_component_status,read_list,Yes,k8s.apiserver.list_component_status,k8s.apiserver.list_component_status,1,0,k8s.apiserver.list_component_status[conditions|conditions[].message|conditions[].status|conditions[].type|metadata.name],core_v1_api.list_component_status_apiserver(**params),/api/v1/apiservices,conditions|conditions[].message|conditions[].status|conditions[].type|metadata.name,conditions:array|conditions[].message:string|conditions[].status:string|conditions[].type:string|metadata.name:string,"conditions:contains, equals, exists, not_equals|conditions[].message:contains, equals, exists, in, not_equals, not_in|conditions[].status:equals, exists, in, not_equals, not_in|conditions[].type:equals, exists, in, not_equals, not_in|metadata.name:contains, equals, exists, in, not_equals, not_in",,metadata.name,metadata.name,0,,true,2026-04-17T12:08:17Z
k8s,audit,k8s.audit.list_audit_sink,read_list,Yes,k8s.audit.list_audit_sink,k8s.audit.list_audit_sink,1,0,k8s.audit.list_audit_sink[metadata.name|spec.policy.level|spec.policy.stages|spec.webhook.clientConfig|spec.webhook.throttle],core_v1_api.list_audit_sink_audit(**params),/api/v1/auditsinks,metadata.name|spec.policy.level|spec.policy.stages|spec.webhook.clientConfig|spec.webhook.throttle,metadata.name:string|spec.policy.level:string|spec.policy.stages:array|spec.webhook.clientConfig:object|spec.webhook.throttle:object,"metadata.name:contains, equals, exists, in, not_equals, not_in|spec.policy.level:equals, exists, in, not_equals, not_in|spec.policy.stages:contains, equals, exists, not_equals|spec.webhook.clientConfig:equals, exists, not_equals|spec.webhook.throttle:equals, exists, not_equals",,metadata.name,,0,,true,2026-04-17T12:08:17Z
k8s,audit,k8s.audit.list_event_for_all_namespaces,read_list,Yes,k8s.audit.list_event_for_all_namespaces,k8s.audit.list_event_for_all_namespaces,1,0,k8s.audit.list_event_for_all_namespaces[count|involvedObject.kind|involvedObject.name|message|metadata.name|metadata.namespace|reason|type],core_v1_api.list_event_for_all_namespaces_audit(**params),/api/v1/auditsinks,count|involvedObject.kind|involvedObject.name|message|metadata.name|metadata.namespace|reason|type,count:integer|involvedObject.kind:string|involvedObject.name:string|message:string|metadata.name:string|metadata.namespace:string|reason:string|type:string,"count:equals, exists, greater_than, less_than, not_equals|involvedObject.kind:contains, equals, exists, in, not_equals, not_in|involvedObject.name:contains, equals, exists, in, not_equals, not_in|message:contains, equals, exists, in, not_equals, not_in|metadata.name:contains, equals, exists, in, not_equals, not_in|metadata.namespace:contains, equals, exists, in, not_equals, not_in|reason:contains, equals, exists, in, not_equals, not_in|type:equals, exists, in, not_equals, not_in",,metadata.namespace,metadata.name,0,,true,2026-04-17T12:08:17Z
k8s,autoscaling,k8s.autoscaling.list_horizontal_pod_autoscaler_for_all_namespaces,read_list,Yes,k8s.autoscaling.list_horizontal_pod_autoscaler_for_all_namespaces,k8s.autoscaling.list_horizontal_pod_autoscaler_for_all_namespaces,1,0,k8s.autoscaling.list_horizontal_pod_autoscaler_for_all_namespaces[metadata.name|metadata.namespace|spec.maxReplicas|spec.metrics|spec.minReplicas|spec.scaleTargetRef|status.currentReplicas],core_v1_api.list_horizontal_pod_autoscaler_for_all_namespaces_autoscaling(**params),/api/v1/autoscalings,metadata.name|metadata.namespace|spec.maxReplicas|spec.metrics|spec.minReplicas|spec.scaleTargetRef|status.currentReplicas,metadata.name:string|metadata.namespace:string|spec.maxReplicas:integer|spec.metrics:array|spec.minReplicas:integer|spec.scaleTargetRef:object|status.currentReplicas:integer,"metadata.name:contains, equals, exists, in, not_equals, not_in|metadata.namespace:contains, equals, exists, in, not_equals, not_in|spec.maxReplicas:equals, exists, greater_than, less_than, not_equals|spec.metrics:contains, equals, exists, not_equals|spec.minReplicas:equals, exists, greater_than, less_than, not_equals|spec.scaleTargetRef:equals, exists, not_equals|status.currentReplicas:equals, exists, greater_than, less_than, not_equals",,metadata.namespace,metadata.name,0,,true,2026-04-17T12:08:17Z
k8s,certificate,k8s.certificate.list_certificate_signing_request,read_list,Yes,k8s.certificate.list_certificate_signing_request,k8s.certificate.list_certificate_signing_request,1,0,k8s.certificate.list_certificate_signing_request[metadata.annotations|metadata.name|spec.expirationSeconds|spec.signerName|spec.usages|status.certificate|status.conditions],core_v1_api.list_certificate_signing_request_certificate(**params),/api/v1/certificatesigningrequests,metadata.annotations|metadata.name|spec.expirationSeconds|spec.signerName|spec.usages|status.certificate|status.conditions,metadata.annotations:object|metadata.name:string|spec.expirationSeconds:integer|spec.signerName:string|spec.usages:array|status.certificate:string|status.conditions:array,"metadata.annotations:equals, exists, not_equals|metadata.name:contains, equals, exists, in, not_equals, not_in|spec.expirationSeconds:equals, exists, greater_than, less_than, not_equals|spec.signerName:contains, equals, exists, in, not_equals, not_in|spec.usages:contains, equals, exists, not_equals|status.certificate:contains, equals, exists, in, not_equals, not_in|status.conditions:contains, equals, exists, not_equals",,metadata.name,metadata.name,0,,true,2026-04-17T12:08:17Z
k8s,cluster,k8s.cluster.list_namespace,read_list,Yes,k8s.cluster.list_namespace,k8s.cluster.list_namespace,1,0,k8s.cluster.list_namespace[metadata|metadata.annotations|metadata.labels|metadata.name|spec|spec.finalizers|status|status.phase],core_v1_api.list_namespace_cluster(**params),/api/v1/clusters,metadata|metadata.annotations|metadata.labels|metadata.name|spec|spec.finalizers|status|status.phase,metadata:object|metadata.annotations:object|metadata.labels:object|metadata.name:string|spec:object|spec.finalizers:array|status:object|status.phase:string,"metadata:equals, exists, not_equals|metadata.annotations:equals, exists, not_equals|metadata.labels:equals, exists, not_equals|metadata.name:contains, equals, exists, in, not_equals, not_in|spec:equals, exists, not_equals|spec.finalizers:contains, equals, exists, not_equals|status:equals, exists, not_equals|status.phase:equals, exists, in, not_equals, not_in",,metadata.name,metadata.name,0,,true,2026-04-17T12:08:17Z
k8s,cluster,k8s.cluster.list_node,read_list,Yes,k8s.cluster.list_node,k8s.cluster.list_node,1,0,k8s.cluster.list_node[metadata.annotations|metadata.labels|metadata.name|spec.podCIDR|spec.taints|spec.unschedulable|status.capacity.cpu|status.capacity.memory|status.conditions|status.nodeInfo.containerRuntimeVersion|status.nodeInfo.kubeletVersion|status.nodeInfo.osImage],core_v1_api.list_node_cluster(**params),/api/v1/clusters,metadata.annotations|metadata.labels|metadata.name|spec.podCIDR|spec.taints|spec.unschedulable|status.capacity.cpu|status.capacity.memory|status.conditions|status.nodeInfo.containerRuntimeVersion|status.nodeInfo.kubeletVersion|status.nodeInfo.osImage,metadata.annotations:object|metadata.labels:object|metadata.name:string|spec.podCIDR:string|spec.taints:array|spec.unschedulable:boolean|status.capacity.cpu:string|status.capacity.memory:string|status.conditions:array|status.nodeInfo.containerRuntimeVersion:string|status.nodeInfo.kubeletVersion:string|status.nodeInfo.osImage:string,"metadata.annotations:equals, exists, not_equals|metadata.labels:equals, exists, not_equals|metadata.name:contains, equals, exists, in, not_equals, not_in|spec.podCIDR:contains, equals, exists, in, not_equals, not_in|spec.taints:contains, equals, exists, not_equals|spec.unschedulable:equals, exists, not_equals|status.capacity.cpu:contains, equals, exists, in, not_equals, not_in|status.capacity.memory:contains, equals, exists, in, not_equals, not_in|status.conditions:contains, equals, exists, not_equals|status.nodeInfo.containerRuntimeVersion:contains, equals, exists, in, not_equals, not_in|status.nodeInfo.kubeletVersion:contains, equals, exists, in, not_equals, not_in|status.nodeInfo.osImage:contains, equals, exists, in, not_equals, not_in",,metadata.name,metadata.name,0,,true,2026-04-17T12:08:17Z
