service,field_name,field_type,is_enum,operators,operators_no_value,operators_select_list,operators_manual_input,value_requirement_type,possible_values,values_source,num_possible_values
monitoring,metadata,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
monitoring,metadata.name,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
monitoring,metadata.namespace,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
monitoring,metadata.annotations,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
monitoring,spec,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
monitoring,spec.type,string,Yes,"equals, exists, in, not_equals, not_in",exists,"in, not_in","equals, in, not_equals, not_in",Select from list,"ClusterIP, NodePort, LoadBalancer, ExternalName",enum,4
monitoring,spec.selector,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
monitoring,spec.ports,array,No,"contains, equals, exists, not_equals",exists,,"contains, equals, not_equals",No value or manual input,,,0
monitoring,spec.externalTrafficPolicy,string,No,"contains, equals, exists, in, not_equals, not_in",exists,"in, not_in","contains, equals, in, not_equals, not_in",No value or manual input,,,0
monitoring,data,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
monitoring,binaryData,object,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
monitoring,immutable,boolean,No,"equals, exists, not_equals",exists,,"equals, not_equals",No value or manual input,,,0
