csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,adm,ocid,item.ocid,string,Yes,oci.adm.list_application_dependency_recommendations,read_list,Yes,oci.adm.list_application_dependency_recommendations,oci.adm.list_application_dependency_recommendations,1,0,oci.adm.list_application_dependency_recommendations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,AdmClient().list_application_dependency_recommendations(compartment_id=compartment_id).data,/20160918/applicationDependencyRecommendations
oci,adm,compartment_id,item.compartment_id,string,Yes,oci.adm.list_knowledge_bases,read_list,Yes,oci.adm.list_knowledge_bases,oci.adm.list_knowledge_bases,1,0,oci.adm.list_knowledge_bases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,AdmClient().list_knowledge_bases(compartment_id=compartment_id).data,/20160918/knowledgeBases
oci,adm,knowledge_base.name,item.knowledge_base.name,string,No,oci.adm.get_knowledge_base,read_get,No,oci.adm.list_knowledge_bases,oci.adm.list_knowledge_bases → oci.adm.get_knowledge_base,2,1,oci.adm.list_knowledge_bases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_knowledge_base[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"AdmClient().get_knowledge_base(compartment_id=compartment_id, knowledge_base_id=knowledge_base_id).data",/20160918/knowledgeBases/{KnowledgeBaseId}
oci,adm,knowledge_base.status,item.knowledge_base.status,string,No,oci.adm.get_knowledge_base,read_get,No,oci.adm.list_knowledge_bases,oci.adm.list_knowledge_bases → oci.adm.get_knowledge_base,2,1,oci.adm.list_knowledge_bases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_knowledge_base[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"AdmClient().get_knowledge_base(compartment_id=compartment_id, knowledge_base_id=knowledge_base_id).data",/20160918/knowledgeBases/{KnowledgeBaseId}
oci,adm,knowledge_base.time_created,item.knowledge_base.time_created,string,No,oci.adm.get_knowledge_base,read_get,No,oci.adm.list_knowledge_bases,oci.adm.list_knowledge_bases → oci.adm.get_knowledge_base,2,1,oci.adm.list_knowledge_bases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_knowledge_base[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"AdmClient().get_knowledge_base(compartment_id=compartment_id, knowledge_base_id=knowledge_base_id).data",/20160918/knowledgeBases/{KnowledgeBaseId}
oci,adm,knowledge_base.freeform_tags,item.knowledge_base.freeform_tags,object,No,oci.adm.get_knowledge_base,read_get,No,oci.adm.list_knowledge_bases,oci.adm.list_knowledge_bases → oci.adm.get_knowledge_base,2,1,oci.adm.list_knowledge_bases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_knowledge_base[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","AdmClient().get_knowledge_base(compartment_id=compartment_id, knowledge_base_id=knowledge_base_id).data",/20160918/knowledgeBases/{KnowledgeBaseId}
oci,adm,knowledge_base.defined_tags,item.knowledge_base.defined_tags,object,No,oci.adm.get_knowledge_base,read_get,No,oci.adm.list_knowledge_bases,oci.adm.list_knowledge_bases → oci.adm.get_knowledge_base,2,1,oci.adm.list_knowledge_bases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_knowledge_base[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","AdmClient().get_knowledge_base(compartment_id=compartment_id, knowledge_base_id=knowledge_base_id).data",/20160918/knowledgeBases/{KnowledgeBaseId}
oci,adm,remediation_recipe.name,item.remediation_recipe.name,string,No,oci.adm.get_remediation_recipe,read_get,No,oci.adm.list_remediation_recipes,oci.adm.list_remediation_recipes → oci.adm.get_remediation_recipe,2,1,oci.adm.list_remediation_recipes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_remediation_recipe[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"AdmClient().get_remediation_recipe(compartment_id=compartment_id, remediation_recipe_id=remediation_recipe_id).data",/20160918/remediationRecipes/{RemediationRecipeId}
oci,adm,remediation_recipe.status,item.remediation_recipe.status,string,No,oci.adm.get_remediation_recipe,read_get,No,oci.adm.list_remediation_recipes,oci.adm.list_remediation_recipes → oci.adm.get_remediation_recipe,2,1,oci.adm.list_remediation_recipes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_remediation_recipe[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"AdmClient().get_remediation_recipe(compartment_id=compartment_id, remediation_recipe_id=remediation_recipe_id).data",/20160918/remediationRecipes/{RemediationRecipeId}
oci,adm,remediation_recipe.time_created,item.remediation_recipe.time_created,string,No,oci.adm.get_remediation_recipe,read_get,No,oci.adm.list_remediation_recipes,oci.adm.list_remediation_recipes → oci.adm.get_remediation_recipe,2,1,oci.adm.list_remediation_recipes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_remediation_recipe[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"AdmClient().get_remediation_recipe(compartment_id=compartment_id, remediation_recipe_id=remediation_recipe_id).data",/20160918/remediationRecipes/{RemediationRecipeId}
