csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,ai_anomaly_detection,image_job.compartment_id,item.image_job.compartment_id,string,No,oci.ai_anomaly_detection.list_detectors,read_list,Yes,oci.ai_anomaly_detection.list_detectors,oci.ai_anomaly_detection.list_detectors,1,0,oci.ai_anomaly_detection.list_detectors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,AiAnomalyDetectionClient().list_detectors(compartment_id=compartment_id).data,/20160918/detectors
oci,ai_anomaly_detection,image_job.display_name,item.image_job.display_name,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.features,item.image_job.features,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.id,item.image_job.id,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.input_location,item.image_job.input_location,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.is_zip_output_enabled,item.image_job.is_zip_output_enabled,boolean,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"equals, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.lifecycle_details,item.image_job.lifecycle_details,object,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.lifecycle_state,item.image_job.lifecycle_state,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.output_location,item.image_job.output_location,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.percent_complete,item.image_job.percent_complete,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.time_accepted,item.image_job.time_accepted,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, exists, in, not_equals",exists,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.time_finished,item.image_job.time_finished,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, exists, in, not_equals",exists,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,image_job.time_started,item.image_job.time_started,string,No,oci.ai_anomaly_detection.list_image_jobs,read_get,No,oci.ai_anomaly_detection.list_image_jobs,oci.ai_anomaly_detection.list_image_jobs,1,0,oci.ai_anomaly_detection.list_image_jobs[],"contains, equals, exists, in, not_equals",exists,AiAnomalyDetectionClient().list_image_jobs(compartment_id=compartment_id).data,/20160918/imageJobs
oci,ai_anomaly_detection,document_job.compartment_id,item.document_job.compartment_id,string,No,oci.ai_anomaly_detection.list_detectors,read_list,Yes,oci.ai_anomaly_detection.list_detectors,oci.ai_anomaly_detection.list_detectors,1,0,oci.ai_anomaly_detection.list_detectors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,AiAnomalyDetectionClient().list_detectors(compartment_id=compartment_id).data,/20160918/detectors
oci,ai_anomaly_detection,document_job.display_name,item.document_job.display_name,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.document_type,item.document_job.document_type,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.features,item.document_job.features,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.id,item.document_job.id,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.input_location,item.document_job.input_location,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.is_zip_output_enabled,item.document_job.is_zip_output_enabled,boolean,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"equals, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.language,item.document_job.language,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.lifecycle_details,item.document_job.lifecycle_details,object,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.lifecycle_state,item.document_job.lifecycle_state,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.output_location,item.document_job.output_location,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.percent_complete,item.document_job.percent_complete,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, in, not_equals",,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
oci,ai_anomaly_detection,document_job.time_accepted,item.document_job.time_accepted,string,No,oci.ai_anomaly_detection.list_document_jobs,read_get,No,oci.ai_anomaly_detection.list_document_jobs,oci.ai_anomaly_detection.list_document_jobs,1,0,oci.ai_anomaly_detection.list_document_jobs[],"contains, equals, exists, in, not_equals",exists,AiAnomalyDetectionClient().list_document_jobs(compartment_id=compartment_id).data,/20160918/documentJobs
