csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,apm_control_plane,ocid,item.ocid,string,Yes,oci.apm_control_plane.list_apm_domain_work_requests,read_list,Yes,oci.apm_control_plane.list_apm_domain_work_requests,oci.apm_control_plane.list_apm_domain_work_requests,1,0,oci.apm_control_plane.list_apm_domain_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,ApmControlPlaneClient().list_apm_domain_work_requests(compartment_id=compartment_id).data,/20160918/apmDomainWorkRequests
oci,apm_control_plane,compartment_id,item.compartment_id,string,Yes,oci.apm_control_plane.list_work_requests,read_list,Yes,oci.apm_control_plane.list_work_requests,oci.apm_control_plane.list_work_requests,1,0,oci.apm_control_plane.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,ApmControlPlaneClient().list_work_requests(compartment_id=compartment_id).data,/20160918/workRequests
oci,apm_control_plane,apm_domain.name,item.apm_domain.name,string,No,oci.apm_control_plane.list_apm_domains,read_list,Yes,oci.apm_control_plane.list_apm_domains,oci.apm_control_plane.list_apm_domains,1,0,oci.apm_control_plane.list_apm_domains[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ApmControlPlaneClient().list_apm_domains(compartment_id=compartment_id).data,/20160918/apmDomains
oci,apm_control_plane,apm_domain.status,item.apm_domain.status,string,No,oci.apm_control_plane.list_apm_domains,read_list,Yes,oci.apm_control_plane.list_apm_domains,oci.apm_control_plane.list_apm_domains,1,0,oci.apm_control_plane.list_apm_domains[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ApmControlPlaneClient().list_apm_domains(compartment_id=compartment_id).data,/20160918/apmDomains
oci,apm_control_plane,apm_domain.time_created,item.apm_domain.time_created,string,No,oci.apm_control_plane.list_apm_domains,read_list,Yes,oci.apm_control_plane.list_apm_domains,oci.apm_control_plane.list_apm_domains,1,0,oci.apm_control_plane.list_apm_domains[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,ApmControlPlaneClient().list_apm_domains(compartment_id=compartment_id).data,/20160918/apmDomains
oci,apm_control_plane,apm_domain.freeform_tags,item.apm_domain.freeform_tags,object,No,oci.apm_control_plane.list_apm_domains,read_list,Yes,oci.apm_control_plane.list_apm_domains,oci.apm_control_plane.list_apm_domains,1,0,oci.apm_control_plane.list_apm_domains[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ApmControlPlaneClient().list_apm_domains(compartment_id=compartment_id).data,/20160918/apmDomains
oci,apm_control_plane,apm_domain.defined_tags,item.apm_domain.defined_tags,object,No,oci.apm_control_plane.list_apm_domains,read_list,Yes,oci.apm_control_plane.list_apm_domains,oci.apm_control_plane.list_apm_domains,1,0,oci.apm_control_plane.list_apm_domains[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ApmControlPlaneClient().list_apm_domains(compartment_id=compartment_id).data,/20160918/apmDomains
oci,apm_control_plane,work_request.name,item.work_request.name,string,No,oci.apm_control_plane.list_work_requests,read_list,Yes,oci.apm_control_plane.list_work_requests,oci.apm_control_plane.list_work_requests,1,0,oci.apm_control_plane.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ApmControlPlaneClient().list_work_requests(compartment_id=compartment_id).data,/20160918/workRequests
oci,apm_control_plane,work_request.status,item.work_request.status,string,No,oci.apm_control_plane.list_work_requests,read_list,Yes,oci.apm_control_plane.list_work_requests,oci.apm_control_plane.list_work_requests,1,0,oci.apm_control_plane.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ApmControlPlaneClient().list_work_requests(compartment_id=compartment_id).data,/20160918/workRequests
oci,apm_control_plane,work_request.time_created,item.work_request.time_created,string,No,oci.apm_control_plane.list_work_requests,read_list,Yes,oci.apm_control_plane.list_work_requests,oci.apm_control_plane.list_work_requests,1,0,oci.apm_control_plane.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,ApmControlPlaneClient().list_work_requests(compartment_id=compartment_id).data,/20160918/workRequests
