csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,capacity_management,ocid,item.ocid,string,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalog_resources[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,CapacityManagementClient().list_internal_occm_demand_signal_catalog_resources(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogResources
oci,capacity_management,compartment_id,item.compartment_id,string,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalogs,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalogs,oci.capacity_management.list_internal_occm_demand_signal_catalogs,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalogs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,CapacityManagementClient().list_internal_occm_demand_signal_catalogs(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogs
oci,capacity_management,internal_occm_demand_signal.name,item.internal_occm_demand_signal.name,string,No,oci.capacity_management.list_internal_occm_demand_signals,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signals,oci.capacity_management.list_internal_occm_demand_signals,1,0,oci.capacity_management.list_internal_occm_demand_signals[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CapacityManagementClient().list_internal_occm_demand_signals(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignals
oci,capacity_management,internal_occm_demand_signal.status,item.internal_occm_demand_signal.status,string,No,oci.capacity_management.list_internal_occm_demand_signals,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signals,oci.capacity_management.list_internal_occm_demand_signals,1,0,oci.capacity_management.list_internal_occm_demand_signals[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CapacityManagementClient().list_internal_occm_demand_signals(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignals
oci,capacity_management,internal_occm_demand_signal.time_created,item.internal_occm_demand_signal.time_created,string,No,oci.capacity_management.list_internal_occm_demand_signals,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signals,oci.capacity_management.list_internal_occm_demand_signals,1,0,oci.capacity_management.list_internal_occm_demand_signals[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,CapacityManagementClient().list_internal_occm_demand_signals(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignals
oci,capacity_management,internal_occm_demand_signal.freeform_tags,item.internal_occm_demand_signal.freeform_tags,object,No,oci.capacity_management.list_internal_occm_demand_signals,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signals,oci.capacity_management.list_internal_occm_demand_signals,1,0,oci.capacity_management.list_internal_occm_demand_signals[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CapacityManagementClient().list_internal_occm_demand_signals(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignals
oci,capacity_management,internal_occm_demand_signal.defined_tags,item.internal_occm_demand_signal.defined_tags,object,No,oci.capacity_management.list_internal_occm_demand_signals,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signals,oci.capacity_management.list_internal_occm_demand_signals,1,0,oci.capacity_management.list_internal_occm_demand_signals[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CapacityManagementClient().list_internal_occm_demand_signals(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignals
oci,capacity_management,internal_occm_demand_signal_catalog.name,item.internal_occm_demand_signal_catalog.name,string,No,oci.capacity_management.list_internal_occm_demand_signal_catalogs,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalogs,oci.capacity_management.list_internal_occm_demand_signal_catalogs,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalogs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CapacityManagementClient().list_internal_occm_demand_signal_catalogs(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogs
oci,capacity_management,internal_occm_demand_signal_catalog.status,item.internal_occm_demand_signal_catalog.status,string,No,oci.capacity_management.list_internal_occm_demand_signal_catalogs,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalogs,oci.capacity_management.list_internal_occm_demand_signal_catalogs,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalogs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CapacityManagementClient().list_internal_occm_demand_signal_catalogs(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogs
oci,capacity_management,internal_occm_demand_signal_catalog.time_created,item.internal_occm_demand_signal_catalog.time_created,string,No,oci.capacity_management.list_internal_occm_demand_signal_catalogs,read_list,Yes,oci.capacity_management.list_internal_occm_demand_signal_catalogs,oci.capacity_management.list_internal_occm_demand_signal_catalogs,1,0,oci.capacity_management.list_internal_occm_demand_signal_catalogs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,CapacityManagementClient().list_internal_occm_demand_signal_catalogs(compartment_id=compartment_id).data,/20160918/internalOccmDemandSignalCatalogs
