csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,cloud_migrations,ocid,item.ocid,string,Yes,oci.cloud_migrations.list_available_shapes,read_list,Yes,oci.cloud_migrations.list_available_shapes,oci.cloud_migrations.list_available_shapes,1,0,oci.cloud_migrations.list_available_shapes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,CloudMigrationsClient().list_available_shapes(compartment_id=compartment_id).data,/20160918/availableShapes
oci,cloud_migrations,compartment_id,item.compartment_id,string,Yes,oci.cloud_migrations.list_target_assets,read_list,Yes,oci.cloud_migrations.list_target_assets,oci.cloud_migrations.list_target_assets,1,0,oci.cloud_migrations.list_target_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,CloudMigrationsClient().list_target_assets(compartment_id=compartment_id).data,/20160918/targetAssets
oci,cloud_migrations,migration.name,item.migration.name,string,No,oci.cloud_migrations.list_migrations,read_list,Yes,oci.cloud_migrations.list_migrations,oci.cloud_migrations.list_migrations,1,0,oci.cloud_migrations.list_migrations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CloudMigrationsClient().list_migrations(compartment_id=compartment_id).data,/20160918/migrations
oci,cloud_migrations,migration.status,item.migration.status,string,No,oci.cloud_migrations.list_migrations,read_list,Yes,oci.cloud_migrations.list_migrations,oci.cloud_migrations.list_migrations,1,0,oci.cloud_migrations.list_migrations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CloudMigrationsClient().list_migrations(compartment_id=compartment_id).data,/20160918/migrations
oci,cloud_migrations,migration.time_created,item.migration.time_created,string,No,oci.cloud_migrations.list_migrations,read_list,Yes,oci.cloud_migrations.list_migrations,oci.cloud_migrations.list_migrations,1,0,oci.cloud_migrations.list_migrations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,CloudMigrationsClient().list_migrations(compartment_id=compartment_id).data,/20160918/migrations
oci,cloud_migrations,migration.freeform_tags,item.migration.freeform_tags,object,No,oci.cloud_migrations.list_migrations,read_list,Yes,oci.cloud_migrations.list_migrations,oci.cloud_migrations.list_migrations,1,0,oci.cloud_migrations.list_migrations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CloudMigrationsClient().list_migrations(compartment_id=compartment_id).data,/20160918/migrations
oci,cloud_migrations,migration.defined_tags,item.migration.defined_tags,object,No,oci.cloud_migrations.list_migrations,read_list,Yes,oci.cloud_migrations.list_migrations,oci.cloud_migrations.list_migrations,1,0,oci.cloud_migrations.list_migrations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CloudMigrationsClient().list_migrations(compartment_id=compartment_id).data,/20160918/migrations
oci,cloud_migrations,migration_asset.name,item.migration_asset.name,string,No,oci.cloud_migrations.list_migration_assets,read_list,Yes,oci.cloud_migrations.list_migration_assets,oci.cloud_migrations.list_migration_assets,1,0,oci.cloud_migrations.list_migration_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CloudMigrationsClient().list_migration_assets(compartment_id=compartment_id).data,/20160918/migrationAssets
oci,cloud_migrations,migration_asset.status,item.migration_asset.status,string,No,oci.cloud_migrations.list_migration_assets,read_list,Yes,oci.cloud_migrations.list_migration_assets,oci.cloud_migrations.list_migration_assets,1,0,oci.cloud_migrations.list_migration_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CloudMigrationsClient().list_migration_assets(compartment_id=compartment_id).data,/20160918/migrationAssets
oci,cloud_migrations,migration_asset.time_created,item.migration_asset.time_created,string,No,oci.cloud_migrations.list_migration_assets,read_list,Yes,oci.cloud_migrations.list_migration_assets,oci.cloud_migrations.list_migration_assets,1,0,oci.cloud_migrations.list_migration_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,CloudMigrationsClient().list_migration_assets(compartment_id=compartment_id).data,/20160918/migrationAssets
oci,cloud_migrations,migration_asset.freeform_tags,item.migration_asset.freeform_tags,object,No,oci.cloud_migrations.list_migration_assets,read_list,Yes,oci.cloud_migrations.list_migration_assets,oci.cloud_migrations.list_migration_assets,1,0,oci.cloud_migrations.list_migration_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CloudMigrationsClient().list_migration_assets(compartment_id=compartment_id).data,/20160918/migrationAssets
oci,cloud_migrations,migration_asset.defined_tags,item.migration_asset.defined_tags,object,No,oci.cloud_migrations.list_migration_assets,read_list,Yes,oci.cloud_migrations.list_migration_assets,oci.cloud_migrations.list_migration_assets,1,0,oci.cloud_migrations.list_migration_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CloudMigrationsClient().list_migration_assets(compartment_id=compartment_id).data,/20160918/migrationAssets
oci,cloud_migrations,migration_plan.name,item.migration_plan.name,string,No,oci.cloud_migrations.list_migration_plans,read_list,Yes,oci.cloud_migrations.list_migration_plans,oci.cloud_migrations.list_migration_plans,1,0,oci.cloud_migrations.list_migration_plans[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CloudMigrationsClient().list_migration_plans(compartment_id=compartment_id).data,/20160918/migrationPlans
oci,cloud_migrations,migration_plan.status,item.migration_plan.status,string,No,oci.cloud_migrations.list_migration_plans,read_list,Yes,oci.cloud_migrations.list_migration_plans,oci.cloud_migrations.list_migration_plans,1,0,oci.cloud_migrations.list_migration_plans[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CloudMigrationsClient().list_migration_plans(compartment_id=compartment_id).data,/20160918/migrationPlans
oci,cloud_migrations,migration_plan.time_created,item.migration_plan.time_created,string,No,oci.cloud_migrations.list_migration_plans,read_list,Yes,oci.cloud_migrations.list_migration_plans,oci.cloud_migrations.list_migration_plans,1,0,oci.cloud_migrations.list_migration_plans[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,CloudMigrationsClient().list_migration_plans(compartment_id=compartment_id).data,/20160918/migrationPlans
oci,cloud_migrations,migration_plan.freeform_tags,item.migration_plan.freeform_tags,object,No,oci.cloud_migrations.list_migration_plans,read_list,Yes,oci.cloud_migrations.list_migration_plans,oci.cloud_migrations.list_migration_plans,1,0,oci.cloud_migrations.list_migration_plans[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CloudMigrationsClient().list_migration_plans(compartment_id=compartment_id).data,/20160918/migrationPlans
oci,cloud_migrations,migration_plan.defined_tags,item.migration_plan.defined_tags,object,No,oci.cloud_migrations.list_migration_plans,read_list,Yes,oci.cloud_migrations.list_migration_plans,oci.cloud_migrations.list_migration_plans,1,0,oci.cloud_migrations.list_migration_plans[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",CloudMigrationsClient().list_migration_plans(compartment_id=compartment_id).data,/20160918/migrationPlans
oci,cloud_migrations,replication_progress.name,item.replication_progress.name,string,No,oci.cloud_migrations.get_replication_progress,read_get,No,oci.cloud_migrations.get_replication_progress,oci.cloud_migrations.get_replication_progress,1,0,oci.cloud_migrations.get_replication_progress[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"CloudMigrationsClient().get_replication_progress(compartment_id=compartment_id, replication_progress_id=replication_progress_id).data",/20160918/replicationProgress/{ReplicationProgressId}
oci,cloud_migrations,replication_progress.status,item.replication_progress.status,string,No,oci.cloud_migrations.get_replication_progress,read_get,No,oci.cloud_migrations.get_replication_progress,oci.cloud_migrations.get_replication_progress,1,0,oci.cloud_migrations.get_replication_progress[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"CloudMigrationsClient().get_replication_progress(compartment_id=compartment_id, replication_progress_id=replication_progress_id).data",/20160918/replicationProgress/{ReplicationProgressId}
oci,cloud_migrations,replication_progress.time_created,item.replication_progress.time_created,string,No,oci.cloud_migrations.get_replication_progress,read_get,No,oci.cloud_migrations.get_replication_progress,oci.cloud_migrations.get_replication_progress,1,0,oci.cloud_migrations.get_replication_progress[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"CloudMigrationsClient().get_replication_progress(compartment_id=compartment_id, replication_progress_id=replication_progress_id).data",/20160918/replicationProgress/{ReplicationProgressId}
oci,cloud_migrations,replication_progress.freeform_tags,item.replication_progress.freeform_tags,object,No,oci.cloud_migrations.get_replication_progress,read_get,No,oci.cloud_migrations.get_replication_progress,oci.cloud_migrations.get_replication_progress,1,0,oci.cloud_migrations.get_replication_progress[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","CloudMigrationsClient().get_replication_progress(compartment_id=compartment_id, replication_progress_id=replication_progress_id).data",/20160918/replicationProgress/{ReplicationProgressId}
oci,cloud_migrations,replication_progress.defined_tags,item.replication_progress.defined_tags,object,No,oci.cloud_migrations.get_replication_progress,read_get,No,oci.cloud_migrations.get_replication_progress,oci.cloud_migrations.get_replication_progress,1,0,oci.cloud_migrations.get_replication_progress[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","CloudMigrationsClient().get_replication_progress(compartment_id=compartment_id, replication_progress_id=replication_progress_id).data",/20160918/replicationProgress/{ReplicationProgressId}
oci,cloud_migrations,replication_schedule.name,item.replication_schedule.name,string,No,oci.cloud_migrations.get_replication_schedule,read_get,No,oci.cloud_migrations.list_replication_schedules,oci.cloud_migrations.list_replication_schedules → oci.cloud_migrations.get_replication_schedule,2,1,oci.cloud_migrations.list_replication_schedules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.cloud_migrations.get_replication_schedule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"CloudMigrationsClient().get_replication_schedule(compartment_id=compartment_id, replication_schedule_id=replication_schedule_id).data",/20160918/replicationSchedules/{ReplicationScheduleId}
oci,cloud_migrations,replication_schedule.status,item.replication_schedule.status,string,No,oci.cloud_migrations.get_replication_schedule,read_get,No,oci.cloud_migrations.list_replication_schedules,oci.cloud_migrations.list_replication_schedules → oci.cloud_migrations.get_replication_schedule,2,1,oci.cloud_migrations.list_replication_schedules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.cloud_migrations.get_replication_schedule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"CloudMigrationsClient().get_replication_schedule(compartment_id=compartment_id, replication_schedule_id=replication_schedule_id).data",/20160918/replicationSchedules/{ReplicationScheduleId}
oci,cloud_migrations,replication_schedule.time_created,item.replication_schedule.time_created,string,No,oci.cloud_migrations.get_replication_schedule,read_get,No,oci.cloud_migrations.list_replication_schedules,oci.cloud_migrations.list_replication_schedules → oci.cloud_migrations.get_replication_schedule,2,1,oci.cloud_migrations.list_replication_schedules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.cloud_migrations.get_replication_schedule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"CloudMigrationsClient().get_replication_schedule(compartment_id=compartment_id, replication_schedule_id=replication_schedule_id).data",/20160918/replicationSchedules/{ReplicationScheduleId}
oci,cloud_migrations,replication_schedule.freeform_tags,item.replication_schedule.freeform_tags,object,No,oci.cloud_migrations.get_replication_schedule,read_get,No,oci.cloud_migrations.list_replication_schedules,oci.cloud_migrations.list_replication_schedules → oci.cloud_migrations.get_replication_schedule,2,1,oci.cloud_migrations.list_replication_schedules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.cloud_migrations.get_replication_schedule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","CloudMigrationsClient().get_replication_schedule(compartment_id=compartment_id, replication_schedule_id=replication_schedule_id).data",/20160918/replicationSchedules/{ReplicationScheduleId}
oci,cloud_migrations,replication_schedule.defined_tags,item.replication_schedule.defined_tags,object,No,oci.cloud_migrations.get_replication_schedule,read_get,No,oci.cloud_migrations.list_replication_schedules,oci.cloud_migrations.list_replication_schedules → oci.cloud_migrations.get_replication_schedule,2,1,oci.cloud_migrations.list_replication_schedules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.cloud_migrations.get_replication_schedule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","CloudMigrationsClient().get_replication_schedule(compartment_id=compartment_id, replication_schedule_id=replication_schedule_id).data",/20160918/replicationSchedules/{ReplicationScheduleId}
oci,cloud_migrations,target_asset.name,item.target_asset.name,string,No,oci.cloud_migrations.list_target_assets,read_list,Yes,oci.cloud_migrations.list_target_assets,oci.cloud_migrations.list_target_assets,1,0,oci.cloud_migrations.list_target_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CloudMigrationsClient().list_target_assets(compartment_id=compartment_id).data,/20160918/targetAssets
oci,cloud_migrations,target_asset.status,item.target_asset.status,string,No,oci.cloud_migrations.list_target_assets,read_list,Yes,oci.cloud_migrations.list_target_assets,oci.cloud_migrations.list_target_assets,1,0,oci.cloud_migrations.list_target_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,CloudMigrationsClient().list_target_assets(compartment_id=compartment_id).data,/20160918/targetAssets
oci,cloud_migrations,target_asset.time_created,item.target_asset.time_created,string,No,oci.cloud_migrations.list_target_assets,read_list,Yes,oci.cloud_migrations.list_target_assets,oci.cloud_migrations.list_target_assets,1,0,oci.cloud_migrations.list_target_assets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,CloudMigrationsClient().list_target_assets(compartment_id=compartment_id).data,/20160918/targetAssets
