csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,container_engine,ocid,item.ocid,string,Yes,oci.container_engine.list_addon_options,read_list,Yes,oci.container_engine.list_addon_options,oci.container_engine.list_addon_options,1,0,oci.container_engine.list_addon_options[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,ContainerEngineClient().list_addon_options(compartment_id=compartment_id).data,/20180222/addonOptions
oci,container_engine,compartment_id,item.compartment_id,string,Yes,oci.container_engine.list_work_request_errors,read_list,Yes,oci.container_engine.list_work_request_errors,oci.container_engine.list_work_request_errors,1,0,oci.container_engine.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,ContainerEngineClient().list_work_request_errors(compartment_id=compartment_id).data,/20180222/workRequestErrors
oci,container_engine,addon.name,item.addon.name,string,No,oci.container_engine.list_addons,read_list,Yes,oci.container_engine.list_addons,oci.container_engine.list_addons,1,0,oci.container_engine.list_addons[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ContainerEngineClient().list_addons(compartment_id=compartment_id).data,/20180222/addons
oci,container_engine,addon.status,item.addon.status,string,No,oci.container_engine.list_addons,read_list,Yes,oci.container_engine.list_addons,oci.container_engine.list_addons,1,0,oci.container_engine.list_addons[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ContainerEngineClient().list_addons(compartment_id=compartment_id).data,/20180222/addons
oci,container_engine,addon.time_created,item.addon.time_created,string,No,oci.container_engine.list_addons,read_list,Yes,oci.container_engine.list_addons,oci.container_engine.list_addons,1,0,oci.container_engine.list_addons[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,ContainerEngineClient().list_addons(compartment_id=compartment_id).data,/20180222/addons
oci,container_engine,addon.freeform_tags,item.addon.freeform_tags,object,No,oci.container_engine.list_addons,read_list,Yes,oci.container_engine.list_addons,oci.container_engine.list_addons,1,0,oci.container_engine.list_addons[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ContainerEngineClient().list_addons(compartment_id=compartment_id).data,/20180222/addons
oci,container_engine,addon.defined_tags,item.addon.defined_tags,object,No,oci.container_engine.list_addons,read_list,Yes,oci.container_engine.list_addons,oci.container_engine.list_addons,1,0,oci.container_engine.list_addons[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ContainerEngineClient().list_addons(compartment_id=compartment_id).data,/20180222/addons
oci,container_engine,cluster.name,item.cluster.name,string,No,oci.container_engine.list_clusters,read_list,Yes,oci.container_engine.list_clusters,oci.container_engine.list_clusters,1,0,oci.container_engine.list_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ContainerEngineClient().list_clusters(compartment_id=compartment_id).data,/20180222/clusters
oci,container_engine,cluster.status,item.cluster.status,string,No,oci.container_engine.list_clusters,read_list,Yes,oci.container_engine.list_clusters,oci.container_engine.list_clusters,1,0,oci.container_engine.list_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,ContainerEngineClient().list_clusters(compartment_id=compartment_id).data,/20180222/clusters
oci,container_engine,cluster.time_created,item.cluster.time_created,string,No,oci.container_engine.list_clusters,read_list,Yes,oci.container_engine.list_clusters,oci.container_engine.list_clusters,1,0,oci.container_engine.list_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,ContainerEngineClient().list_clusters(compartment_id=compartment_id).data,/20180222/clusters
oci,container_engine,cluster.freeform_tags,item.cluster.freeform_tags,object,No,oci.container_engine.list_clusters,read_list,Yes,oci.container_engine.list_clusters,oci.container_engine.list_clusters,1,0,oci.container_engine.list_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ContainerEngineClient().list_clusters(compartment_id=compartment_id).data,/20180222/clusters
oci,container_engine,cluster.defined_tags,item.cluster.defined_tags,object,No,oci.container_engine.list_clusters,read_list,Yes,oci.container_engine.list_clusters,oci.container_engine.list_clusters,1,0,oci.container_engine.list_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",ContainerEngineClient().list_clusters(compartment_id=compartment_id).data,/20180222/clusters
oci,container_engine,cluster_migrate_to_native_vcn_statu.name,item.cluster_migrate_to_native_vcn_statu.name,string,No,oci.container_engine.get_cluster_migrate_to_native_vcn_status,read_get,No,oci.container_engine.get_cluster_migrate_to_native_vcn_status,oci.container_engine.get_cluster_migrate_to_native_vcn_status,1,0,oci.container_engine.get_cluster_migrate_to_native_vcn_status[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"ContainerEngineClient().get_cluster_migrate_to_native_vcn_status(compartment_id=compartment_id, cluster_migrate_to_native_vcn_statu_id=cluster_migrate_to_native_vcn_statu_id).data",/20180222/clusterMigrateToNativeVcnStatus/{ClusterMigrateToNativeVcnStatusId}
