csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,data_science,ocid,item.ocid,string,Yes,oci.data_science.list_containers,read_list,Yes,oci.data_science.list_containers,oci.data_science.list_containers,1,0,oci.data_science.list_containers[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,DataScienceClient().list_containers(compartment_id=compartment_id).data,/20190101/containers
oci,data_science,compartment_id,item.compartment_id,string,Yes,oci.data_science.list_model_group_models,read_list,Yes,oci.data_science.list_model_group_models,oci.data_science.list_model_group_models,1,0,oci.data_science.list_model_group_models[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,DataScienceClient().list_model_group_models(compartment_id=compartment_id).data,/20190101/modelGroupModels
oci,data_science,data_science_private_endpoint.name,item.data_science_private_endpoint.name,string,No,oci.data_science.list_data_science_private_endpoints,read_list,Yes,oci.data_science.list_data_science_private_endpoints,oci.data_science.list_data_science_private_endpoints,1,0,oci.data_science.list_data_science_private_endpoints[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DataScienceClient().list_data_science_private_endpoints(compartment_id=compartment_id).data,/20190101/dataSciencePrivateEndpoints
oci,data_science,data_science_private_endpoint.status,item.data_science_private_endpoint.status,string,No,oci.data_science.list_data_science_private_endpoints,read_list,Yes,oci.data_science.list_data_science_private_endpoints,oci.data_science.list_data_science_private_endpoints,1,0,oci.data_science.list_data_science_private_endpoints[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DataScienceClient().list_data_science_private_endpoints(compartment_id=compartment_id).data,/20190101/dataSciencePrivateEndpoints
oci,data_science,data_science_private_endpoint.time_created,item.data_science_private_endpoint.time_created,string,No,oci.data_science.list_data_science_private_endpoints,read_list,Yes,oci.data_science.list_data_science_private_endpoints,oci.data_science.list_data_science_private_endpoints,1,0,oci.data_science.list_data_science_private_endpoints[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DataScienceClient().list_data_science_private_endpoints(compartment_id=compartment_id).data,/20190101/dataSciencePrivateEndpoints
oci,data_science,data_science_private_endpoint.freeform_tags,item.data_science_private_endpoint.freeform_tags,object,No,oci.data_science.list_data_science_private_endpoints,read_list,Yes,oci.data_science.list_data_science_private_endpoints,oci.data_science.list_data_science_private_endpoints,1,0,oci.data_science.list_data_science_private_endpoints[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DataScienceClient().list_data_science_private_endpoints(compartment_id=compartment_id).data,/20190101/dataSciencePrivateEndpoints
oci,data_science,data_science_private_endpoint.defined_tags,item.data_science_private_endpoint.defined_tags,object,No,oci.data_science.list_data_science_private_endpoints,read_list,Yes,oci.data_science.list_data_science_private_endpoints,oci.data_science.list_data_science_private_endpoints,1,0,oci.data_science.list_data_science_private_endpoints[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DataScienceClient().list_data_science_private_endpoints(compartment_id=compartment_id).data,/20190101/dataSciencePrivateEndpoints
oci,data_science,job.name,item.job.name,string,No,oci.data_science.list_jobs,read_list,Yes,oci.data_science.list_jobs,oci.data_science.list_jobs,1,0,oci.data_science.list_jobs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DataScienceClient().list_jobs(compartment_id=compartment_id).data,/20190101/jobs
oci,data_science,job.status,item.job.status,string,No,oci.data_science.list_jobs,read_list,Yes,oci.data_science.list_jobs,oci.data_science.list_jobs,1,0,oci.data_science.list_jobs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DataScienceClient().list_jobs(compartment_id=compartment_id).data,/20190101/jobs
oci,data_science,job.time_created,item.job.time_created,string,No,oci.data_science.list_jobs,read_list,Yes,oci.data_science.list_jobs,oci.data_science.list_jobs,1,0,oci.data_science.list_jobs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DataScienceClient().list_jobs(compartment_id=compartment_id).data,/20190101/jobs
oci,data_science,job.freeform_tags,item.job.freeform_tags,object,No,oci.data_science.list_jobs,read_list,Yes,oci.data_science.list_jobs,oci.data_science.list_jobs,1,0,oci.data_science.list_jobs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DataScienceClient().list_jobs(compartment_id=compartment_id).data,/20190101/jobs
oci,data_science,job.defined_tags,item.job.defined_tags,object,No,oci.data_science.list_jobs,read_list,Yes,oci.data_science.list_jobs,oci.data_science.list_jobs,1,0,oci.data_science.list_jobs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DataScienceClient().list_jobs(compartment_id=compartment_id).data,/20190101/jobs
oci,data_science,job_artifact_content.name,item.job_artifact_content.name,string,No,oci.data_science.get_job_artifact_content,read_get,No,oci.data_science.get_job_artifact_content,oci.data_science.get_job_artifact_content,1,0,oci.data_science.get_job_artifact_content[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"DataScienceClient().get_job_artifact_content(compartment_id=compartment_id, job_artifact_content_id=job_artifact_content_id).data",/20190101/jobArtifactContents/{JobArtifactContentId}
oci,data_science,job_artifact_content.status,item.job_artifact_content.status,string,No,oci.data_science.get_job_artifact_content,read_get,No,oci.data_science.get_job_artifact_content,oci.data_science.get_job_artifact_content,1,0,oci.data_science.get_job_artifact_content[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"DataScienceClient().get_job_artifact_content(compartment_id=compartment_id, job_artifact_content_id=job_artifact_content_id).data",/20190101/jobArtifactContents/{JobArtifactContentId}
oci,data_science,job_artifact_content.time_created,item.job_artifact_content.time_created,string,No,oci.data_science.get_job_artifact_content,read_get,No,oci.data_science.get_job_artifact_content,oci.data_science.get_job_artifact_content,1,0,oci.data_science.get_job_artifact_content[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"DataScienceClient().get_job_artifact_content(compartment_id=compartment_id, job_artifact_content_id=job_artifact_content_id).data",/20190101/jobArtifactContents/{JobArtifactContentId}
oci,data_science,job_artifact_content.freeform_tags,item.job_artifact_content.freeform_tags,object,No,oci.data_science.get_job_artifact_content,read_get,No,oci.data_science.get_job_artifact_content,oci.data_science.get_job_artifact_content,1,0,oci.data_science.get_job_artifact_content[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","DataScienceClient().get_job_artifact_content(compartment_id=compartment_id, job_artifact_content_id=job_artifact_content_id).data",/20190101/jobArtifactContents/{JobArtifactContentId}
oci,data_science,job_artifact_content.defined_tags,item.job_artifact_content.defined_tags,object,No,oci.data_science.get_job_artifact_content,read_get,No,oci.data_science.get_job_artifact_content,oci.data_science.get_job_artifact_content,1,0,oci.data_science.get_job_artifact_content[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","DataScienceClient().get_job_artifact_content(compartment_id=compartment_id, job_artifact_content_id=job_artifact_content_id).data",/20190101/jobArtifactContents/{JobArtifactContentId}
oci,data_science,job_run.name,item.job_run.name,string,No,oci.data_science.list_job_runs,read_list,Yes,oci.data_science.list_job_runs,oci.data_science.list_job_runs,1,0,oci.data_science.list_job_runs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DataScienceClient().list_job_runs(compartment_id=compartment_id).data,/20190101/jobRuns
oci,data_science,job_run.status,item.job_run.status,string,No,oci.data_science.list_job_runs,read_list,Yes,oci.data_science.list_job_runs,oci.data_science.list_job_runs,1,0,oci.data_science.list_job_runs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DataScienceClient().list_job_runs(compartment_id=compartment_id).data,/20190101/jobRuns
oci,data_science,job_run.time_created,item.job_run.time_created,string,No,oci.data_science.list_job_runs,read_list,Yes,oci.data_science.list_job_runs,oci.data_science.list_job_runs,1,0,oci.data_science.list_job_runs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DataScienceClient().list_job_runs(compartment_id=compartment_id).data,/20190101/jobRuns
oci,data_science,job_run.freeform_tags,item.job_run.freeform_tags,object,No,oci.data_science.list_job_runs,read_list,Yes,oci.data_science.list_job_runs,oci.data_science.list_job_runs,1,0,oci.data_science.list_job_runs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DataScienceClient().list_job_runs(compartment_id=compartment_id).data,/20190101/jobRuns
oci,data_science,job_run.defined_tags,item.job_run.defined_tags,object,No,oci.data_science.list_job_runs,read_list,Yes,oci.data_science.list_job_runs,oci.data_science.list_job_runs,1,0,oci.data_science.list_job_runs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DataScienceClient().list_job_runs(compartment_id=compartment_id).data,/20190101/jobRuns
oci,data_science,ml_application.name,item.ml_application.name,string,No,oci.data_science.list_ml_applications,read_list,Yes,oci.data_science.list_ml_applications,oci.data_science.list_ml_applications,1,0,oci.data_science.list_ml_applications[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DataScienceClient().list_ml_applications(compartment_id=compartment_id).data,/20190101/mlApplications
