csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,database,ocid,item.ocid,string,Yes,oci.database.list_application_vips,read_list,Yes,oci.database.list_application_vips,oci.database.list_application_vips,1,0,oci.database.list_application_vips[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,DatabaseClient().list_application_vips(compartment_id=compartment_id).data,/20160918/applicationVips
oci,database,compartment_id,item.compartment_id,string,Yes,oci.database.list_databases,read_list,Yes,oci.database.list_databases,oci.database.list_databases,1,0,oci.database.list_databases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,DatabaseClient().list_databases(compartment_id=compartment_id).data,/20160918/databases
oci,database,application_vip.name,item.application_vip.name,string,No,oci.database.list_application_vips,read_list,Yes,oci.database.list_application_vips,oci.database.list_application_vips,1,0,oci.database.list_application_vips[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DatabaseClient().list_application_vips(compartment_id=compartment_id).data,/20160918/applicationVips
oci,database,application_vip.status,item.application_vip.status,string,No,oci.database.list_application_vips,read_list,Yes,oci.database.list_application_vips,oci.database.list_application_vips,1,0,oci.database.list_application_vips[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DatabaseClient().list_application_vips(compartment_id=compartment_id).data,/20160918/applicationVips
oci,database,application_vip.time_created,item.application_vip.time_created,string,No,oci.database.list_application_vips,read_list,Yes,oci.database.list_application_vips,oci.database.list_application_vips,1,0,oci.database.list_application_vips[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DatabaseClient().list_application_vips(compartment_id=compartment_id).data,/20160918/applicationVips
oci,database,application_vip.freeform_tags,item.application_vip.freeform_tags,object,No,oci.database.list_application_vips,read_list,Yes,oci.database.list_application_vips,oci.database.list_application_vips,1,0,oci.database.list_application_vips[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DatabaseClient().list_application_vips(compartment_id=compartment_id).data,/20160918/applicationVips
oci,database,application_vip.defined_tags,item.application_vip.defined_tags,object,No,oci.database.list_application_vips,read_list,Yes,oci.database.list_application_vips,oci.database.list_application_vips,1,0,oci.database.list_application_vips[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DatabaseClient().list_application_vips(compartment_id=compartment_id).data,/20160918/applicationVips
oci,database,autonomous_container_database.name,item.autonomous_container_database.name,string,No,oci.database.get_autonomous_container_database,read_get,No,oci.database.list_autonomous_container_databases,oci.database.list_autonomous_container_databases → oci.database.get_autonomous_container_database,2,1,oci.database.list_autonomous_container_databases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.database.get_autonomous_container_database[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|kms_key_id|... +1],"contains, equals, in, not_equals",,"DatabaseClient().get_autonomous_container_database(compartment_id=compartment_id, autonomous_container_database_id=autonomous_container_database_id).data",/20160918/autonomousContainerDatabases/{AutonomousContainerDatabaseId}
oci,database,autonomous_container_database.status,item.autonomous_container_database.status,string,No,oci.database.get_autonomous_container_database,read_get,No,oci.database.list_autonomous_container_databases,oci.database.list_autonomous_container_databases → oci.database.get_autonomous_container_database,2,1,oci.database.list_autonomous_container_databases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.database.get_autonomous_container_database[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|kms_key_id|... +1],"contains, equals, in, not_equals",,"DatabaseClient().get_autonomous_container_database(compartment_id=compartment_id, autonomous_container_database_id=autonomous_container_database_id).data",/20160918/autonomousContainerDatabases/{AutonomousContainerDatabaseId}
oci,database,autonomous_container_database.time_created,item.autonomous_container_database.time_created,string,No,oci.database.get_autonomous_container_database,read_get,No,oci.database.list_autonomous_container_databases,oci.database.list_autonomous_container_databases → oci.database.get_autonomous_container_database,2,1,oci.database.list_autonomous_container_databases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.database.get_autonomous_container_database[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|kms_key_id|... +1],"contains, equals, exists, in, not_equals",exists,"DatabaseClient().get_autonomous_container_database(compartment_id=compartment_id, autonomous_container_database_id=autonomous_container_database_id).data",/20160918/autonomousContainerDatabases/{AutonomousContainerDatabaseId}
oci,database,autonomous_container_database.freeform_tags,item.autonomous_container_database.freeform_tags,object,No,oci.database.get_autonomous_container_database,read_get,No,oci.database.list_autonomous_container_databases,oci.database.list_autonomous_container_databases → oci.database.get_autonomous_container_database,2,1,oci.database.list_autonomous_container_databases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.database.get_autonomous_container_database[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|kms_key_id|... +1],"exists, not_empty","exists, not_empty","DatabaseClient().get_autonomous_container_database(compartment_id=compartment_id, autonomous_container_database_id=autonomous_container_database_id).data",/20160918/autonomousContainerDatabases/{AutonomousContainerDatabaseId}
oci,database,autonomous_container_database.defined_tags,item.autonomous_container_database.defined_tags,object,No,oci.database.get_autonomous_container_database,read_get,No,oci.database.list_autonomous_container_databases,oci.database.list_autonomous_container_databases → oci.database.get_autonomous_container_database,2,1,oci.database.list_autonomous_container_databases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.database.get_autonomous_container_database[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|kms_key_id|... +1],"exists, not_empty","exists, not_empty","DatabaseClient().get_autonomous_container_database(compartment_id=compartment_id, autonomous_container_database_id=autonomous_container_database_id).data",/20160918/autonomousContainerDatabases/{AutonomousContainerDatabaseId}
oci,database,autonomous_container_database_dataguard_association.name,item.autonomous_container_database_dataguard_association.name,string,No,oci.database.list_autonomous_container_database_dataguard_associations,read_list,Yes,oci.database.list_autonomous_container_database_dataguard_associations,oci.database.list_autonomous_container_database_dataguard_associations,1,0,oci.database.list_autonomous_container_database_dataguard_associations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DatabaseClient().list_autonomous_container_database_dataguard_associations(compartment_id=compartment_id).data,/20160918/autonomousContainerDatabaseDataguardAssociations
oci,database,autonomous_container_database_dataguard_association.status,item.autonomous_container_database_dataguard_association.status,string,No,oci.database.list_autonomous_container_database_dataguard_associations,read_list,Yes,oci.database.list_autonomous_container_database_dataguard_associations,oci.database.list_autonomous_container_database_dataguard_associations,1,0,oci.database.list_autonomous_container_database_dataguard_associations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DatabaseClient().list_autonomous_container_database_dataguard_associations(compartment_id=compartment_id).data,/20160918/autonomousContainerDatabaseDataguardAssociations
oci,database,autonomous_container_database_dataguard_association.time_created,item.autonomous_container_database_dataguard_association.time_created,string,No,oci.database.list_autonomous_container_database_dataguard_associations,read_list,Yes,oci.database.list_autonomous_container_database_dataguard_associations,oci.database.list_autonomous_container_database_dataguard_associations,1,0,oci.database.list_autonomous_container_database_dataguard_associations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DatabaseClient().list_autonomous_container_database_dataguard_associations(compartment_id=compartment_id).data,/20160918/autonomousContainerDatabaseDataguardAssociations
oci,database,autonomous_container_database_dataguard_association.freeform_tags,item.autonomous_container_database_dataguard_association.freeform_tags,object,No,oci.database.list_autonomous_container_database_dataguard_associations,read_list,Yes,oci.database.list_autonomous_container_database_dataguard_associations,oci.database.list_autonomous_container_database_dataguard_associations,1,0,oci.database.list_autonomous_container_database_dataguard_associations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DatabaseClient().list_autonomous_container_database_dataguard_associations(compartment_id=compartment_id).data,/20160918/autonomousContainerDatabaseDataguardAssociations
