csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,desktops,ocid,item.ocid,string,Yes,oci.desktops.list_desktop_pool_desktops,read_list,Yes,oci.desktops.list_desktop_pool_desktops,oci.desktops.list_desktop_pool_desktops,1,0,oci.desktops.list_desktop_pool_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,DesktopsClient().list_desktop_pool_desktops(compartment_id=compartment_id).data,/20160918/desktopPoolDesktops
oci,desktops,compartment_id,item.compartment_id,string,Yes,oci.desktops.list_desktop_pool_desktops,read_list,Yes,oci.desktops.list_desktop_pool_desktops,oci.desktops.list_desktop_pool_desktops,1,0,oci.desktops.list_desktop_pool_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,DesktopsClient().list_desktop_pool_desktops(compartment_id=compartment_id).data,/20160918/desktopPoolDesktops
oci,desktops,desktop.name,item.desktop.name,string,No,oci.desktops.list_desktops,read_list,Yes,oci.desktops.list_desktops,oci.desktops.list_desktops,1,0,oci.desktops.list_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_desktops(compartment_id=compartment_id).data,/20160918/desktops
oci,desktops,desktop.status,item.desktop.status,string,No,oci.desktops.list_desktops,read_list,Yes,oci.desktops.list_desktops,oci.desktops.list_desktops,1,0,oci.desktops.list_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_desktops(compartment_id=compartment_id).data,/20160918/desktops
oci,desktops,desktop.time_created,item.desktop.time_created,string,No,oci.desktops.list_desktops,read_list,Yes,oci.desktops.list_desktops,oci.desktops.list_desktops,1,0,oci.desktops.list_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DesktopsClient().list_desktops(compartment_id=compartment_id).data,/20160918/desktops
oci,desktops,desktop.freeform_tags,item.desktop.freeform_tags,object,No,oci.desktops.list_desktops,read_list,Yes,oci.desktops.list_desktops,oci.desktops.list_desktops,1,0,oci.desktops.list_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_desktops(compartment_id=compartment_id).data,/20160918/desktops
oci,desktops,desktop.defined_tags,item.desktop.defined_tags,object,No,oci.desktops.list_desktops,read_list,Yes,oci.desktops.list_desktops,oci.desktops.list_desktops,1,0,oci.desktops.list_desktops[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",DesktopsClient().list_desktops(compartment_id=compartment_id).data,/20160918/desktops
oci,desktops,desktop_pool.name,item.desktop_pool.name,string,No,oci.desktops.list_desktop_pools,read_list,Yes,oci.desktops.list_desktop_pools,oci.desktops.list_desktop_pools,1,0,oci.desktops.list_desktop_pools[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_desktop_pools(compartment_id=compartment_id).data,/20160918/desktopPools
oci,desktops,desktop_pool.status,item.desktop_pool.status,string,No,oci.desktops.list_desktop_pools,read_list,Yes,oci.desktops.list_desktop_pools,oci.desktops.list_desktop_pools,1,0,oci.desktops.list_desktop_pools[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,DesktopsClient().list_desktop_pools(compartment_id=compartment_id).data,/20160918/desktopPools
oci,desktops,desktop_pool.time_created,item.desktop_pool.time_created,string,No,oci.desktops.list_desktop_pools,read_list,Yes,oci.desktops.list_desktop_pools,oci.desktops.list_desktop_pools,1,0,oci.desktops.list_desktop_pools[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,DesktopsClient().list_desktop_pools(compartment_id=compartment_id).data,/20160918/desktopPools
