csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,events,ocid,item.ocid,string,Yes,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,compartment_id,item.compartment_id,string,Yes,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rule.name,item.rule.name,string,No,oci.events.get_rule,read_get,No,oci.events.list_rules,oci.events.list_rules → oci.events.get_rule,2,1,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.events.get_rule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|actions|... +2],"contains, equals, in, not_equals",,"EventsClient().get_rule(compartment_id=compartment_id, rule_id=rule_id).data",/20181201/rules/{RuleId}
oci,events,rule.status,item.rule.status,string,No,oci.events.get_rule,read_get,No,oci.events.list_rules,oci.events.list_rules → oci.events.get_rule,2,1,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.events.get_rule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|actions|... +2],"contains, equals, in, not_equals",,"EventsClient().get_rule(compartment_id=compartment_id, rule_id=rule_id).data",/20181201/rules/{RuleId}
oci,events,rule.time_created,item.rule.time_created,string,No,oci.events.get_rule,read_get,No,oci.events.list_rules,oci.events.list_rules → oci.events.get_rule,2,1,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.events.get_rule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|actions|... +2],"contains, equals, exists, in, not_equals",exists,"EventsClient().get_rule(compartment_id=compartment_id, rule_id=rule_id).data",/20181201/rules/{RuleId}
oci,events,rule.freeform_tags,item.rule.freeform_tags,object,No,oci.events.get_rule,read_get,No,oci.events.list_rules,oci.events.list_rules → oci.events.get_rule,2,1,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.events.get_rule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|actions|... +2],"exists, not_empty","exists, not_empty","EventsClient().get_rule(compartment_id=compartment_id, rule_id=rule_id).data",/20181201/rules/{RuleId}
oci,events,rule.defined_tags,item.rule.defined_tags,object,No,oci.events.get_rule,read_get,No,oci.events.list_rules,oci.events.list_rules → oci.events.get_rule,2,1,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.events.get_rule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|actions|... +2],"exists, not_empty","exists, not_empty","EventsClient().get_rule(compartment_id=compartment_id, rule_id=rule_id).data",/20181201/rules/{RuleId}
oci,events,rul.name,item.rul.name,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rul.status,item.rul.status,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rul.time_created,item.rul.time_created,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rul.freeform_tags,item.rul.freeform_tags,object,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rul.defined_tags,item.rul.defined_tags,object,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rule.actions,item.rule.actions,string,No,oci.events.get_rule,read_get,No,oci.events.list_rules,oci.events.list_rules → oci.events.get_rule,2,1,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.events.get_rule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|actions|... +2],"contains, equals, in, not_equals",,"EventsClient().get_rule(compartment_id=compartment_id, rule_id=rule_id).data",/20181201/rules/{RuleId}
oci,events,rule.compartment_id,item.rule.compartment_id,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rule.condition,item.rule.condition,string,No,oci.events.get_rule,read_get,No,oci.events.list_rules,oci.events.list_rules → oci.events.get_rule,2,1,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.events.get_rule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|actions|... +2],"contains, equals, in, not_equals",,"EventsClient().get_rule(compartment_id=compartment_id, rule_id=rule_id).data",/20181201/rules/{RuleId}
oci,events,rule.description,item.rule.description,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rule.display_name,item.rule.display_name,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rule.id,item.rule.id,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rule.is_enabled,item.rule.is_enabled,boolean,No,oci.events.get_rule,read_get,No,oci.events.list_rules,oci.events.list_rules → oci.events.get_rule,2,1,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.events.get_rule[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|actions|... +2],"equals, not_equals",,"EventsClient().get_rule(compartment_id=compartment_id, rule_id=rule_id).data",/20181201/rules/{RuleId}
oci,events,rule.lifecycle_message,item.rule.lifecycle_message,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
oci,events,rule.lifecycle_state,item.rule.lifecycle_state,string,No,oci.events.list_rules,read_list,Yes,oci.events.list_rules,oci.events.list_rules,1,0,oci.events.list_rules[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,EventsClient().list_rules(compartment_id=compartment_id).data,/20181201/rules
