csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,key_management,ocid,item.ocid,string,Yes,oci.key_management.list_vault_replicas,read_list,Yes,oci.key_management.list_vault_replicas,oci.key_management.list_vault_replicas,1,0,oci.key_management.list_vault_replicas[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,KmsVaultClient().list_vault_replicas(compartment_id=compartment_id).data,/20180608/vaultReplicas
oci,key_management,compartment_id,item.compartment_id,string,Yes,oci.key_management.list_keys,read_list,Yes,oci.key_management.list_keys,oci.key_management.list_keys,1,0,oci.key_management.list_keys[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|algorithm|... +2],"equals, exists, not_equals",exists,KmsVaultClient().list_keys(compartment_id=compartment_id).data,/20180608/keys
oci,key_management,vault.name,item.vault.name,string,No,oci.key_management.list_vaults,read_list,Yes,oci.key_management.list_vaults,oci.key_management.list_vaults,1,0,oci.key_management.list_vaults[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|crypto_endpoint|... +2],"contains, equals, in, not_equals",,KmsVaultClient().list_vaults(compartment_id=compartment_id).data,/20180608/vaults
oci,key_management,vault.status,item.vault.status,string,No,oci.key_management.list_vaults,read_list,Yes,oci.key_management.list_vaults,oci.key_management.list_vaults,1,0,oci.key_management.list_vaults[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|crypto_endpoint|... +2],"contains, equals, in, not_equals",,KmsVaultClient().list_vaults(compartment_id=compartment_id).data,/20180608/vaults
oci,key_management,vault.time_created,item.vault.time_created,string,No,oci.key_management.list_vaults,read_list,Yes,oci.key_management.list_vaults,oci.key_management.list_vaults,1,0,oci.key_management.list_vaults[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|crypto_endpoint|... +2],"contains, equals, exists, in, not_equals",exists,KmsVaultClient().list_vaults(compartment_id=compartment_id).data,/20180608/vaults
oci,key_management,vault.freeform_tags,item.vault.freeform_tags,object,No,oci.key_management.list_vaults,read_list,Yes,oci.key_management.list_vaults,oci.key_management.list_vaults,1,0,oci.key_management.list_vaults[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|crypto_endpoint|... +2],"exists, not_empty","exists, not_empty",KmsVaultClient().list_vaults(compartment_id=compartment_id).data,/20180608/vaults
oci,key_management,vault.defined_tags,item.vault.defined_tags,object,No,oci.key_management.list_vaults,read_list,Yes,oci.key_management.list_vaults,oci.key_management.list_vaults,1,0,oci.key_management.list_vaults[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|crypto_endpoint|... +2],"exists, not_empty","exists, not_empty",KmsVaultClient().list_vaults(compartment_id=compartment_id).data,/20180608/vaults
oci,key_management,vault_usage.name,item.vault_usage.name,string,No,oci.key_management.get_vault_usage,read_get,No,oci.key_management.get_vault_usage,oci.key_management.get_vault_usage,1,0,oci.key_management.get_vault_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"KmsVaultClient().get_vault_usage(compartment_id=compartment_id, vault_usage_id=vault_usage_id).data",/20180608/vaultUsages/{VaultUsageId}
oci,key_management,vault_usage.status,item.vault_usage.status,string,No,oci.key_management.get_vault_usage,read_get,No,oci.key_management.get_vault_usage,oci.key_management.get_vault_usage,1,0,oci.key_management.get_vault_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"KmsVaultClient().get_vault_usage(compartment_id=compartment_id, vault_usage_id=vault_usage_id).data",/20180608/vaultUsages/{VaultUsageId}
oci,key_management,vault_usage.time_created,item.vault_usage.time_created,string,No,oci.key_management.get_vault_usage,read_get,No,oci.key_management.get_vault_usage,oci.key_management.get_vault_usage,1,0,oci.key_management.get_vault_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"KmsVaultClient().get_vault_usage(compartment_id=compartment_id, vault_usage_id=vault_usage_id).data",/20180608/vaultUsages/{VaultUsageId}
oci,key_management,vault_usage.freeform_tags,item.vault_usage.freeform_tags,object,No,oci.key_management.get_vault_usage,read_get,No,oci.key_management.get_vault_usage,oci.key_management.get_vault_usage,1,0,oci.key_management.get_vault_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","KmsVaultClient().get_vault_usage(compartment_id=compartment_id, vault_usage_id=vault_usage_id).data",/20180608/vaultUsages/{VaultUsageId}
oci,key_management,vault_usage.defined_tags,item.vault_usage.defined_tags,object,No,oci.key_management.get_vault_usage,read_get,No,oci.key_management.get_vault_usage,oci.key_management.get_vault_usage,1,0,oci.key_management.get_vault_usage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","KmsVaultClient().get_vault_usage(compartment_id=compartment_id, vault_usage_id=vault_usage_id).data",/20180608/vaultUsages/{VaultUsageId}
oci,key_management,vault_replica.name,item.vault_replica.name,string,No,oci.key_management.list_vault_replicas,read_list,Yes,oci.key_management.list_vault_replicas,oci.key_management.list_vault_replicas,1,0,oci.key_management.list_vault_replicas[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,KmsVaultClient().list_vault_replicas(compartment_id=compartment_id).data,/20180608/vaultReplicas
oci,key_management,vault_replica.status,item.vault_replica.status,string,No,oci.key_management.list_vault_replicas,read_list,Yes,oci.key_management.list_vault_replicas,oci.key_management.list_vault_replicas,1,0,oci.key_management.list_vault_replicas[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,KmsVaultClient().list_vault_replicas(compartment_id=compartment_id).data,/20180608/vaultReplicas
