csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,lockbox,ocid,item.ocid,string,Yes,oci.lockbox.list_access_requests,read_list,Yes,oci.lockbox.list_access_requests,oci.lockbox.list_access_requests,1,0,oci.lockbox.list_access_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,LockboxClient().list_access_requests(compartment_id=compartment_id).data,/20160918/accessRequests
oci,lockbox,compartment_id,item.compartment_id,string,Yes,oci.lockbox.list_access_requests,read_list,Yes,oci.lockbox.list_access_requests,oci.lockbox.list_access_requests,1,0,oci.lockbox.list_access_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,LockboxClient().list_access_requests(compartment_id=compartment_id).data,/20160918/accessRequests
oci,lockbox,access_material.name,item.access_material.name,string,No,oci.lockbox.get_access_materials,read_get,No,oci.lockbox.get_access_materials,oci.lockbox.get_access_materials,1,0,oci.lockbox.get_access_materials[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"LockboxClient().get_access_materials(compartment_id=compartment_id, access_material_id=access_material_id).data",/20160918/accessMaterials/{AccessMaterialsId}
oci,lockbox,access_material.status,item.access_material.status,string,No,oci.lockbox.get_access_materials,read_get,No,oci.lockbox.get_access_materials,oci.lockbox.get_access_materials,1,0,oci.lockbox.get_access_materials[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"LockboxClient().get_access_materials(compartment_id=compartment_id, access_material_id=access_material_id).data",/20160918/accessMaterials/{AccessMaterialsId}
oci,lockbox,access_material.time_created,item.access_material.time_created,string,No,oci.lockbox.get_access_materials,read_get,No,oci.lockbox.get_access_materials,oci.lockbox.get_access_materials,1,0,oci.lockbox.get_access_materials[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,"LockboxClient().get_access_materials(compartment_id=compartment_id, access_material_id=access_material_id).data",/20160918/accessMaterials/{AccessMaterialsId}
oci,lockbox,access_material.freeform_tags,item.access_material.freeform_tags,object,No,oci.lockbox.get_access_materials,read_get,No,oci.lockbox.get_access_materials,oci.lockbox.get_access_materials,1,0,oci.lockbox.get_access_materials[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","LockboxClient().get_access_materials(compartment_id=compartment_id, access_material_id=access_material_id).data",/20160918/accessMaterials/{AccessMaterialsId}
oci,lockbox,access_material.defined_tags,item.access_material.defined_tags,object,No,oci.lockbox.get_access_materials,read_get,No,oci.lockbox.get_access_materials,oci.lockbox.get_access_materials,1,0,oci.lockbox.get_access_materials[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty","LockboxClient().get_access_materials(compartment_id=compartment_id, access_material_id=access_material_id).data",/20160918/accessMaterials/{AccessMaterialsId}
oci,lockbox,access_request.name,item.access_request.name,string,No,oci.lockbox.list_access_requests,read_list,Yes,oci.lockbox.list_access_requests,oci.lockbox.list_access_requests,1,0,oci.lockbox.list_access_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,LockboxClient().list_access_requests(compartment_id=compartment_id).data,/20160918/accessRequests
oci,lockbox,access_request.status,item.access_request.status,string,No,oci.lockbox.list_access_requests,read_list,Yes,oci.lockbox.list_access_requests,oci.lockbox.list_access_requests,1,0,oci.lockbox.list_access_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,LockboxClient().list_access_requests(compartment_id=compartment_id).data,/20160918/accessRequests
oci,lockbox,access_request.time_created,item.access_request.time_created,string,No,oci.lockbox.list_access_requests,read_list,Yes,oci.lockbox.list_access_requests,oci.lockbox.list_access_requests,1,0,oci.lockbox.list_access_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,LockboxClient().list_access_requests(compartment_id=compartment_id).data,/20160918/accessRequests
oci,lockbox,access_request.freeform_tags,item.access_request.freeform_tags,object,No,oci.lockbox.list_access_requests,read_list,Yes,oci.lockbox.list_access_requests,oci.lockbox.list_access_requests,1,0,oci.lockbox.list_access_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",LockboxClient().list_access_requests(compartment_id=compartment_id).data,/20160918/accessRequests
oci,lockbox,access_request.defined_tags,item.access_request.defined_tags,object,No,oci.lockbox.list_access_requests,read_list,Yes,oci.lockbox.list_access_requests,oci.lockbox.list_access_requests,1,0,oci.lockbox.list_access_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",LockboxClient().list_access_requests(compartment_id=compartment_id).data,/20160918/accessRequests
