csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,mysql,ocid,item.ocid,string,Yes,oci.mysql.list_work_request_errors,read_list,Yes,oci.mysql.list_work_request_errors,oci.mysql.list_work_request_errors,1,0,oci.mysql.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,MysqlClient().list_work_request_errors(compartment_id=compartment_id).data,/20190415/workRequestErrors
oci,mysql,compartment_id,item.compartment_id,string,Yes,oci.mysql.list_work_requests,read_list,Yes,oci.mysql.list_work_requests,oci.mysql.list_work_requests,1,0,oci.mysql.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,MysqlClient().list_work_requests(compartment_id=compartment_id).data,/20190415/workRequests
oci,mysql,work_request.name,item.work_request.name,string,No,oci.mysql.list_work_requests,read_list,Yes,oci.mysql.list_work_requests,oci.mysql.list_work_requests,1,0,oci.mysql.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,MysqlClient().list_work_requests(compartment_id=compartment_id).data,/20190415/workRequests
oci,mysql,work_request.status,item.work_request.status,string,No,oci.mysql.list_work_requests,read_list,Yes,oci.mysql.list_work_requests,oci.mysql.list_work_requests,1,0,oci.mysql.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,MysqlClient().list_work_requests(compartment_id=compartment_id).data,/20190415/workRequests
oci,mysql,work_request.time_created,item.work_request.time_created,string,No,oci.mysql.list_work_requests,read_list,Yes,oci.mysql.list_work_requests,oci.mysql.list_work_requests,1,0,oci.mysql.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,MysqlClient().list_work_requests(compartment_id=compartment_id).data,/20190415/workRequests
oci,mysql,work_request.freeform_tags,item.work_request.freeform_tags,object,No,oci.mysql.list_work_requests,read_list,Yes,oci.mysql.list_work_requests,oci.mysql.list_work_requests,1,0,oci.mysql.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",MysqlClient().list_work_requests(compartment_id=compartment_id).data,/20190415/workRequests
oci,mysql,work_request.defined_tags,item.work_request.defined_tags,object,No,oci.mysql.list_work_requests,read_list,Yes,oci.mysql.list_work_requests,oci.mysql.list_work_requests,1,0,oci.mysql.list_work_requests[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",MysqlClient().list_work_requests(compartment_id=compartment_id).data,/20190415/workRequests
oci,mysql,work_request_error.name,item.work_request_error.name,string,No,oci.mysql.list_work_request_errors,read_list,Yes,oci.mysql.list_work_request_errors,oci.mysql.list_work_request_errors,1,0,oci.mysql.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,MysqlClient().list_work_request_errors(compartment_id=compartment_id).data,/20190415/workRequestErrors
oci,mysql,work_request_error.status,item.work_request_error.status,string,No,oci.mysql.list_work_request_errors,read_list,Yes,oci.mysql.list_work_request_errors,oci.mysql.list_work_request_errors,1,0,oci.mysql.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,MysqlClient().list_work_request_errors(compartment_id=compartment_id).data,/20190415/workRequestErrors
oci,mysql,work_request_error.time_created,item.work_request_error.time_created,string,No,oci.mysql.list_work_request_errors,read_list,Yes,oci.mysql.list_work_request_errors,oci.mysql.list_work_request_errors,1,0,oci.mysql.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,MysqlClient().list_work_request_errors(compartment_id=compartment_id).data,/20190415/workRequestErrors
oci,mysql,work_request_error.freeform_tags,item.work_request_error.freeform_tags,object,No,oci.mysql.list_work_request_errors,read_list,Yes,oci.mysql.list_work_request_errors,oci.mysql.list_work_request_errors,1,0,oci.mysql.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",MysqlClient().list_work_request_errors(compartment_id=compartment_id).data,/20190415/workRequestErrors
oci,mysql,work_request_error.defined_tags,item.work_request_error.defined_tags,object,No,oci.mysql.list_work_request_errors,read_list,Yes,oci.mysql.list_work_request_errors,oci.mysql.list_work_request_errors,1,0,oci.mysql.list_work_request_errors[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",MysqlClient().list_work_request_errors(compartment_id=compartment_id).data,/20190415/workRequestErrors
oci,mysql,work_request_log.name,item.work_request_log.name,string,No,oci.mysql.list_work_request_logs,read_list,Yes,oci.mysql.list_work_request_logs,oci.mysql.list_work_request_logs,1,0,oci.mysql.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,MysqlClient().list_work_request_logs(compartment_id=compartment_id).data,/20190415/workRequestLogs
oci,mysql,work_request_log.status,item.work_request_log.status,string,No,oci.mysql.list_work_request_logs,read_list,Yes,oci.mysql.list_work_request_logs,oci.mysql.list_work_request_logs,1,0,oci.mysql.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,MysqlClient().list_work_request_logs(compartment_id=compartment_id).data,/20190415/workRequestLogs
oci,mysql,work_request_log.time_created,item.work_request_log.time_created,string,No,oci.mysql.list_work_request_logs,read_list,Yes,oci.mysql.list_work_request_logs,oci.mysql.list_work_request_logs,1,0,oci.mysql.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, exists, in, not_equals",exists,MysqlClient().list_work_request_logs(compartment_id=compartment_id).data,/20190415/workRequestLogs
oci,mysql,work_request_log.freeform_tags,item.work_request_log.freeform_tags,object,No,oci.mysql.list_work_request_logs,read_list,Yes,oci.mysql.list_work_request_logs,oci.mysql.list_work_request_logs,1,0,oci.mysql.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",MysqlClient().list_work_request_logs(compartment_id=compartment_id).data,/20190415/workRequestLogs
oci,mysql,work_request_log.defined_tags,item.work_request_log.defined_tags,object,No,oci.mysql.list_work_request_logs,read_list,Yes,oci.mysql.list_work_request_logs,oci.mysql.list_work_request_logs,1,0,oci.mysql.list_work_request_logs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"exists, not_empty","exists, not_empty",MysqlClient().list_work_request_logs(compartment_id=compartment_id).data,/20190415/workRequestLogs
oci,mysql,db_system.name,item.db_system.name,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.status,item.db_system.status,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.time_created,item.db_system.time_created,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, exists, in, not_equals",exists,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.freeform_tags,item.db_system.freeform_tags,object,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"exists, not_empty","exists, not_empty",MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.defined_tags,item.db_system.defined_tags,object,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"exists, not_empty","exists, not_empty",MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.mysql_version,item.db_system.mysql_version,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.is_highly_available,item.db_system.is_highly_available,boolean,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"equals, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.backup_policy,item.db_system.backup_policy,object,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.deletion_policy,item.db_system.deletion_policy,object,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.access_mode,item.db_system.access_mode,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.availability_domain,item.db_system.availability_domain,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.channels,item.db_system.channels,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.compartment_id,item.db_system.compartment_id,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"equals, exists, not_equals",exists,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.configuration_id,item.db_system.configuration_id,object,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"equals, exists, not_equals",exists,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.crash_recovery,item.db_system.crash_recovery,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.current_placement,item.db_system.current_placement,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.customer_contacts,item.db_system.customer_contacts,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.data_storage,item.db_system.data_storage,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.data_storage_size_in_gbs,item.db_system.data_storage_size_in_gbs,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.database_management,item.db_system.database_management,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.database_mode,item.db_system.database_mode,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.description,item.db_system.description,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.display_name,item.db_system.display_name,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.encrypt_data,item.db_system.encrypt_data,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.endpoints,item.db_system.endpoints,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.fault_domain,item.db_system.fault_domain,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.heat_wave_cluster,item.db_system.heat_wave_cluster,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.hostname_label,item.db_system.hostname_label,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.id,item.db_system.id,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.ip_address,item.db_system.ip_address,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.is_heat_wave_cluster_attached,item.db_system.is_heat_wave_cluster_attached,boolean,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"equals, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.lifecycle_details,item.db_system.lifecycle_details,object,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.lifecycle_state,item.db_system.lifecycle_state,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
oci,mysql,db_system.maintenance,item.db_system.maintenance,string,No,oci.mysql.list_db_systems,read_list,Yes,oci.mysql.list_db_systems,oci.mysql.list_db_systems,1,0,oci.mysql.list_db_systems[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|mysql_version|... +3],"contains, equals, in, not_equals",,MysqlClient().list_db_systems(compartment_id=compartment_id).data,/20190415/dbSystems
