csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,object_storage,ocid,item.ocid,string,Yes,oci.object_storage.list_buckets,read_list,Yes,oci.object_storage.list_buckets,oci.object_storage.list_buckets,1,0,oci.object_storage.list_buckets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|namespace|... +3],"equals, exists, not_equals",exists,ObjectStorageClient().list_buckets(compartment_id=compartment_id).data,/20160918/buckets
oci,object_storage,compartment_id,item.compartment_id,string,Yes,oci.object_storage.list_private_endpoints,read_list,Yes,oci.object_storage.list_private_endpoints,oci.object_storage.list_private_endpoints,1,0,oci.object_storage.list_private_endpoints[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"equals, exists, not_equals",exists,ObjectStorageClient().list_private_endpoints(compartment_id=compartment_id).data,/20160918/privateEndpoints
oci,object_storage,bucket.name,item.bucket.name,string,No,oci.object_storage.list_buckets,read_list,Yes,oci.object_storage.list_buckets,oci.object_storage.list_buckets,1,0,oci.object_storage.list_buckets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|namespace|... +3],"contains, equals, in, not_equals",,ObjectStorageClient().list_buckets(compartment_id=compartment_id).data,/20160918/buckets
oci,object_storage,bucket.status,item.bucket.status,string,No,oci.object_storage.list_buckets,read_list,Yes,oci.object_storage.list_buckets,oci.object_storage.list_buckets,1,0,oci.object_storage.list_buckets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|namespace|... +3],"contains, equals, in, not_equals",,ObjectStorageClient().list_buckets(compartment_id=compartment_id).data,/20160918/buckets
oci,object_storage,bucket.time_created,item.bucket.time_created,string,No,oci.object_storage.list_buckets,read_list,Yes,oci.object_storage.list_buckets,oci.object_storage.list_buckets,1,0,oci.object_storage.list_buckets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|namespace|... +3],"contains, equals, exists, in, not_equals",exists,ObjectStorageClient().list_buckets(compartment_id=compartment_id).data,/20160918/buckets
oci,object_storage,bucket.freeform_tags,item.bucket.freeform_tags,object,No,oci.object_storage.list_buckets,read_list,Yes,oci.object_storage.list_buckets,oci.object_storage.list_buckets,1,0,oci.object_storage.list_buckets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|namespace|... +3],"exists, not_empty","exists, not_empty",ObjectStorageClient().list_buckets(compartment_id=compartment_id).data,/20160918/buckets
oci,object_storage,bucket.defined_tags,item.bucket.defined_tags,object,No,oci.object_storage.list_buckets,read_list,Yes,oci.object_storage.list_buckets,oci.object_storage.list_buckets,1,0,oci.object_storage.list_buckets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|namespace|... +3],"exists, not_empty","exists, not_empty",ObjectStorageClient().list_buckets(compartment_id=compartment_id).data,/20160918/buckets
oci,object_storage,bucket.kms_key_id,item.bucket.kms_key_id,string,No,oci.object_storage.get_bucket,read_get,No,oci.object_storage.list_buckets,oci.object_storage.list_buckets → oci.object_storage.get_bucket,2,1,oci.object_storage.list_buckets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|namespace|... +3] → oci.object_storage.get_bucket[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|kms_key_id|... +6],"equals, exists, not_equals",exists,"ObjectStorageClient().get_bucket(compartment_id=compartment_id, bucket_id=bucket_id).data",/20160918/buckets/{BucketId}
oci,object_storage,bucket.object_events_enabled,item.bucket.object_events_enabled,string,No,oci.object_storage.get_bucket,read_get,No,oci.object_storage.list_buckets,oci.object_storage.list_buckets → oci.object_storage.get_bucket,2,1,oci.object_storage.list_buckets[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|namespace|... +3] → oci.object_storage.get_bucket[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|kms_key_id|... +6],"contains, equals, in, not_equals",,"ObjectStorageClient().get_bucket(compartment_id=compartment_id, bucket_id=bucket_id).data",/20160918/buckets/{BucketId}
oci,object_storage,namespace.name,item.namespace.name,string,No,oci.object_storage.get_namespace,read_get,No,oci.object_storage.get_namespace,oci.object_storage.get_namespace,1,0,oci.object_storage.get_namespace[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"contains, equals, in, not_equals",,"ObjectStorageClient().get_namespace(compartment_id=compartment_id, namespace_id=namespace_id).data",/20160918/namespaces/{NamespaceId}
