csp,service,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,python_call,http_path,produced_fields,fields_types,fields_operators,resource_type,resource_id_field,resource_id_param,rule_count,check_rule_yaml,is_active,updated_at
oci,access_governance_cp,oci.access_governance_cp.get_governance_instance,read_get,No,oci.access_governance_cp.list_governance_instances,oci.access_governance_cp.list_governance_instances → oci.access_governance_cp.get_governance_instance,2,1,oci.access_governance_cp.list_governance_instances[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.access_governance_cp.get_governance_instance[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"AccessGovernanceCpClient().get_governance_instance(compartment_id=compartment_id, governance_instance_id=governance_instance_id).data",/20160918/governanceInstances/{GovernanceInstanceId},governance_instance.name|governance_instance.status|governance_instance.time_created|governance_instance.freeform_tags|governance_instance.defined_tags,governance_instance.name:string|governance_instance.status:string|governance_instance.time_created:string|governance_instance.freeform_tags:object|governance_instance.defined_tags:object,"governance_instance.name:contains, equals, in, not_equals|governance_instance.status:contains, equals, in, not_equals|governance_instance.time_created:contains, equals, exists, in, not_equals|governance_instance.freeform_tags:exists, not_empty|governance_instance.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,access_governance_cp,oci.access_governance_cp.get_governance_instance_configuration,read_get,No,oci.access_governance_cp.get_governance_instance_configuration,oci.access_governance_cp.get_governance_instance_configuration,1,0,oci.access_governance_cp.get_governance_instance_configuration[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"AccessGovernanceCpClient().get_governance_instance_configuration(compartment_id=compartment_id, governance_instance_configuration_id=governance_instance_configuration_id).data",/20160918/governanceInstanceConfigurations/{GovernanceInstanceConfigurationId},governance_instance_configuration.name|governance_instance_configuration.status|governance_instance_configuration.time_created|governance_instance_configuration.freeform_tags|governance_instance_configuration.defined_tags,governance_instance_configuration.name:string|governance_instance_configuration.status:string|governance_instance_configuration.time_created:string|governance_instance_configuration.freeform_tags:object|governance_instance_configuration.defined_tags:object,"governance_instance_configuration.name:contains, equals, in, not_equals|governance_instance_configuration.status:contains, equals, in, not_equals|governance_instance_configuration.time_created:contains, equals, exists, in, not_equals|governance_instance_configuration.freeform_tags:exists, not_empty|governance_instance_configuration.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,access_governance_cp,oci.access_governance_cp.list_governance_instances,read_list,Yes,oci.access_governance_cp.list_governance_instances,oci.access_governance_cp.list_governance_instances,1,0,oci.access_governance_cp.list_governance_instances[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],AccessGovernanceCpClient().list_governance_instances(compartment_id=compartment_id).data,/20160918/governanceInstances,ocid|compartment_id|governance_instanc.name|governance_instanc.status|governance_instanc.time_created|governance_instanc.freeform_tags|governance_instanc.defined_tags,ocid:string|compartment_id:string|governance_instanc.name:string|governance_instanc.status:string|governance_instanc.time_created:string|governance_instanc.freeform_tags:object|governance_instanc.defined_tags:object,"ocid:equals, exists, not_equals|compartment_id:equals, exists, not_equals|governance_instanc.name:contains, equals, in, not_equals|governance_instanc.status:contains, equals, in, not_equals|governance_instanc.time_created:contains, equals, exists, in, not_equals|governance_instanc.freeform_tags:exists, not_empty|governance_instanc.defined_tags:exists, not_empty",,compartment_id,,0,,true,2026-04-17T12:08:14Z
oci,adm,oci.adm.get_knowledge_base,read_get,No,oci.adm.list_knowledge_bases,oci.adm.list_knowledge_bases → oci.adm.get_knowledge_base,2,1,oci.adm.list_knowledge_bases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_knowledge_base[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"AdmClient().get_knowledge_base(compartment_id=compartment_id, knowledge_base_id=knowledge_base_id).data",/20160918/knowledgeBases/{KnowledgeBaseId},knowledge_base.name|knowledge_base.status|knowledge_base.time_created|knowledge_base.freeform_tags|knowledge_base.defined_tags,knowledge_base.name:string|knowledge_base.status:string|knowledge_base.time_created:string|knowledge_base.freeform_tags:object|knowledge_base.defined_tags:object,"knowledge_base.name:contains, equals, in, not_equals|knowledge_base.status:contains, equals, in, not_equals|knowledge_base.time_created:contains, equals, exists, in, not_equals|knowledge_base.freeform_tags:exists, not_empty|knowledge_base.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,adm,oci.adm.get_remediation_recipe,read_get,No,oci.adm.list_remediation_recipes,oci.adm.list_remediation_recipes → oci.adm.get_remediation_recipe,2,1,oci.adm.list_remediation_recipes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_remediation_recipe[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"AdmClient().get_remediation_recipe(compartment_id=compartment_id, remediation_recipe_id=remediation_recipe_id).data",/20160918/remediationRecipes/{RemediationRecipeId},remediation_recipe.name|remediation_recipe.status|remediation_recipe.time_created|remediation_recipe.freeform_tags|remediation_recipe.defined_tags,remediation_recipe.name:string|remediation_recipe.status:string|remediation_recipe.time_created:string|remediation_recipe.freeform_tags:object|remediation_recipe.defined_tags:object,"remediation_recipe.name:contains, equals, in, not_equals|remediation_recipe.status:contains, equals, in, not_equals|remediation_recipe.time_created:contains, equals, exists, in, not_equals|remediation_recipe.freeform_tags:exists, not_empty|remediation_recipe.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,adm,oci.adm.get_stage,read_get,No,oci.adm.list_stages,oci.adm.list_stages → oci.adm.get_stage,2,1,oci.adm.list_stages[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags] → oci.adm.get_stage[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],"AdmClient().get_stage(compartment_id=compartment_id, stage_id=stage_id).data",/20160918/stages/{StageId},stage.name|stage.status|stage.time_created|stage.freeform_tags|stage.defined_tags,stage.name:string|stage.status:string|stage.time_created:string|stage.freeform_tags:object|stage.defined_tags:object,"stage.name:contains, equals, in, not_equals|stage.status:contains, equals, in, not_equals|stage.time_created:contains, equals, exists, in, not_equals|stage.freeform_tags:exists, not_empty|stage.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,adm,oci.adm.list_application_dependency_recommendations,read_list,Yes,oci.adm.list_application_dependency_recommendations,oci.adm.list_application_dependency_recommendations,1,0,oci.adm.list_application_dependency_recommendations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],AdmClient().list_application_dependency_recommendations(compartment_id=compartment_id).data,/20160918/applicationDependencyRecommendations,ocid|application_dependency_recommendation.name|application_dependency_recommendation.status|application_dependency_recommendation.time_created|application_dependency_recommendation.freeform_tags|application_dependency_recommendation.defined_tags,ocid:string|application_dependency_recommendation.name:string|application_dependency_recommendation.status:string|application_dependency_recommendation.time_created:string|application_dependency_recommendation.freeform_tags:object|application_dependency_recommendation.defined_tags:object,"ocid:equals, exists, not_equals|application_dependency_recommendation.name:contains, equals, in, not_equals|application_dependency_recommendation.status:contains, equals, in, not_equals|application_dependency_recommendation.time_created:contains, equals, exists, in, not_equals|application_dependency_recommendation.freeform_tags:exists, not_empty|application_dependency_recommendation.defined_tags:exists, not_empty",,ocid,,0,,true,2026-04-17T12:08:14Z
oci,adm,oci.adm.list_application_dependency_vulnerabilities,read_list,Yes,oci.adm.list_application_dependency_vulnerabilities,oci.adm.list_application_dependency_vulnerabilities,1,0,oci.adm.list_application_dependency_vulnerabilities[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],AdmClient().list_application_dependency_vulnerabilities(compartment_id=compartment_id).data,/20160918/applicationDependencyVulnerabilities,application_dependency_vulnerability.name|application_dependency_vulnerability.status|application_dependency_vulnerability.time_created|application_dependency_vulnerability.freeform_tags|application_dependency_vulnerability.defined_tags,application_dependency_vulnerability.name:string|application_dependency_vulnerability.status:string|application_dependency_vulnerability.time_created:string|application_dependency_vulnerability.freeform_tags:object|application_dependency_vulnerability.defined_tags:object,"application_dependency_vulnerability.name:contains, equals, in, not_equals|application_dependency_vulnerability.status:contains, equals, in, not_equals|application_dependency_vulnerability.time_created:contains, equals, exists, in, not_equals|application_dependency_vulnerability.freeform_tags:exists, not_empty|application_dependency_vulnerability.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,adm,oci.adm.list_knowledge_bases,read_list,Yes,oci.adm.list_knowledge_bases,oci.adm.list_knowledge_bases,1,0,oci.adm.list_knowledge_bases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],AdmClient().list_knowledge_bases(compartment_id=compartment_id).data,/20160918/knowledgeBases,compartment_id|knowledge_bass.name|knowledge_bass.status|knowledge_bass.time_created|knowledge_bass.freeform_tags|knowledge_bass.defined_tags,compartment_id:string|knowledge_bass.name:string|knowledge_bass.status:string|knowledge_bass.time_created:string|knowledge_bass.freeform_tags:object|knowledge_bass.defined_tags:object,"compartment_id:equals, exists, not_equals|knowledge_bass.name:contains, equals, in, not_equals|knowledge_bass.status:contains, equals, in, not_equals|knowledge_bass.time_created:contains, equals, exists, in, not_equals|knowledge_bass.freeform_tags:exists, not_empty|knowledge_bass.defined_tags:exists, not_empty",,compartment_id,,0,,true,2026-04-17T12:08:14Z
oci,adm,oci.adm.list_remediation_recipes,read_list,Yes,oci.adm.list_remediation_recipes,oci.adm.list_remediation_recipes,1,0,oci.adm.list_remediation_recipes[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],AdmClient().list_remediation_recipes(compartment_id=compartment_id).data,/20160918/remediationRecipes,remediation_recip.name|remediation_recip.status|remediation_recip.time_created|remediation_recip.freeform_tags|remediation_recip.defined_tags,remediation_recip.name:string|remediation_recip.status:string|remediation_recip.time_created:string|remediation_recip.freeform_tags:object|remediation_recip.defined_tags:object,"remediation_recip.name:contains, equals, in, not_equals|remediation_recip.status:contains, equals, in, not_equals|remediation_recip.time_created:contains, equals, exists, in, not_equals|remediation_recip.freeform_tags:exists, not_empty|remediation_recip.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
